time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,87.54,22.34046,2.2,87.54,22.69046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
0.25,87.54,22.69046,2.2,87.54,23.04046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
0.5,87.54,23.04046,2.2,87.54,23.39046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
0.75,87.54,23.39046,2.2,87.54,23.74046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
1.0,87.54,23.74046,2.2,87.54,24.09046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
1.25,87.54,24.09046,2.2,87.54,24.44046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
1.5,87.54,24.44046,2.2,87.54,24.79046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
1.75,87.54,24.79046,2.2,87.54,25.14046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
2.0,87.54,25.14046,2.2,87.54,25.49046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
2.25,87.54,25.49046,2.2,87.54,25.84046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
2.5,87.54,25.84046,2.2,87.54,26.19046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
2.75,87.54,26.19046,2.2,87.54,26.54046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
3.0,87.54,26.54046,2.2,87.54,26.89046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
3.25,87.54,26.89046,2.2,87.54,27.24046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
3.5,87.54,27.24046,2.2,87.54,27.59046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
3.75,87.54,27.59046,2.2,87.54,27.94046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
4.0,87.54,27.94046,2.2,87.54,28.29046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
4.25,87.54,28.29046,2.2,87.54,28.64046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
4.5,87.54,28.64046,2.2,87.19,28.99046,2.2,0.0,0.0,2.356194,1.0,1.0,1.0,1.0
4.75,87.19,28.99046,2.2,86.84,29.34046,2.2,0.0,0.0,2.356194,1.0,1.0,1.0,1.0
5.0,86.84,29.34046,2.2,86.49,29.69046,2.2,0.0,0.0,2.356194,1.0,1.0,1.0,1.0
5.25,86.49,29.69046,2.2,86.49,30.04046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
5.5,86.49,30.04046,2.2,86.14,30.39046,2.2,0.0,0.0,2.356194,1.0,1.0,1.0,1.0
5.75,86.14,30.39046,2.2,86.14,30.74046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
6.0,86.14,30.74046,2.2,86.14,31.09046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
6.25,86.14,31.09046,2.2,86.14,31.44046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
6.5,86.14,31.44046,2.2,86.14,31.79046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
6.75,86.14,31.79046,2.2,86.14,32.14046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
7.0,86.14,32.14046,2.2,86.14,32.49046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
7.25,86.14,32.49046,2.2,86.14,32.84046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
7.5,86.14,32.84046,2.2,86.14,33.19046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
7.75,86.14,33.19046,2.2,86.14,33.54046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
8.0,86.14,33.54046,2.2,86.14,33.89046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
8.25,86.14,33.89046,2.2,86.14,34.24046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
8.5,86.14,34.24046,2.2,86.14,34.59046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
8.75,86.14,34.59046,2.2,86.14,34.94046,2.2,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
9.0,86.14,34.94046,2.2,85.79,34.94046,2.2,0.0,0.0,3.141593,1.0,1.0,1.0,1.0
9.25,85.79,34.94046,2.2,85.44,34.94046,2.2,0.0,0.0,3.141593,1.0,1.0,1.0,1.0
9.5,85.44,34.94046,2.2,85.09,34.94046,2.2,0.0,0.0,3.141593,1.0,1.0,1.0,1.0
9.75,85.09,34.94046,2.2,84.74,34.94046,2.2,0.0,0.0,3.141593,1.0,1.0,1.0,1.0
10.0,84.74,34.94046,2.2,84.39,34.94046,2.2,0.0,0.0,3.141593,1.0,1.0,1.0,1.0
10.25,84.39,34.94046,2.2,84.04,34.94046,2.2,0.0,0.0,3.141593,1.0,1.0,1.0,1.0
10.5,84.04,34.94046,2.2,83.69,34.94046,2.2,0.0,0.0,3.141593,1.0,1.0,1.0,1.0
10.75,83.69,34.94046,2.2,83.34,34.94046,2.2,0.0,0.0,3.141593,1.0,1.0,1.0,1.0
11.0,83.34,34.94046,2.2,83.34,34.94046,2.2,0.0,0.0,3.141593,1.0,1.0,1.0,1.0
