index,x_m,y_m,z_m,cell_x,cell_y
0,87.54,22.34046,2.2,110,52
1,87.54,22.690459999999998,2.2,110,53
2,87.54,23.04046,2.2,110,54
3,87.54,23.39046,2.2,110,55
4,87.54,23.74046,2.2,110,56
5,87.54,24.09046,2.2,110,57
6,87.54,24.440459999999998,2.2,110,58
7,87.54,24.79046,2.2,110,59
8,87.54,25.14046,2.2,110,60
9,87.54,25.49046,2.2,110,61
10,87.54,25.84046,2.2,110,62
11,87.54,26.190459999999998,2.2,110,63
12,87.54,26.54046,2.2,110,64
13,87.54,26.89046,2.2,110,65
14,87.54,27.24046,2.2,110,66
15,87.54,27.59046,2.2,110,67
16,87.54,27.940459999999998,2.2,110,68
17,87.54,28.29046,2.2,110,69
18,87.54,28.64046,2.2,110,70
19,87.19,28.99046,2.2,109,71
20,86.84,29.34046,2.2,108,72
21,86.49000000000001,29.690459999999998,2.2,107,73
22,86.49000000000001,30.04046,2.2,107,74
23,86.14,30.39046,2.2,106,75
24,86.14,30.74046,2.2,106,76
25,86.14,31.09046,2.2,106,77
26,86.14,31.440459999999998,2.2,106,78
27,86.14,31.79046,2.2,106,79
28,86.14,32.14046,2.2,106,80
29,86.14,32.49046,2.2,106,81
30,86.14,32.84046,2.2,106,82
31,86.14,33.190459999999995,2.2,106,83
32,86.14,33.540459999999996,2.2,106,84
33,86.14,33.89046,2.2,106,85
34,86.14,34.24046,2.2,106,86
35,86.14,34.59046,2.2,106,87
36,86.14,34.940459999999995,2.2,106,88
37,85.79,34.940459999999995,2.2,105,88
38,85.44,34.940459999999995,2.2,104,88
39,85.09,34.940459999999995,2.2,103,88
40,84.74000000000001,34.940459999999995,2.2,102,88
41,84.39,34.940459999999995,2.2,101,88
42,84.04,34.940459999999995,2.2,100,88
43,83.69,34.940459999999995,2.2,99,88
44,83.34,34.940459999999995,2.2,98,88
