time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,-55.58,-24.48,1.9,-54.83,-23.73,1.9,0.0,0.0,0.785398,1.0,1.0,1.0,1.0
0.25,-54.83,-23.73,1.9,-54.83,-22.98,1.9,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
0.5,-54.83,-22.98,1.9,-54.83,-22.23,1.9,0.0,0.0,1.570796,1.0,1.0,1.0,1.0
0.75,-54.83,-22.23,1.9,-54.08,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1.0,-54.08,-22.23,1.9,-53.33,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1.25,-53.33,-22.23,1.9,-52.58,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1.5,-52.58,-22.23,1.9,-51.83,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1.75,-51.83,-22.23,1.9,-51.08,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2.0,-51.08,-22.23,1.9,-50.33,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2.25,-50.33,-22.23,1.9,-49.58,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2.5,-49.58,-22.23,1.9,-48.83,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2.75,-48.83,-22.23,1.9,-48.08,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
3.0,-48.08,-22.23,1.9,-47.33,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
3.25,-47.33,-22.23,1.9,-46.58,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
3.5,-46.58,-22.23,1.9,-45.83,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
3.75,-45.83,-22.23,1.9,-45.08,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
4.0,-45.08,-22.23,1.9,-44.33,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
4.25,-44.33,-22.23,1.9,-43.58,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
4.5,-43.58,-22.23,1.9,-42.83,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
4.75,-42.83,-22.23,1.9,-42.08,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
5.0,-42.08,-22.23,1.9,-41.33,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
5.25,-41.33,-22.23,1.9,-40.58,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
5.5,-40.58,-22.23,1.9,-39.83,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
5.75,-39.83,-22.23,1.9,-39.08,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
6.0,-39.08,-22.23,1.9,-38.33,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
6.25,-38.33,-22.23,1.9,-37.58,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
6.5,-37.58,-22.23,1.9,-36.83,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
6.75,-36.83,-22.23,1.9,-36.08,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
7.0,-36.08,-22.23,1.9,-35.33,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
7.25,-35.33,-22.23,1.9,-34.58,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
7.5,-34.58,-22.23,1.9,-33.83,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
7.75,-33.83,-22.23,1.9,-33.08,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
8.0,-33.08,-22.23,1.9,-32.33,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
8.25,-32.33,-22.23,1.9,-32.33,-22.23,1.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0
