index,x_m,y_m,z_m,cell_x,cell_y
0,-55.58,-24.480000000000004,1.9,93,93
1,-54.83,-23.730000000000004,1.9,94,94
2,-54.83,-22.980000000000004,1.9,94,95
3,-54.83,-22.230000000000004,1.9,94,96
4,-54.08,-22.230000000000004,1.9,95,96
5,-53.33,-22.230000000000004,1.9,96,96
6,-52.58,-22.230000000000004,1.9,97,96
7,-51.83,-22.230000000000004,1.9,98,96
8,-51.08,-22.230000000000004,1.9,99,96
9,-50.33,-22.230000000000004,1.9,100,96
10,-49.58,-22.230000000000004,1.9,101,96
11,-48.83,-22.230000000000004,1.9,102,96
12,-48.08,-22.230000000000004,1.9,103,96
13,-47.33,-22.230000000000004,1.9,104,96
14,-46.58,-22.230000000000004,1.9,105,96
15,-45.83,-22.230000000000004,1.9,106,96
16,-45.08,-22.230000000000004,1.9,107,96
17,-44.33,-22.230000000000004,1.9,108,96
18,-43.58,-22.230000000000004,1.9,109,96
19,-42.83,-22.230000000000004,1.9,110,96
20,-42.08,-22.230000000000004,1.9,111,96
21,-41.33,-22.230000000000004,1.9,112,96
22,-40.58,-22.230000000000004,1.9,113,96
23,-39.83,-22.230000000000004,1.9,114,96
24,-39.08,-22.230000000000004,1.9,115,96
25,-38.33,-22.230000000000004,1.9,116,96
26,-37.58,-22.230000000000004,1.9,117,96
27,-36.83,-22.230000000000004,1.9,118,96
28,-36.08,-22.230000000000004,1.9,119,96
29,-35.33,-22.230000000000004,1.9,120,96
30,-34.58,-22.230000000000004,1.9,121,96
31,-33.83,-22.230000000000004,1.9,122,96
32,-33.08,-22.230000000000004,1.9,123,96
33,-32.33,-22.230000000000004,1.9,124,96
