score,category,size_bytes,extension,path,matched,path_matched,content_matched,preview_chars,review_reason
312,quadrotor_uav,672551,.pdf,培训课程配套材料/02-直播课程配套材料/06-智能无人系统应用挑战赛专项培训/01-第一期/无人车避障3.0竞赛规则.pdf,julia;modelica;mworks.syslab;mworks.sysplorer;pid;sysblock;syslab;sysplorer;仿真;优化;可视化;挑战赛;控制;控制系统;智能无人系统;模型;轨迹;避障,避障;智能无人系统;挑战赛,mworks.sysplorer;sysplorer;mworks.syslab;syslab;sysblock;modelica;控制系统;控制;pid;避障;轨迹;优化;仿真;模型;可视化;julia;智能无人系统;挑战赛,4781,path+pdf_preview
280,sysplorer_modeling,16752072,.pdf,培训课程配套材料/02-直播课程配套材料/02-MWORKS 基础培训/01-2024b/02-基于MWORKS.Sysplorer的系统建模仿真应用-20240926.pdf,api;julia;matlab;modelica;mworks.sysplorer;syslab;sysplorer;仿真;优化;参数估计;接口;控制;控制器;控制系统;模型;系统辨识;鲁棒控制,mworks.sysplorer;sysplorer;仿真,mworks.sysplorer;sysplorer;syslab;modelica;控制系统;控制;控制器;鲁棒控制;系统辨识;参数估计;优化;仿真;模型;julia;matlab;接口;api,1605,path+pdf_preview
248,sysplorer_modeling,5217839,.pdf,MWORKS与MATLAB功能对照/02-MWORKS简介及与MATLAB的对比V2.0.pdf,api;julia;matlab;modelica;mworks.syslab;mworks.sysplorer;syslab;sysplorer;三维;仿真;优化;参数估计;可视化;接口;控制;控制器;控制系统;模型;系统辨识;鲁棒控制,matlab,mworks.sysplorer;sysplorer;mworks.syslab;syslab;modelica;控制系统;控制;控制器;鲁棒控制;系统辨识;参数估计;优化;仿真;模型;可视化;三维;julia;matlab;接口;api,3164,path+pdf_preview
239,sysplorer_modeling,2031751,.pdf,培训课程配套材料/01-官网课程配套材料/00-快速入门课程/01-Sysplorer快速入门/07-MWORKS.Syslab和MWORKS.Sysplorer双向集成(2024a)/01-MWORKS.Syslab和MWORKS.Sysplorer双向集成.pdf,api;mworks.syslab;mworks.sysplorer;syslab;sysplorer;仿真;控制;控制系统;模型,mworks.sysplorer;sysplorer;mworks.syslab;syslab,mworks.sysplorer;sysplorer;mworks.syslab;syslab;控制系统;控制;仿真;模型;api,992,path+pdf_preview
239,sysplorer_modeling,2031751,.pdf,培训课程配套材料/01-官网课程配套材料/01-数学与基础应用/06-MWORKS.Syslab和MWORKS.Sysplorer双向集成/01-MWORKS.Syslab和MWORKS.Sysplorer双向集成.pdf,api;mworks.syslab;mworks.sysplorer;syslab;sysplorer;仿真;控制;控制系统;模型,mworks.sysplorer;sysplorer;mworks.syslab;syslab,mworks.sysplorer;sysplorer;mworks.syslab;syslab;控制系统;控制;仿真;模型;api,992,path+pdf_preview
228,sysplorer_modeling,2174492,.pdf,培训课程配套材料/01-官网课程配套材料/05-基于模型的设计优化/02-参数估计工具箱应用/01-2023b/MWORKS.Sysplorer参数估计工具箱应用.pdf,modelica;mworks.sysplorer;sysplorer;仿真;优化;参数估计;可视化;控制;模型,mworks.sysplorer;sysplorer;参数估计;优化;模型,mworks.sysplorer;sysplorer;modelica;控制;参数估计;优化;仿真;模型;可视化,1549,path+pdf_preview
224,sysplorer_modeling,5238515,.pdf,培训课程配套材料/01-官网课程配套材料/02-控制系统设计与应用/01-控制系统工具箱应用/01-2024a/MWORKS.Syslab控制系统工具箱.pdf,mworks.syslab;pid;syslab;仿真;优化;控制;控制器;控制系统;模型;状态反馈,mworks.syslab;syslab;控制系统;控制,mworks.syslab;syslab;控制系统;控制;控制器;pid;状态反馈;优化;仿真;模型,840,path+pdf_preview
214,sysplorer_modeling,2016104,.pdf,培训课程配套材料/01-官网课程配套材料/02-控制系统设计与应用/03-控制系统之系统辨识工具箱/01-2024b/Syslab控制系统之系统辨识工具箱.pdf,julia;pid;syslab;仿真;控制;控制器;控制系统;模型;系统辨识;鲁棒控制,syslab;控制系统;控制;系统辨识,syslab;控制系统;控制;控制器;pid;鲁棒控制;系统辨识;仿真;模型;julia,1371,path+pdf_preview
214,sysplorer_modeling,4730297,.pdf,培训课程配套材料/01-官网课程配套材料/00-快速入门课程/01-Sysplorer快速入门/08-MWORKS.Syslab与MWORKS.Sysplorer双向集成(2025b)/Syslab与Sysplorer双向集成.pdf,api;mworks.syslab;mworks.sysplorer;syslab;sysplorer;控制;模型,mworks.sysplorer;sysplorer;mworks.syslab;syslab,mworks.sysplorer;sysplorer;mworks.syslab;syslab;控制;模型;api,767,path+pdf_preview
212,sysplorer_modeling,12219987,.pdf,培训课程配套材料/02-直播课程配套材料/02-MWORKS 基础培训/01-2024b/01-基于MWORKS.Syslab的科学计算应用.pdf,julia;matlab;mworks.syslab;mworks.sysplorer;syslab;sysplorer;仿真;优化;可视化;接口;控制;控制系统;模型,mworks.syslab;syslab,mworks.sysplorer;sysplorer;mworks.syslab;syslab;控制系统;控制;优化;仿真;模型;可视化;julia;matlab;接口,1394,path+pdf_preview
195,quadrotor_uav,6405499,.pdf,培训课程配套材料/02-直播课程配套材料/06-智能无人系统应用挑战赛专项培训/02-第二期/无人车避障赛道专项培训（二）.pdf,mworks.sysplorer;sysblock;sysplorer;三维;仿真;挑战赛;智能无人系统;模型;避障,避障;智能无人系统;挑战赛,mworks.sysplorer;sysplorer;sysblock;避障;仿真;模型;三维;智能无人系统;挑战赛,894,path+pdf_preview
182,sysplorer_modeling,3657637,.pdf,培训课程配套材料/01-官网课程配套材料/02-控制系统设计与应用/02-控制系统设计与分析APP/01-2024a/MWORKS.Syslab控制系统工具箱APP(应用程序).pdf,mworks.syslab;pid;syslab;控制;控制系统;模型,mworks.syslab;syslab;控制系统;控制,mworks.syslab;syslab;控制系统;控制;pid;模型,1019,path+pdf_preview
