review_status,review_priority,group,scene,is_figure8,figure_dir,controller_or_case,raw_exists,metrics_exists,raw_file,metrics_file,notes
pending,medium,official,example1_step,no,results/figures/official/example1_step/awff_pid,awff_pid,yes,yes,results/raw/official_example1_awff_pid.csv,results/metrics/official_example1_awff_pid.json,待审核
pending,medium,official,example1_step,no,results/figures/official/example1_step/awff_sysblock,awff_sysblock,yes,yes,results/raw/official_example1_awff_sysblock.csv,results/metrics/official_example1_awff_sysblock.json,待审核
pending,medium,official,example1_step,no,results/figures/official/example1_step/enhanced_pid,enhanced_pid,yes,yes,results/raw/official_example1_enhanced_pid.csv,results/metrics/official_example1_enhanced_pid.json,待审核
pending,medium,official,example1_step,no,results/figures/official/example1_step/improved_pid,improved_pid,yes,yes,results/raw/official_example1_improved_pid.csv,results/metrics/official_example1_improved_pid.json,待审核
pending,medium,official,example1_step,no,results/figures/official/example1_step/l1_residual_sysblock,l1_residual_sysblock,yes,yes,results/raw/official_example1_l1_residual_sysblock.csv,results/metrics/official_example1_l1_residual_sysblock.json,待审核
pending,medium,official,example1_step,no,results/figures/official/example1_step/pid_baseline,pid_baseline,yes,yes,results/raw/official_example1_pid_baseline.csv,results/metrics/official_example1_pid_baseline.json,待审核
pending,medium,official,example2_helix,no,results/figures/official/example2_helix/awff_sysblock,awff_sysblock,yes,yes,results/raw/official_example2_awff_sysblock.csv,results/metrics/official_example2_awff_sysblock.json,待审核
pending,medium,official,example2_helix,no,results/figures/official/example2_helix/improved_pid,improved_pid,yes,yes,results/raw/official_example2_improved_pid.csv,results/metrics/official_example2_improved_pid.json,待审核
pending,medium,official,example2_helix,no,results/figures/official/example2_helix/pid_baseline,pid_baseline,yes,yes,results/raw/official_example2_pid_baseline.csv,results/metrics/official_example2_pid_baseline.json,待审核
pending,high,official,example3_figure8,yes,results/figures/official/example3_figure8/awff_sysblock,awff_sysblock,yes,yes,results/raw/official_example3_awff_sysblock.csv,results/metrics/official_example3_awff_sysblock.json,待审核
pending,high,official,example3_figure8,yes,results/figures/official/example3_figure8/improved_pid,improved_pid,yes,yes,results/raw/official_example3_improved_pid.csv,results/metrics/official_example3_improved_pid.json,待审核
pending,high,official,example3_figure8,yes,results/figures/official/example3_figure8/pid_baseline,pid_baseline,yes,yes,results/raw/official_example3_pid_baseline.csv,results/metrics/official_example3_pid_baseline.json,待审核
pending,medium,robustness,mass20_example1,no,results/figures/robustness/mass20_example1/awff_sysblock,awff_sysblock,yes,yes,results/raw/robust_mass20_example1_awff_sysblock.csv,results/metrics/robust_mass20_example1_awff_sysblock.json,待审核
pending,medium,robustness,mass20_example1,no,results/figures/robustness/mass20_example1/enhanced_pid,enhanced_pid,yes,yes,results/raw/robust_mass20_example1_enhanced_pid.csv,results/metrics/robust_mass20_example1_enhanced_pid.json,待审核
pending,medium,robustness,mass20_example1,no,results/figures/robustness/mass20_example1/improved_pid,improved_pid,yes,yes,results/raw/robust_mass20_example1_improved_pid.csv,results/metrics/robust_mass20_example1_improved_pid.json,待审核
pending,medium,robustness,mass20_example1,no,results/figures/robustness/mass20_example1/pid_baseline,pid_baseline,yes,yes,results/raw/robust_mass20_example1_pid_baseline.csv,results/metrics/robust_mass20_example1_pid_baseline.json,待审核
pending,medium,robustness,rotor1_loss15_example1,no,results/figures/robustness/rotor1_loss15_example1/awff_sysblock,awff_sysblock,yes,yes,results/raw/robust_rotor1_loss15_example1_awff_sysblock.csv,results/metrics/robust_rotor1_loss15_example1_awff_sysblock.json,待审核
pending,medium,robustness,rotor1_loss15_example1,no,results/figures/robustness/rotor1_loss15_example1/enhanced_pid,enhanced_pid,yes,yes,results/raw/robust_rotor1_loss15_example1_enhanced_pid.csv,results/metrics/robust_rotor1_loss15_example1_enhanced_pid.json,待审核
pending,medium,robustness,rotor1_loss15_example1,no,results/figures/robustness/rotor1_loss15_example1/improved_pid,improved_pid,yes,yes,results/raw/robust_rotor1_loss15_example1_improved_pid.csv,results/metrics/robust_rotor1_loss15_example1_improved_pid.json,待审核
pending,medium,robustness,rotor1_loss15_example1,no,results/figures/robustness/rotor1_loss15_example1/pid_baseline,pid_baseline,yes,yes,results/raw/robust_rotor1_loss15_example1_pid_baseline.csv,results/metrics/robust_rotor1_loss15_example1_pid_baseline.json,待审核
