metric,value
generated_at,2026-05-09T19:46:23
raw_file,/mnt/c/Users/HP/Desktop/Quadrotor/results/raw/figure8_improved_pid.csv
scene_id,figure8
controller_id,improved_pid
row_count,3001
duration_s,30.0
position_rmse_m,0.28217828247187643
x_rmse_m,0.10589203221015309
y_rmse_m,0.12293908467086406
z_rmse_m,0.23086238774099166
max_position_error_m,2.0000341202041514
steady_state_error_m,0.16601279184338597
settling_time_s,nan
overshoot_x_pct,24.51358962786705
overshoot_y_pct,7.1103337288162205
overshoot_z_pct,nan
overshoot_max_pct,24.51358962786705
roll_rmse_rad,0.0049175633868345624
pitch_rmse_rad,0.0042356812884061295
yaw_rmse_rad,0.0
max_tilt_rad,0.010026659488765422
minimum_altitude_m,0.0
altitude_violation_count,5
tilt_violation_count,0
constraint_violation_count,5
control_energy,33.121845390687426
control_smoothness,0.05181526502480457
control_command_min,0.4476633114256727
control_command_max,0.592405437335495
control_command_normalized,True
saturation_ratio,0.0
nan_count,0
valid,True
tracking_score,84.63329248544527
robustness_score,0.0
safety_score,45.0
energy_score,92.73626611768375
smoothness_score,100.0
fault_tolerance_score,45.0
total_health_score,53.163614357401954
source,offline_script
evidence_level,offline_tracking_demo
