metric,value
generated_at,2026-05-10T11:37:31
raw_file,results/raw/mworks_mcp_example1_awff_pid_smoke.csv
scene_id,mworks_mcp_example1
controller_id,awff_pid
row_count,501
duration_s,1.0
position_rmse_m,0.9262406504421903
x_rmse_m,3.957803274367914e-12
y_rmse_m,7.310006247105314e-12
z_rmse_m,0.9262406504421903
max_position_error_m,1.2413616018231464
steady_state_error_m,0.835984441821132
settling_time_s,nan
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,nan
disturbance_recovery_time_s,nan
overshoot_x_pct,nan
overshoot_y_pct,nan
overshoot_z_pct,0.0
overshoot_max_pct,0.0
roll_rmse_rad,2.0779563702683385e-11
pitch_rmse_rad,1.0738991042680477e-11
yaw_rmse_rad,4.671229832175395e-10
max_tilt_rad,6.608584258626017e-11
minimum_altitude_m,0.0
altitude_violation_count,302
tilt_violation_count,0
constraint_violation_count,302
control_energy,851.281503281305
control_smoothness,3502.4862603380147
control_command_min,-17.28161489545823
control_command_max,17.281614898971167
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,62.49776843096739
robustness_score,0.0
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,29.249330529290216
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_smoke
