metric,value
generated_at,2026-05-10T11:38:29
raw_file,results/raw/official_example1_awff_pid.csv
scene_id,official_example1
controller_id,awff_pid
row_count,25001
duration_s,50.0
position_rmse_m,0.259913890061702
x_rmse_m,0.11125110800269992
y_rmse_m,0.11156688055389309
z_rmse_m,0.2067153897963375
max_position_error_m,1.2413616018231464
steady_state_error_m,0.10322907912216125
settling_time_s,7.438
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.10998416831597346
disturbance_recovery_time_s,3.0199999999999996
overshoot_x_pct,4.842993117297283
overshoot_y_pct,4.8595591648949465
overshoot_z_pct,1.9343440572707256
overshoot_max_pct,4.8595591648949465
roll_rmse_rad,0.024129919902919378
pitch_rmse_rad,0.02407684794165073
yaw_rmse_rad,0.0008445669993572126
max_tilt_rad,0.1744897004190003
minimum_altitude_m,0.0
altitude_violation_count,302
tilt_violation_count,0
constraint_violation_count,302
control_energy,39906.26920856815
control_smoothness,14346.392213212686
control_command_min,-19.895616808934744
control_command_max,19.89561695600135
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,90.97453354544464
robustness_score,58.16923076923077
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,52.334667755941084
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_full_awff_pid
