metric,value
generated_at,2026-05-10T21:02:07
raw_file,results/raw/official_example1_awff_sysblock_5s.csv
scene_id,official_example1_awff_sysblock_5s
controller_id,awff_sysblock
row_count,501
duration_s,5.0
position_rmse_m,0.659238213631417
x_rmse_m,9.634150727104021e-11
y_rmse_m,3.235492814028011e-12
z_rmse_m,0.659238213631417
max_position_error_m,1.2971645328538624
steady_state_error_m,0.47422733934747474
settling_time_s,nan
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,nan
disturbance_recovery_time_s,nan
overshoot_x_pct,nan
overshoot_y_pct,nan
overshoot_z_pct,0.08297417673283292
overshoot_max_pct,0.08297417673283292
roll_rmse_rad,1.7319688705095038e-11
pitch_rmse_rad,6.533926610639497e-10
yaw_rmse_rad,2.2086728783155923e-09
max_tilt_rad,2.236782216628573e-09
minimum_altitude_m,0.0
altitude_violation_count,64
tilt_violation_count,0
constraint_violation_count,64
control_energy,4023.8800301332185
control_smoothness,3124.9227260673983
control_command_min,-17.27806382228684
control_command_max,17.27806381942603
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,74.52582019222811
robustness_score,0.0
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,32.857746057668436
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_closed_loop_5s
