metric,value
altitude_violation_count,64
altitude_violation_rate_hz,1.28
constraint_violation_count,64
constraint_violation_rate_hz,1.28
control_command_max,19.680700093592964
control_command_min,-19.6806998704225
control_command_normalized,False
control_energy,39896.4856168006
control_energy_per_second,797.929712336012
control_smoothness,13260.747830515384
control_smoothness_per_second,265.2149566103077
controller_id,enhanced_pid
disturbance_peak_error_m,0.07500790159182458
disturbance_recovery_time_s,3.030000000000001
disturbance_window_end_s,19.0
disturbance_window_start_s,15.0
duration_s,50.0
energy_score,0.0
evidence_level,real_sysplorer_mcp_full_enhanced_pid
fault_tolerance_score,35.0
generated_at,2026-05-10T21:50:45
max_position_error_m,1.297337528553519
max_tilt_rad,0.17443173741284618
minimum_altitude_m,0.0
nan_count,0
overshoot_max_pct,4.861456564632771
overshoot_x_pct,4.84228706930141
overshoot_y_pct,4.861456564632771
overshoot_z_pct,1.9391772708828487
pitch_rmse_rad,0.02407395556000629
position_rmse_m,0.26625039109314685
raw_file,results/raw/official_example1_enhanced_pid.csv
robustness_score,71.15384615384616
roll_rmse_rad,0.02412865207362425
row_count,5001
safety_score,35.0
sample_rate_hz,100.0
saturation_ratio,
scene_id,official_example1
settling_time_s,5.75
smoothness_score,0.0
source,MWORKS_MCP
steady_state_error_m,0.10318388586503555
tilt_violation_count,0
tilt_violation_rate_hz,0.0
total_health_score,55.42245030728968
tracking_score,90.44662922942713
valid,True
x_rmse_m,0.11124979604786628
y_rmse_m,0.11158252923173219
yaw_rmse_rad,0.0008441781026895484
z_rmse_m,0.21462081168146668
