metric,value
generated_at,2026-05-09T10:16:27
raw_file,results/raw/official_example1_improved_pid.csv
scene_id,official_example1
controller_id,improved_pid
row_count,5001
duration_s,50.0
position_rmse_m,0.27471695523630696
x_rmse_m,0.11598340346375416
y_rmse_m,0.11617381772265963
z_rmse_m,0.22027460064885757
max_position_error_m,1.3694021322478267
steady_state_error_m,0.11176628709150113
settling_time_s,7.16
overshoot_x_pct,4.824823329035812
overshoot_y_pct,4.989040638008575
overshoot_z_pct,1.6911014999581653
overshoot_max_pct,4.989040638008575
roll_rmse_rad,nan
pitch_rmse_rad,nan
yaw_rmse_rad,nan
max_tilt_rad,nan
minimum_altitude_m,0.0
altitude_violation_count,65
tilt_violation_count,0
constraint_violation_count,65
control_energy,nan
control_smoothness,nan
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,89.63521060760593
robustness_score,60.30769230769231
safety_score,0.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,0.0
total_health_score,41.967486259204854
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_full_improved_pid
