metric,value
altitude_violation_count,101
altitude_violation_rate_hz,101.0
constraint_violation_count,101
constraint_violation_rate_hz,101.0
control_command_max,14.959428989087629
control_command_min,-14.959428994084377
control_command_normalized,False
control_energy,354.9286933183061
control_energy_per_second,354.9286933183061
control_smoothness,1098.7515427937903
control_smoothness_per_second,1098.7515427937903
controller_id,awff_sysblock
disturbance_peak_error_m,
disturbance_recovery_time_s,
disturbance_window_end_s,19.0
disturbance_window_start_s,15.0
duration_s,1.0
energy_score,0.0
evidence_level,real_sysplorer_mcp_sysblock_example3_smoke
fault_tolerance_score,35.0
generated_at,2026-05-10T21:50:45
max_position_error_m,0.9990541473100333
max_tilt_rad,2.7295545625392984e-12
minimum_altitude_m,0.0
nan_count,0
overshoot_max_pct,0.0
overshoot_x_pct,
overshoot_y_pct,
overshoot_z_pct,0.0
pitch_rmse_rad,9.496452860924538e-13
position_rmse_m,0.5786629099690078
raw_file,results/raw/official_example3_awff_sysblock_smoke.csv
robustness_score,0.0
roll_rmse_rad,9.465133262069044e-13
row_count,101
safety_score,35.0
sample_rate_hz,100.0
saturation_ratio,
scene_id,official_example3_awff_sysblock_smoke
settling_time_s,
smoothness_score,0.0
source,MWORKS_MCP
steady_state_error_m,0.4998976366195761
tilt_violation_count,0
tilt_violation_rate_hz,0.0
total_health_score,33.97189344531494
tracking_score,78.23964481771647
valid,True
x_rmse_m,1.7893357708188836e-13
y_rmse_m,3.898996063292632e-13
yaw_rmse_rad,5.193839064322207e-10
z_rmse_m,0.5786629099690078
