metric,value
altitude_violation_count,130
altitude_violation_rate_hz,1.0833333333333333
constraint_violation_count,130
constraint_violation_rate_hz,1.0833333333333333
control_command_max,16.1190943407209
control_command_min,-21.43483527527819
control_command_normalized,False
control_energy,95610.15569741941
control_energy_per_second,796.7512974784951
control_smoothness,73046.6256759045
control_smoothness_per_second,608.7218806325376
controller_id,pid_baseline
disturbance_peak_error_m,0.13021701887822548
disturbance_recovery_time_s,0.0
disturbance_window_end_s,19.0
disturbance_window_start_s,15.0
duration_s,120.0
energy_score,0.0
evidence_level,real_sysplorer_mcp_full_baseline
fault_tolerance_score,35.0
generated_at,2026-05-10T21:50:46
max_position_error_m,1.217033470409567
max_tilt_rad,0.2864817033054598
minimum_altitude_m,0.0
nan_count,0
overshoot_max_pct,68.56868981149546
overshoot_x_pct,68.56868981149546
overshoot_y_pct,6.2783929692965845
overshoot_z_pct,1.537081308550583
pitch_rmse_rad,0.008610856697911218
position_rmse_m,0.17231097733880002
raw_file,results/raw/official_example3_pid_baseline.csv
robustness_score,87.76923076923077
roll_rmse_rad,0.01871485323029222
row_count,12001
safety_score,35.0
sample_rate_hz,100.0
saturation_ratio,
scene_id,official_example3
settling_time_s,3.59
smoothness_score,0.0
source,MWORKS_MCP
steady_state_error_m,0.06817171398416637
tilt_violation_count,0
tilt_violation_rate_hz,0.0
total_health_score,60.505386336965
tracking_score,93.54359548219102
valid,True
x_rmse_m,0.04602950474513781
y_rmse_m,0.10305272292657358
yaw_rmse_rad,0.003952723073753943
z_rmse_m,0.13020174308275798
