metric,value
generated_at,2026-05-10T21:35:15
raw_file,results/raw/robust_mass20_example1_awff_sysblock.csv
scene_id,robust_mass20_example1
controller_id,awff_sysblock
row_count,5001
duration_s,50.0
position_rmse_m,0.28278484035267554
x_rmse_m,0.1112519824184596
y_rmse_m,0.11152410848118147
z_rmse_m,0.234845982654013
max_position_error_m,1.4273548440272725
steady_state_error_m,0.10311183923073643
settling_time_s,7.1000000000000005
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.08336940649481939
disturbance_recovery_time_s,3.030000000000001
overshoot_x_pct,4.843370969501848
overshoot_y_pct,4.8574187386295264
overshoot_z_pct,2.0380969861003826
overshoot_max_pct,4.8574187386295264
roll_rmse_rad,0.02411372106236418
pitch_rmse_rad,0.02406294294651643
yaw_rmse_rad,0.0008428728702772074
max_tilt_rad,0.17412163096204086
minimum_altitude_m,0.0
altitude_violation_count,70
tilt_violation_count,0
constraint_violation_count,70
control_energy,47665.174880169594
control_smoothness,13329.585348068333
control_command_min,-19.999999716915987
control_command_max,20.0
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,89.17088370170259
robustness_score,60.76923076923077
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,52.443572802818466
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_robust_mass20_ablation
