metric,value
generated_at,2026-05-10T21:28:40
raw_file,results/raw/robust_mass20_example1_awff_sysblock_smoke.csv
scene_id,robust_mass20_example1_smoke
controller_id,awff_sysblock
row_count,101
duration_s,1.0
position_rmse_m,1.0094767971255725
x_rmse_m,2.8820271365385695e-13
y_rmse_m,3.0299107111496124e-13
z_rmse_m,1.0094767971255725
max_position_error_m,1.4273548440272725
steady_state_error_m,0.8977458941645065
settling_time_s,nan
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,nan
disturbance_recovery_time_s,nan
overshoot_x_pct,nan
overshoot_y_pct,nan
overshoot_z_pct,0.0
overshoot_max_pct,0.0
roll_rmse_rad,5.941658725161083e-13
pitch_rmse_rad,6.218716347577045e-13
yaw_rmse_rad,1.034395942586383e-09
max_tilt_rad,3.5313363037692945e-12
minimum_altitude_m,0.0
altitude_violation_count,70
tilt_violation_count,0
constraint_violation_count,70
control_energy,961.4268749438077
control_smoothness,3239.3799431695547
control_command_min,-18.886500994469156
control_command_max,18.886501002319523
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,58.17864547519592
robustness_score,0.0
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,27.953593642558776
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_robust_mass20_smoke
