metric,value
altitude_violation_count,70
altitude_violation_rate_hz,1.4
constraint_violation_count,70
constraint_violation_rate_hz,1.4
control_command_max,21.160022150685265
control_command_min,-21.16002209689162
control_command_normalized,False
control_energy,47665.29390245021
control_energy_per_second,953.3058780490043
control_smoothness,13535.800228953558
control_smoothness_per_second,270.7160045790712
controller_id,enhanced_pid
disturbance_peak_error_m,0.08352535690602991
disturbance_recovery_time_s,3.030000000000001
disturbance_window_end_s,19.0
disturbance_window_start_s,15.0
duration_s,50.0
energy_score,0.0
evidence_level,real_sysplorer_mcp_robust_mass20_ablation
fault_tolerance_score,35.0
generated_at,2026-05-10T21:50:46
max_position_error_m,1.427467267655979
max_tilt_rad,0.17412446908325044
minimum_altitude_m,0.0
nan_count,0
overshoot_max_pct,4.8616902673589735
overshoot_x_pct,4.843648065209081
overshoot_y_pct,4.8616902673589735
overshoot_z_pct,2.0340801019074917
pitch_rmse_rad,0.024063273885708846
position_rmse_m,0.28261004430625847
raw_file,results/raw/robust_mass20_example1_enhanced_pid.csv
robustness_score,60.76923076923077
roll_rmse_rad,0.02411580460066154
row_count,5001
safety_score,35.0
sample_rate_hz,100.0
saturation_ratio,
scene_id,robust_mass20_example1
settling_time_s,7.1000000000000005
smoothness_score,0.0
source,MWORKS_MCP
steady_state_error_m,0.10314423030972136
tilt_violation_count,0
tilt_violation_rate_hz,0.0
total_health_score,52.444635969860734
tracking_score,89.17442759184348
valid,True
x_rmse_m,0.11124135774156312
y_rmse_m,0.11156141058446631
yaw_rmse_rad,0.0008431576745783765
z_rmse_m,0.23462278052014274
