metric,value
generated_at,2026-05-10T10:37:34
raw_file,results/raw/robust_mass20_example1_improved_pid.csv
scene_id,robust_mass20_example1
controller_id,improved_pid
row_count,5001
duration_s,50.0
position_rmse_m,0.28648428433311085
x_rmse_m,0.10987943841419186
y_rmse_m,0.10999686407677409
z_rmse_m,0.2406251110688829
max_position_error_m,1.4965080699856017
steady_state_error_m,0.10550767803695177
settling_time_s,7.3
overshoot_x_pct,4.6333945362971285
overshoot_y_pct,4.827565699615697
overshoot_z_pct,1.7823327287991475
overshoot_max_pct,4.827565699615697
roll_rmse_rad,0.023667892380850503
pitch_rmse_rad,0.023611441478291813
yaw_rmse_rad,0.0008758695569785316
max_tilt_rad,0.28941434575818126
minimum_altitude_m,0.0
altitude_violation_count,72
tilt_violation_count,0
constraint_violation_count,72
control_energy,47696.4934553631
control_smoothness,180930.15301351727
control_command_min,-21.707188070542564
control_command_max,25.36264979336199
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,88.5952688906514
robustness_score,59.23076923076923
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,51.886272974887724
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_robust_mass20_ablation
