metric,value
altitude_violation_count,72
altitude_violation_rate_hz,1.44
constraint_violation_count,72
constraint_violation_rate_hz,1.44
control_command_max,23.92801578478097
control_command_min,-21.707187634070692
control_command_normalized,False
control_energy,47694.49745545628
control_energy_per_second,953.8899491091256
control_smoothness,118385.62219678775
control_smoothness_per_second,2367.712443935755
controller_id,pid_baseline
disturbance_peak_error_m,0.09871049189750103
disturbance_recovery_time_s,3.1799999999999997
disturbance_window_end_s,19.0
disturbance_window_start_s,15.0
duration_s,50.0
energy_score,0.0
evidence_level,real_sysplorer_mcp_robust_mass20_ablation
fault_tolerance_score,35.0
generated_at,2026-05-10T21:50:46
max_position_error_m,1.496509151259692
max_tilt_rad,0.2413034927981424
minimum_altitude_m,0.0
nan_count,0
overshoot_max_pct,4.973062408210183
overshoot_x_pct,4.8529087627452405
overshoot_y_pct,4.973062408210183
overshoot_z_pct,1.7823327743804758
pitch_rmse_rad,0.02294195729100876
position_rmse_m,0.2914409001406159
raw_file,results/raw/robust_mass20_example1_pid_baseline.csv
robustness_score,59.23076923076923
roll_rmse_rad,0.022987075575344865
row_count,5001
safety_score,35.0
sample_rate_hz,100.0
saturation_ratio,
scene_id,robust_mass20_example1
settling_time_s,7.3
smoothness_score,0.0
source,MWORKS_MCP
steady_state_error_m,0.11142752740553585
tilt_violation_count,0
tilt_violation_rate_hz,0.0
total_health_score,51.820711344537045
tracking_score,88.37673012281579
valid,True
x_rmse_m,0.11612940551742337
y_rmse_m,0.11641252902265829
yaw_rmse_rad,0.0007791035491853819
z_rmse_m,0.24062394422727557
