metric,value
altitude_violation_count,65
altitude_violation_rate_hz,1.3
constraint_violation_count,65
constraint_violation_rate_hz,1.3
control_command_max,20.82291822396501
control_command_min,-20.004190344935317
control_command_normalized,False
control_energy,41577.82353717066
control_energy_per_second,831.5564707434132
control_smoothness,13260.581316620173
control_smoothness_per_second,265.21162633240345
controller_id,enhanced_pid
disturbance_peak_error_m,0.25881826586774087
disturbance_recovery_time_s,13.759999999999998
disturbance_window_end_s,19.0
disturbance_window_start_s,15.0
duration_s,50.0
energy_score,0.0
evidence_level,real_sysplorer_mcp_robust_rotor_loss_ablation
fault_tolerance_score,35.0
generated_at,2026-05-10T21:50:46
max_position_error_m,1.329255948681006
max_tilt_rad,0.1746610848994194
minimum_altitude_m,0.0
nan_count,0
overshoot_max_pct,6.622862813557814
overshoot_x_pct,6.622862813557814
overshoot_y_pct,3.078650158706413
overshoot_z_pct,1.9602231128870073
pitch_rmse_rad,0.024348936844232144
position_rmse_m,0.3682509025947223
raw_file,results/raw/robust_rotor1_loss15_example1_enhanced_pid.csv
robustness_score,0.0
roll_rmse_rad,0.02440529494431275
row_count,5001
safety_score,35.0
sample_rate_hz,100.0
saturation_ratio,
scene_id,robust_rotor1_loss15_example1
settling_time_s,
smoothness_score,0.0
source,MWORKS_MCP
steady_state_error_m,0.2654161222600322
tilt_violation_count,0
tilt_violation_rate_hz,0.0
total_health_score,36.05055620240209
tracking_score,85.16852067467366
valid,True
x_rmse_m,0.20919601732877727
y_rmse_m,0.20945336878088613
yaw_rmse_rad,0.0008621025865621853
z_rmse_m,0.2190320522251117
