metric,value
altitude_violation_count,64
altitude_violation_rate_hz,64.0
constraint_violation_count,64
constraint_violation_rate_hz,64.0
control_command_max,17.278063784609937
control_command_min,-17.27806378904305
control_command_normalized,False
control_energy,838.0626848214298
control_energy_per_second,838.0626848214298
control_smoothness,3111.907868638547
control_smoothness_per_second,3111.907868638547
controller_id,awff_sysblock
disturbance_peak_error_m,
disturbance_recovery_time_s,
disturbance_window_end_s,19.0
disturbance_window_start_s,15.0
duration_s,1.0
energy_score,0.0
evidence_level,real_sysplorer_mcp_sysblock_robust_wind_gust_smoke
fault_tolerance_score,35.0
generated_at,2026-05-10T21:50:47
max_position_error_m,1.2971674565608264
max_tilt_rad,5.866615548024392e-12
minimum_altitude_m,0.0
nan_count,0
overshoot_max_pct,0.0
overshoot_x_pct,
overshoot_y_pct,
overshoot_z_pct,0.0
pitch_rmse_rad,1.1078265544640938e-12
position_rmse_m,0.9528701450051072
raw_file,results/raw/robust_wind_gust_example1_awff_sysblock_smoke.csv
robustness_score,0.0
roll_rmse_rad,1.0652953576490038e-12
row_count,101
safety_score,35.0
sample_rate_hz,100.0
saturation_ratio,
scene_id,robust_wind_gust_example1_smoke
settling_time_s,
smoothness_score,0.0
source,MWORKS_MCP
steady_state_error_m,0.8551108938003571
tilt_violation_count,0
tilt_violation_rate_hz,0.0
total_health_score,28.844582924997816
tracking_score,61.14860974999272
valid,True
x_rmse_m,3.388426149867023e-14
y_rmse_m,2.329947433501568e-13
yaw_rmse_rad,5.574200426730292e-10
z_rmse_m,0.9528701450051072
