metric,value
generated_at,2026-05-10T11:15:17
raw_file,results/raw/robust_wind_gust_example1_enhanced_pid.csv
scene_id,robust_wind_gust_example1
controller_id,enhanced_pid
row_count,25001
duration_s,50.0
position_rmse_m,0.3182596263794641
x_rmse_m,0.19493753931656624
y_rmse_m,0.131176022730809
z_rmse_m,0.21466577884917987
max_position_error_m,1.2973546103337443
steady_state_error_m,0.10320677237206322
settling_time_s,5.748
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.696233508221103
disturbance_recovery_time_s,3.242000000000001
overshoot_x_pct,4.841966096682153
overshoot_y_pct,4.856261011531302
overshoot_z_pct,1.9393514096863385
overshoot_max_pct,4.856261011531302
roll_rmse_rad,0.030625150467938882
pitch_rmse_rad,0.04977027852507028
yaw_rmse_rad,0.0021197505479003463
max_tilt_rad,0.19660556550344221
minimum_altitude_m,0.0
altitude_violation_count,317
tilt_violation_count,0
constraint_violation_count,317
control_energy,39941.84765952706
control_smoothness,13847.566947524863
control_command_min,-19.682001033268225
control_command_max,19.68200207521279
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,89.0405382389487
robustness_score,71.16923076923077
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,55.0044691639923
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_robust_wind_gust_ablation
