metric,value
altitude_violation_count,324
altitude_violation_rate_hz,6.48
constraint_violation_count,324
constraint_violation_rate_hz,6.48
control_command_max,24.036830499874707
control_command_min,-20.341303882155962
control_command_normalized,False
control_energy,39972.18202616042
control_energy_per_second,799.4436405232085
control_smoothness,199379.77386606764
control_smoothness_per_second,3987.595477321353
controller_id,improved_pid
disturbance_peak_error_m,0.6992554598584675
disturbance_recovery_time_s,3.2959999999999994
disturbance_window_end_s,19.0
disturbance_window_start_s,15.0
duration_s,50.0
energy_score,0.0
evidence_level,real_sysplorer_mcp_robust_wind_gust_ablation
fault_tolerance_score,35.0
generated_at,2026-05-10T21:50:47
max_position_error_m,1.3694029985483809
max_tilt_rad,0.27864000326135213
minimum_altitude_m,0.0
nan_count,0
overshoot_max_pct,4.83201805343997
overshoot_x_pct,4.65613930001318
overshoot_y_pct,4.83201805343997
overshoot_z_pct,1.6911015768668018
pitch_rmse_rad,0.04952034829627929
position_rmse_m,0.322116046475634
raw_file,results/raw/robust_wind_gust_example1_improved_pid.csv
robustness_score,60.33846153846154
roll_rmse_rad,0.03026210244367158
row_count,25001
safety_score,35.0
sample_rate_hz,500.0
saturation_ratio,
scene_id,robust_wind_gust_example1
settling_time_s,7.156000000000001
smoothness_score,0.0
source,MWORKS_MCP
steady_state_error_m,0.10565092753854204
tilt_violation_count,0
tilt_violation_rate_hz,0.0
total_health_score,52.11706863582761
tracking_score,88.44151083737408
valid,True
x_rmse_m,0.19551310259400942
y_rmse_m,0.13036187635672233
yaw_rmse_rad,0.002059782091231363
z_rmse_m,0.2203160350585307
