metric,value
altitude_violation_count,324
altitude_violation_rate_hz,6.48
constraint_violation_count,324
constraint_violation_rate_hz,6.48
control_command_max,22.634452655028596
control_command_min,-20.341304660075075
control_command_normalized,False
control_energy,39969.9035320558
control_energy_per_second,799.3980706411161
control_smoothness,137859.99254569283
control_smoothness_per_second,2757.1998509138566
controller_id,pid_baseline
disturbance_peak_error_m,0.7539940210971918
disturbance_recovery_time_s,3.460000000000001
disturbance_window_end_s,19.0
disturbance_window_start_s,15.0
duration_s,50.0
energy_score,0.0
evidence_level,real_sysplorer_mcp_robust_wind_gust_ablation
fault_tolerance_score,35.0
generated_at,2026-05-10T21:50:48
max_position_error_m,1.3694029979271414
max_tilt_rad,0.228848862178107
minimum_altitude_m,0.0
nan_count,0
overshoot_max_pct,4.972824262229114
overshoot_x_pct,4.9015783134279545
overshoot_y_pct,4.972824262229114
overshoot_z_pct,1.6911015772428328
pitch_rmse_rad,0.04916054386210043
position_rmse_m,0.3347062571583187
raw_file,results/raw/robust_wind_gust_example1_pid_baseline.csv
robustness_score,60.33846153846154
roll_rmse_rad,0.029771671461980485
row_count,25001
safety_score,35.0
sample_rate_hz,500.0
saturation_ratio,
scene_id,robust_wind_gust_example1
settling_time_s,7.156000000000001
smoothness_score,0.0
source,MWORKS_MCP
steady_state_error_m,0.11149990106072491
tilt_violation_count,0
tilt_violation_rate_hz,0.0
total_health_score,51.98991881831737
tracking_score,88.01767811233995
valid,True
x_rmse_m,0.20994467493579605
y_rmse_m,0.1393314912812481
yaw_rmse_rad,0.0020598698710355707
z_rmse_m,0.2203139750092521
