metric,value
altitude_violation_count,65
constraint_violation_count,65
control_energy,
control_smoothness,
controller_id,pid_baseline
duration_s,1.0
energy_score,0.0
fault_tolerance_score,0.0
generated_at,2026-05-08T22:35:33
max_position_error_m,1.3694021270177918
max_tilt_rad,
minimum_altitude_m,0.0
nan_count,0
overshoot_max_pct,0.0
overshoot_x_pct,
overshoot_y_pct,
overshoot_z_pct,0.0
pitch_rmse_rad,
position_rmse_m,0.9779591521275217
raw_file,results/raw/smoke_official_example1_pid_baseline.csv
robustness_score,0.0
roll_rmse_rad,
row_count,101
safety_score,0.0
saturation_ratio,
scene_id,official_example1
settling_time_s,
smoothness_score,0.0
steady_state_error_m,0.8737184287305172
tilt_violation_count,0
total_health_score,17.92309025526639
tracking_score,59.74363418422131
valid,True
x_rmse_m,2.5459991144761275e-13
y_rmse_m,2.1145057973877107e-13
yaw_rmse_rad,
z_rmse_m,0.9779591521275217
