metric,value
generated_at,2026-05-14T18:01:32
raw_file,results/official/example1_planar_figure8/official_example1_planar_figure8_trail_sysblock/raw/official_example1_planar_figure8_trail_sysblock.csv
scene_id,official_example1_planar_figure8
controller_id,linear_mpc_sysblock
row_count,2401
duration_s,120.0
sample_rate_hz,20.0
position_rmse_m,0.018862435926557307
x_rmse_m,0.007250257447359864
y_rmse_m,0.017364427952838973
z_rmse_m,0.0013045680898854768
max_position_error_m,0.1460319954797415
steady_state_error_m,0.0117481968386875
settling_time_s,0.0
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.016370939097857702
disturbance_recovery_time_s,0.0
overshoot_x_pct,68.42899851536374
overshoot_y_pct,5.92708936519094
overshoot_z_pct,nan
overshoot_max_pct,68.42899851536374
roll_rmse_rad,0.004812444393393136
pitch_rmse_rad,0.002258422020432002
yaw_rmse_rad,0.0001088548519488126
max_tilt_rad,0.07239514064802477
minimum_altitude_m,0.9875301713425594
altitude_violation_count,0
tilt_violation_count,0
constraint_violation_count,0
constraint_violation_rate_hz,0.0
altitude_violation_rate_hz,0.0
tilt_violation_rate_hz,0.0
control_energy,9.534399882922804
control_energy_per_second,0.07945333235769003
control_smoothness,95.13033834839936
control_smoothness_per_second,0.7927528195699947
control_command_min,-0.837299511225646
control_command_max,0.771887452163408
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,100.0
robustness_score,100.0
safety_score,100.0
energy_score,43.07011057923856
smoothness_score,81.13620473979972
fault_tolerance_score,100.0
total_health_score,93.36382129491385
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_native_gui_planar_figure8_trail
