time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.01,-9.600509310112305e-16,-1.59815676749964e-15,1.5574170894165072e-06,0.0,0.0,0.02,-6.252373568390856e-14,3.933832869015323e-14,1.828244332093743e-13,1.1028182614949362,-1.1028182614976472,1.1028182614960569,-1.1028182614899267
0.02,-2.043971383247026e-15,-3.3165639271827818e-15,3.128511207276964e-06,0.0,0.0,0.04,-1.322191276290713e-13,8.173017471867236e-14,2.1680541137259293e-13,2.1004726455786003,-2.100472645585353,2.100472645581048,-2.100472645570494
0.03,-3.105037797226513e-15,-5.025819879207584e-15,4.7249185583837754e-06,0.0,0.0,0.06,-1.9705810343275146e-13,1.2678784706721385e-13,5.727371995782818e-13,3.0052984518346513,-3.0052984518416745,3.005298451837796,-3.0052984518210537
0.04,-4.169834841895612e-15,-6.70764641431627e-15,6.355479832932734e-06,0.0,0.0,0.08,-2.9707345757359156e-13,1.4167841157146874e-13,-4.304531102950339e-12,3.828189598170132,-3.828189598226968,3.828189598179041,-3.8281895982014107
0.05,-5.023510828018746e-15,-8.004304128313566e-15,8.026404121359444e-06,0.0,0.0,0.1,-3.6332097512237953e-13,1.611653091586832e-13,-6.286438796382171e-12,4.578767587597544,-4.578767587673596,4.5787675876089065,-4.578767587645579
0.06,-5.503840922733706e-15,-8.6391835824346e-15,9.741839239999495e-06,0.0,0.0,0.12,-3.5158652523052705e-13,1.9797598958885426e-13,-8.335255911993931e-13,5.265530626145362,-5.265530626162344,5.265530626150954,-5.265530626136342
0.07,-5.4923408450717645e-15,-8.694413451175364e-15,1.150437282931389e-05,0.0,0.0,0.14,-3.054131764566644e-13,2.1108439618279845e-13,5.433359868509708e-12,5.896014060779204,-5.89601406073456,5.896014060779887,-5.8960140607144265
0.08,-5.0372231199115715e-15,-8.48622261725837e-15,1.3315421091336222e-05,0.0,0.0,0.16,-2.5605129397834445e-13,2.0266464443836146e-13,1.1506946449286103e-11,6.476849008660293,-6.4768490085610475,6.476849008658539,-6.476849008547549
0.09,-4.064605358284611e-15,-8.108280232994825e-15,1.5175533809141554e-05,0.0,0.0,0.18,-2.0604148776411674e-13,1.7625683142031591e-13,1.8284161944873426e-11,7.013791055131211,-7.013791054974768,7.013791055128849,-7.013791054968098
0.1,-3.609787075051414e-15,-8.708651867737725e-15,1.7084675809471743e-05,0.0,0.0,0.2,-1.9806036693265125e-13,1.3079276700858276e-13,2.3586156355518738e-11,7.51209146069971,-7.512091460506006,7.512091460701474,-7.5120914605036235
0.11,-3.593720333193759e-15,-9.795304276070515e-15,1.9042388786922264e-05,0.0,0.0,0.22000000000000003,-2.0915806249683906e-13,8.630054380620195e-14,2.7981565893456606e-11,7.976315806116648,-7.976315805895884,7.976315806122925,-7.976315805895607
0.12,-3.600854362278515e-15,-1.0438363574957254e-14,2.1047948496857536e-05,0.0,0.0,0.24,-2.184943234729969e-13,5.2306641495054273e-14,3.248766825854408e-11,8.410498555723068,-8.41049855547364,8.410498555732,-8.410498555474211
0.13,-3.780533485235469e-15,-1.0668561952794812e-14,2.31004832618764e-05,0.0,0.0,0.26,-2.2002523617346233e-13,4.005046130055134e-14,3.735614032849908e-11,8.818227926366138,-8.818227926083738,8.818227926374808,-8.81822792608367
