metric,value
altitude_violation_count,64
altitude_violation_rate_hz,1.28
constraint_violation_count,64
constraint_violation_rate_hz,1.28
control_command_max,19.680864647168814
control_command_min,-19.680864770624343
control_command_normalized,False
control_energy,39896.20783996237
control_energy_per_second,797.9241567992474
control_smoothness,13258.808830598391
control_smoothness_per_second,265.17617661196783
controller_id,awff_sysblock
disturbance_peak_error_m,0.07500943421162631
disturbance_recovery_time_s,3.030000000000001
disturbance_window_end_s,19.0
disturbance_window_start_s,15.0
duration_s,50.0
energy_score,0.0
evidence_level,real_sysplorer_mcp_sysblock_closed_loop_full
fault_tolerance_score,35.0
generated_at,2026-05-10T21:50:45
max_position_error_m,1.2971645328538624
max_tilt_rad,0.17443707481533027
minimum_altitude_m,0.0
nan_count,0
overshoot_max_pct,4.861414167262392
overshoot_x_pct,4.840481237915846
overshoot_y_pct,4.861414167262392
overshoot_z_pct,1.9391750448597733
pitch_rmse_rad,0.024073966423878414
position_rmse_m,0.26621660464182034
raw_file,results/raw/official_example1_awff_sysblock.csv
robustness_score,71.15384615384616
roll_rmse_rad,0.024126847332154186
row_count,5001
safety_score,35.0
sample_rate_hz,100.0
saturation_ratio,
scene_id,official_example1
settling_time_s,5.75
smoothness_score,0.0
source,MWORKS_MCP
steady_state_error_m,0.10314378672117308
tilt_violation_count,0
tilt_violation_rate_hz,0.0
total_health_score,55.423227373324366
tracking_score,90.44921944954275
valid,True
x_rmse_m,0.11123159763170141
y_rmse_m,0.11154225307715675
yaw_rmse_rad,0.0008442615036424516
z_rmse_m,0.2146092683315194
