time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.01,6.106522709834352e-16,2.7387624475511737e-15,1.5574170898135431e-06,0.0,0.0,0.02,1.1804115131034166e-13,-2.566353656099176e-14,-4.0845811465462645e-13,1.1028182614964999,-1.1028182614894213,1.1028182614887192,-1.1028182615015734
0.02,1.3255168137069391e-15,5.563145767815169e-15,3.128511203706499e-06,0.0,0.0,0.04,2.444569848270819e-13,-5.496906007226216e-14,-5.446727522181817e-14,2.100472645585636,-2.100472645567558,2.1004726455713336,-2.1004726455901808
0.03,2.0104782660718346e-15,8.295450854135883e-15,4.724918559843956e-06,0.0,0.0,0.06,3.5397790110323414e-13,-7.891003903847045e-14,-2.441520976630263e-12,3.005298451834178,-3.005298451827515,3.0052984518155808,-3.0052984518567656
0.04,2.7654915688318642e-15,1.0938204457039353e-14,6.35547984355991e-06,0.0,0.0,0.08,4.834877318979325e-13,-1.2426917545561427e-13,-2.775605548694578e-12,3.828189598195543,-3.8281895981850282,3.828189598173504,-3.828189598223266
0.05,3.2916163967544987e-15,1.2948088622615763e-14,8.026404129430855e-06,0.0,0.0,0.1,5.787026888966519e-13,-1.498357510849297e-13,-3.3889880836816884e-12,4.578767587633984,-4.578767587625338,4.57876758761023,-4.578767587666796
0.06,3.4473953140428917e-15,1.4043256441445652e-14,9.741839253283704e-06,0.0,0.0,0.12,6.266079509727301e-13,-1.4535089032192804e-13,-4.3206338593467065e-12,5.265530626147473,-5.265530626147309,5.265530626123511,-5.265530626184767
0.07,3.331786793434327e-15,1.4254904749404926e-14,1.1504370818694798e-05,0.0,0.0,0.14,6.369037434084143e-13,-1.292571393150551e-13,-4.601410501268849e-12,5.896003518248747,-5.8960035182548065,5.896003518226529,-5.896003518285532
0.08,3.2102884246055138e-15,1.3723831911886689e-14,1.3315421036300785e-05,0.0,0.0,0.16,6.200736399691491e-13,-1.0924025020931749e-13,-6.096649106012056e-12,6.4768855422155855,-6.476885542237438,6.476885542196397,-6.476885542260751
0.09,3.1077208064716336e-15,1.2629221467577675e-14,1.5175547819291139e-05,0.0,0.0,0.18,5.845191449187433e-13,-9.162771841049747e-14,-6.8803460283700146e-12,7.013908501841278,-7.013908501874127,7.013908501826023,-7.013908501890462
0.1,2.883934259551183e-15,1.0799720956828197e-14,1.708469114129314e-05,0.0,0.0,0.2,5.221797294317075e-13,-6.829152561175347e-14,-8.751700386125746e-12,7.5121754027915495,-7.512175402843969,7.512175402780992,-7.5121754028523196
0.11,2.6309965791657013e-15,8.565427971365245e-15,1.9042411051024586e-05,0.0,0.0,0.22000000000000003,4.5086554482060555e-13,-5.051617878083305e-14,-1.1147181860019484e-11,7.976384086528189,-7.976384086603175,7.97638408652245,-7.976384086605088
0.12,2.1399094267509468e-15,6.258766061750096e-15,2.1047981713006816e-05,0.0,0.0,0.24,3.755146682514453e-13,-3.467399019552628e-14,-1.5148047992565557e-11,8.410563363535596,-8.410563363643682,8.41056336353418,-8.410563363640286
0.13,1.7310802971546656e-15,3.988693436291886e-15,2.3100531617765847e-05,0.0,0.0,0.26,3.003667990765397e-13,-1.3859982086812611e-14,-2.0007985011526284e-11,8.81830974297355,-8.818309743119828,8.818309742975112,-8.818309743111746
0.14,1.6917745411576785e-15,2.1573539840388668e-15,2.5199092269206585e-05,0.0,0.0,0.28,2.5693831432779814e-13,-1.404900236989057e-14,-2.3415099122252186e-11,9.202761257251076,-9.202761257421923,9.202761257254153,-9.20276125741439
0.15,2.1062596829426915e-15,7.205397360990194e-16,2.7342680186376075e-05,0.0,0.0,0.3,2.427712919353958e-13,-2.9945049663567216e-14,-2.5139569413484346e-11,9.56670196990836,-9.56670197008949,9.56670196991156,-9.566701970085898
0.16,2.8772992071699143e-15,-6.501039093530891e-16,2.9530336571189264e-05,0.0,0.0,0.32,2.327001886601904e-13,-3.467525206383236e-14,-2.64245371920742e-11,9.912592413349142,-9.91259241353776,9.912592413351229,-9.912592413536254
0.17,3.544902054957221e-15,-2.1811825860108862e-15,3.176116146307014e-05,0.0,0.0,0.34,2.0410264536261033e-13,-1.0013955225841942e-14,-2.9929854266216177e-11,10.242622187955506,-10.242622188169515,10.242622187955947,-10.242622188165145
0.18,4.269353060526627e-15,-3.5994871195688214e-15,3.403431767834108e-05,0.0,0.0,0.36,1.829933061610783e-13,9.676834668024762e-15,-3.367543148966539e-11,10.558721837833449,-10.558721838073971,10.558721837832529,-10.558721838068177
0.19,5.099457394148727e-15,-4.848782789124003e-15,3.6349053026602166e-05,0.0,0.0,0.38,1.6443285354943695e-13,2.1357865706999414e-14,-3.8483929636246026e-11,10.862593314177333,-10.862593314451733,10.862593314175946,-10.86259331444571
0.2,6.158559150254796e-15,-5.8459855820003266e-15,3.870470868740188e-05,0.0,0.0,0.4,1.551180812689584e-13,1.4638776806285587e-14,-4.367607772225646e-11,11.15574407539988,-11.155744075710155,11.155744075399019,-11.155744075706322
0.21,7.455373728263711e-15,-6.5642689120416105e-15,4.1100721888692096e-05,0.0,0.0,0.42000000000000004,1.5479464018588717e-13,-1.2100712556028557e-14,-4.9051814582226424e-11,11.439512019876348,-11.439512020223253,11.43951201987697,-11.439512020223662
0.22,8.985080756568946e-15,-6.889379416323761e-15,4.353662539163126e-05,0.0,0.0,0.44000000000000006,1.6111933446918693e-13,-6.107933018797603e-14,-5.4672050449965746e-11,11.71507070272621,-11.715070703111323,11.715070702729417,-11.71507070311737
0.23,1.0684214230266184e-14,-6.485266944902813e-15,4.6012050057236865e-05,0.0,0.0,0.4600000000000001,1.6945163901522644e-13,-1.4042812156597417e-13,-6.134554047608583e-11,11.983466518631184,-11.98346651906231,11.983466518638958,-11.983466519075263
0.24,1.1807387327960287e-14,-5.934218348443037e-15,4.8526717425136716e-05,0.0,0.0,0.48,1.7297705599402138e-13,-2.0865376204730862e-13,-6.844881971007875e-11,12.245623627721988,-12.245623628202946,12.245623627733156,-12.245623628220063
0.25,1.1567983273497118e-14,-5.899224214180028e-15,5.108043969874932e-05,0.0,0.0,0.5,1.6529407169190922e-13,-2.2122835054759936e-13,-7.529931603997152e-11,12.502355774029754,-12.50235577455981,12.502355774039945,-12.502355774574625
0.26,1.0091386181338829e-14,-6.323240342986389e-15,5.367311070958651e-05,0.0,0.0,0.52,1.4698541268543398e-13,-1.8525916227453117e-13,-8.206921827737167e-11,12.754395991980234,-12.754395992559555,12.75439599198651,-12.754395992567648
0.27,7.49640481244393e-15,-7.344391186541257e-15,5.630470634388887e-05,0.0,0.0,0.54,1.211891877517205e-13,-1.0044517107280599e-13,-8.848703105821433e-11,13.00238886955853,-13.002388870184877,13.002388869558196,-13.002388870183058
0.28,4.71435138368515e-15,-8.515461484809566e-15,5.897527809043389e-05,0.0,0.0,0.56,9.841040462747642e-14,-8.273657478908362e-15,-9.484832510946922e-11,13.246907922492127,-13.246907923164464,13.246907922485597,-13.246907923154417
0.29,2.070438862085607e-15,-9.947124865815844e-15,6.168494718855848e-05,0.0,0.0,0.58,8.112388788691969e-14,8.368403883158289e-14,-1.0090455983511667e-10,13.48845801580418,-13.488458016519543,13.488458015792387,-13.488458016503818
0.3,3.680136734830558e-16,-1.1346204572095822e-14,6.443394988985228e-05,0.0,0.0,0.6,7.931239833973277e-14,1.447332820289829e-13,-1.0667858453616742e-10,13.727489837575215,-13.727489838330321,13.727489837560459,-13.72748983831379
0.31,-2.0958364189541102e-16,-2.1609784986327748e-16,6.722892968795265e-05,0.0,0.0,0.62,6.525725461405185e-13,1.7570458489606398e-13,-1.1165109592850344e-10,13.964397447315065,-13.964397448057927,13.964397447254324,-13.964397448090203
0.32,2.3481330328845825e-16,3.812022189582303e-14,7.007780814420111e-05,0.0,0.0,0.64,2.4617254182749223e-12,1.9382409504454956e-13,-1.1505883051346474e-10,14.19953328965437,-14.199533290274697,14.199533289448972,-14.199533290455573
0.33,1.9326454507461255e-15,1.0872039954274128e-13,7.92179772753198e-05,0.0,0.0,0.66,5.737501809307291e-12,1.8317348514839414e-13,-1.185458294034303e-10,14.432851468975691,-14.43285146937883,14.432851468531544,-14.432851469804644
0.34,5.884563175795842e-15,1.506931174044259e-13,0.00012654750636912945,0.0,0.0,0.68,8.124413279500324e-12,6.907290279191778e-14,-1.2123676215064147e-10,14.662907416254182,-14.662907416566407,14.662907415711272,-14.662907417113336
0.35000000000000003,9.735581629316097e-15,1.2300302065378057e-13,0.00024852678906330824,0.0,0.0,0.7000000000000001,7.920721547372592e-12,-3.5879416297331973e-14,-1.241441851450504e-10,14.888141224134294,-14.888141224590576,14.88814122372251,-14.888141225021627
0.36,1.2118246214851958e-14,4.1122469069060635e-14,0.00047776633640566284,0.0,0.0,0.72,5.763016024015942e-12,-7.744190694881003e-14,-1.277409196447863e-10,15.107360693268015,-15.107360694000572,15.107360693107868,-15.107360694181569
0.37,1.3084439412836806e-14,-6.686532755828553e-14,0.0008449102522578439,0.0,0.0,0.74,2.784182898207294e-12,-7.13299104826608e-14,-1.3225730308627273e-10,15.319531018805236,-15.319531019830293,15.319531018902492,-15.319531019747547
0.38,1.3053030403805642e-14,-1.6805339295479329e-13,0.0013838101013728156,0.0,0.0,0.76,2.3799857468450035e-13,-3.723389442785357e-14,-1.3750331916573393e-10,15.523617062510532,-15.523617063741247,15.523617062771782,-15.523617063485363
0.39,1.2145281647506903e-14,-2.4214166750385455e-13,0.0021222118837749184,0.0,0.0,0.78,-1.077047765945225e-12,-3.866944223119989e-15,-1.457516560995403e-10,15.718858108848627,-15.718858110168743,15.718858109137688,-15.7188581098785
0.4,1.1109587086752507e-14,-2.8330942946886755e-13,0.003089556499887686,0.0,0.0,0.8,-1.0225723687335086e-12,2.1910050477269022e-14,-1.5495529981125204e-10,15.904525976511676,-15.904525977810001,15.904525976712035,-15.904525977604775
0.41000000000000003,1.031881843520169e-14,-2.991502150334414e-13,0.0043158315663520625,0.0,0.0,0.8200000000000001,6.051523921657296e-14,3.476750540908199e-14,-1.6442895715795718e-10,16.079965065914163,-16.07996506712941,16.079965065964085,-16.07996506707386
0.42,9.935718574144684e-15,-3.0498797536567036e-13,0.00582923834943715,0.0,0.0,0.8400000000000001,1.5568042668987123e-12,3.3772532010428775e-14,-1.740401250003794e-10,16.244631409480974,-16.244631410616936,16.244631409384457,-16.24463141070942
0.43,9.798115618503689e-15,-3.207641772726731e-13,0.007655451711712945,0.0,0.0,0.86,2.7124001135709514e-12,2.2630182923351632e-14,-1.854464226424876e-10,16.39815193073538,-16.398151931863957,16.398151930552274,-16.398151932045906
0.44,9.780078255301984e-15,-3.5975420502854313e-13,0.009819500445720226,0.0,0.0,0.8800000000000001,3.0261593480038186e-12,6.35190065785855e-15,-1.9900611686375389e-10,16.54019110345195,-16.540191104679554,16.540191103273504,-16.540191104859847
0.45,9.754154636330824e-15,-4.241634386667313e-13,0.012344724217170049,0.0,0.0,0.9,2.4235839423019134e-12,-7.647193407951421e-15,-2.1356426265926724e-10,16.670515056822076,-16.67051505823456,16.67051505672652,-16.670515058333837
0.46,9.467863856141163e-15,-5.098425873212615e-13,0.015251865585293064,0.0,0.0,0.9200000000000002,1.0844992206835309e-12,-1.3581553158749107e-14,-2.3024932639910073e-10,16.78904228389504,-16.789042285548607,16.78904228392265,-16.789042285524804
0.47000000000000003,8.870721220865105e-15,-6.018955251277079e-13,0.018560353290763398,0.0,0.0,0.9400000000000001,-4.238755825996774e-13,-8.091099728887584e-15,-2.480057372886398e-10,16.895748334133003,-16.895748336017572,16.895748334265154,-16.89574833588738
0.48,8.179090853040055e-15,-6.768428954939939e-13,0.02228811589978885,0.0,0.0,0.96,-1.2386441689854804e-12,6.991144110789242e-15,-2.6394528601569165e-10,16.99066428586739,-16.990664287889192,16.990664286022568,-16.990664287732944
0.49,7.503792242241504e-15,-7.291925584425993e-13,0.026450712336662182,0.0,0.0,0.9800000000000001,-1.1685806725931357e-12,2.5417422061437823e-14,-2.786778136479399e-10,17.07393240201945,-17.073932404086985,17.07393240211474,-17.073932403987715
0.5,7.0988304068162246e-15,-7.570483660169317e-13,0.031062058076743043,0.0,0.0,1.0,-1.7499999739705006e-13,3.758235535584903e-14,-2.919723265236772e-10,17.14574578461962,-17.145745786662474,17.14574578459566,-17.14574578668129
0.51,7.048913222848063e-15,-7.764720194435476e-13,0.03613418063170524,0.0,0.0,1.02,1.1205321902444594e-12,3.679319326530412e-14,-3.0443792687164125e-10,17.206362133953782,-17.206362135969947,17.206362133815624,-17.20636213610421
0.52,7.356148620121007e-15,-8.010962372012731e-13,0.04167728605026672,0.0,0.0,1.04,2.1963173271127632e-12,2.151241257974985e-14,-3.159947527440639e-10,17.256095417897786,-17.256095419932123,17.256095417697843,-17.256095420131672
0.53,7.798225490415256e-15,-8.518847050651991e-13,0.04769974663094391,0.0,0.0,1.06,2.278130656660876e-12,-1.280003557983662e-15,-3.2623987616364647e-10,17.29531023590758,-17.295310238047964,17.29531023574319,-17.295310238215837
