time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.01,-9.775949596780582e-16,-8.877729453803098e-17,1.5574440093669645e-06,0.0,0.0,0.02,-5.259543246785863e-15,3.487808001575383e-14,1.0133760967914245e-13,1.1104678499983782,-1.1104678499978087,1.1104678499959142,-1.1104678499945735
0.02,-1.9438122950089054e-15,-2.0399947511154144e-16,3.1288217236637474e-06,0.0,0.0,0.04,-1.472790221218462e-14,6.934831583945398e-14,-1.6209815273034897e-13,2.1149434489809056,-2.1149434489833046,2.1149434489767738,-2.1149434489770944
0.03,-2.893488819650045e-15,-3.1108843366882876e-16,4.7259607803377685e-06,0.0,0.0,0.06,-2.5016015944226137e-14,1.0043605589410589e-13,4.610204940006218e-13,3.0258594175480433,-3.0258594175456803,3.025859417542879,-3.0258594175373537
0.04,-3.703782000492064e-15,-3.4085142374909345e-16,6.357815802321492e-06,0.0,0.0,0.08,-1.3492162946426245e-14,8.046142799182657e-14,-2.2345693471197432e-12,3.854195564258646,-3.854195564280002,3.8541955642553445,-3.854195564275736
0.05,-4.494732036457172e-15,-3.869471886265113e-16,8.030671393462323e-06,0.0,0.0,0.1,-1.0299981113277993e-14,8.765273564074884e-14,-4.063138797412454e-12,4.609649193283436,-4.609649193319923,4.6096491932802355,-4.609649193316477
0.06,-5.2699923652491016e-15,-4.422626193675127e-16,9.748721180058655e-06,0.0,0.0,0.12,-2.3432599867076215e-14,1.7089260239599562e-13,-3.9491183125675666e-12,5.300785407252071,-5.300785407285555,5.300785407242933,-5.300785407274097
0.07,-6.140812730657887e-15,-4.539612736817785e-16,1.1514576510944083e-05,0.0,0.0,0.14,-4.542341134432618e-14,3.291700192515736e-13,-5.073700072712477e-12,5.935199363891857,-5.935199363935329,5.935199363872275,-5.9351993639104474
0.08,-6.321238970234963e-15,-3.653912150321075e-16,1.3329661118934741e-05,0.0,0.0,0.16,-6.922170817365612e-14,4.823306419027148e-13,-6.654693941186267e-12,6.5195852902565,-6.519585290313704,6.519585290229027,-6.519585290278116
0.09,-5.221280171215488e-15,-3.9728959269729556e-16,1.519453211631845e-05,0.0,0.0,0.18,-1.1944190115579288e-13,6.497643157026249e-13,-8.42569672864173e-12,7.059835897251032,-7.059835897324828,7.059835897217696,-7.059835897277208
0.1,-2.3656974569604198e-15,3.191805892209006e-16,1.7109123737439567e-05,0.0,0.0,0.2,-1.1950686461178786e-13,6.858890299397302e-13,-9.824578004721533e-12,7.561001369059653,-7.561001369142017,7.561001369028989,-7.5610013690990945
0.11,2.319167218899779e-15,1.5262448448523592e-15,1.9072966374513387e-05,0.0,0.0,0.22000000000000003,-9.415568103519174e-14,6.328382226914497e-13,-1.108295762961215e-11,8.02781776317222,-8.027817763260229,8.027817763149022,-8.027817763229963
0.12,8.369723005660081e-15,2.7490949385499322e-15,2.108532517687903e-05,0.0,0.0,0.24,-7.317632213778042e-14,5.34721688590732e-13,-1.1705197181223671e-11,8.464392017531672,-8.464392017620424,8.464392017518124,-8.464392017603307
0.13,1.5274792913133637e-14,4.020370886116044e-15,2.314529374626242e-05,0.0,0.0,0.26,-5.1978581836089124e-14,4.155675902433234e-13,-1.2575383003967648e-11,8.874311389086643,-8.874311389179228,8.874311389082314,-8.87431138917423
0.14,2.2614460655383547e-14,5.659213999795928e-15,2.525188646836517e-05,0.0,0.0,0.28,-9.507839547024265e-15,2.8286990587711394e-13,-1.4878153597537698e-11,9.260748824730507,-9.260748824838974,9.260748824733081,-9.260748824846395
0.15,3.001345522194024e-14,7.848644530902277e-15,2.7404098376966614e-05,0.0,0.0,0.3,5.916203629973838e-14,1.7523826521300595e-13,-2.0216640711490458e-11,9.626494295272986,-9.626494295422777,9.626494295277059,-9.626494295440121
0.16,3.6415436106233625e-14,9.315514076804392e-15,2.9600948001106118e-05,0.0,0.0,0.32,1.0755053970639189e-13,7.838967758014952e-14,-2.4288613170780868e-11,9.974022053707388,-9.974022053886236,9.974022053713233,-9.974022053909787
0.17,4.152734547722647e-14,9.905125790701137e-15,3.184149245453011e-05,0.0,0.0,0.34,1.2618616565071853e-13,1.1745995828232026e-14,-2.7073203943971814e-11,10.305564042287637,-10.305564042485294,10.305564042294481,-10.30556404250964
0.18,4.5483728320821365e-14,9.975810657104465e-15,3.412487911533579e-05,0.0,0.0,0.36,1.2435179338043886e-13,3.3650615570492772e-15,-3.049374828308728e-11,10.623091847186387,-10.623091847409645,10.623091847190905,-10.623091847428642
0.19,4.862987512908182e-14,9.770064435035902e-15,3.645034998688156e-05,0.0,0.0,0.38,1.1017045416478405e-13,5.227460104845721e-14,-3.5364897031645356e-11,10.928318782148864,-10.92831878241105,10.928318782147791,-10.928318782420245
