metric,value
altitude_violation_count,519
altitude_violation_rate_hz,10.38
constraint_violation_count,519
constraint_violation_rate_hz,10.38
control_command_max,18.74050994118814
control_command_min,-19.655353767045874
control_command_normalized,False
control_energy,37305.49869365801
control_energy_per_second,746.1099738731602
control_smoothness,30076.679195415018
control_smoothness_per_second,601.5335839083003
controller_id,awff_sysblock
disturbance_peak_error_m,0.2596335906575046
disturbance_recovery_time_s,2.3900000000000006
disturbance_window_end_s,19.0
disturbance_window_start_s,15.0
duration_s,50.0
energy_score,0.0
evidence_level,real_sysplorer_mcp_sysblock_closed_loop_full
fault_tolerance_score,35.0
generated_at,2026-05-10T21:50:45
max_position_error_m,3.0055972670651374
max_tilt_rad,0.29411338990172997
minimum_altitude_m,0.0
nan_count,0
overshoot_max_pct,6.222315162884333
overshoot_x_pct,6.222315162884333
overshoot_y_pct,
overshoot_z_pct,0.0
pitch_rmse_rad,0.048709870546595854
position_rmse_m,0.4873938470916601
raw_file,results/raw/official_example2_awff_sysblock.csv
robustness_score,62.38461538461539
roll_rmse_rad,0.026293969582538143
row_count,5001
safety_score,35.0
sample_rate_hz,100.0
saturation_ratio,
scene_id,official_example2
settling_time_s,6.890000000000001
smoothness_score,0.0
source,MWORKS_MCP
steady_state_error_m,0.1901960386016288
tilt_violation_count,0
tilt_violation_rate_hz,0.0
total_health_score,47.79304267084109
tracking_score,72.32296274895748
valid,True
x_rmse_m,0.4437459328012061
y_rmse_m,0.14237205771004868
yaw_rmse_rad,0.016547229975666138
z_rmse_m,0.14273228957948714
