time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
0.01,5.240389004202677e-15,4.6376171280560246e-15,1.555497981165e-06,0.0,0.0,0.0013333333333333335,1.951564546820842e-13,-2.2044096693322584e-13,1.5124272136113387e-14,0.0732893795213232,-0.07328937950473037,0.07328937952349852,-0.07328937953987749
0.02,1.0583416616985614e-14,9.322215006170055e-15,3.106258341463596e-06,0.0,0.0,0.002666666666666667,3.9150750917314293e-13,-4.4472750738318714e-13,4.3587317461747835e-13,0.13930380443176912,-0.13930380439918819,0.13930380443583934,-0.13930380446225704
0.03,1.6190812103584433e-14,1.4134498882309551e-14,4.649834906341676e-06,0.0,0.0,0.004,5.954845359910931e-13,-6.762270781518098e-13,9.096664522734888e-13,0.19890762473715154,-0.1989076246901134,0.1989076247426238,-0.19890762477679927
0.04,2.259272149752675e-14,1.967237808165292e-14,6.186305233748711e-06,0.0,0.0,0.005333333333333334,8.284974210887834e-13,-9.494661763422512e-13,1.0884314243239386e-12,0.25286349859875523,-0.2528634985387583,0.25286349860656654,-0.2528634986511731
0.05,2.9231691149258394e-14,2.535758562782396e-14,7.715734724405332e-06,0.0,0.0,0.006666666666666667,1.0693104529992598e-12,-1.2221902064233161e-12,1.6563968768831295e-12,0.3018444701358092,-0.3018444700613097,0.301844470144853,-0.301844470195931
0.06,3.64003614830583e-14,3.185187426978792e-14,9.23817930373654e-06,0.0,0.0,0.008,1.3399837090246795e-12,-1.5284922756013217e-12,1.8146900307159382e-12,0.3464444915668759,-0.34644449147997414,0.34644449157724494,-0.346444491638487
0.07,4.2750170324601535e-14,3.83834901706709e-14,1.0753688277908946e-05,0.0,0.0,0.009333333333333334,1.6060559336874997e-12,-1.806763585119116e-12,1.7475732478586278e-12,0.38719311656049205,-0.3871931164647552,0.38719311657013866,-0.38719311664116485
0.08,4.999238152154336e-14,4.5733163447607765e-14,1.2262304827161294e-05,0.0,0.0,0.010666666666666668,1.9059798225651594e-12,-2.125983358541752e-12,1.5449677440191545e-12,0.42454958125139625,-0.42454958114595215,0.42454958126124237,-0.4245495813448406
0.09,5.81301292692633e-14,5.383367106391053e-14,1.3764068825678857e-05,0.0,0.0,0.011999999999999999,2.23803910463466e-12,-2.4879502926521e-12,1.1304816143900237e-12,0.4589244630607884,-0.4589244629459161,0.45892446307173596,-0.4589244631706232
