metric,value
generated_at,2026-05-12T08:28:07
raw_file,results/official/example2_helix/official_example2_linear_mpc_sysblock/raw/official_example2_linear_mpc_sysblock.csv
scene_id,official_example2
controller_id,linear_mpc_sysblock
row_count,5001
duration_s,50.0
sample_rate_hz,100.0
position_rmse_m,0.4436313571051824
x_rmse_m,0.4059595636227151
y_rmse_m,0.10972339020088571
z_rmse_m,0.14130248176540927
max_position_error_m,3.0067693163318543
steady_state_error_m,0.14629245816909364
settling_time_s,6.97
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.1522351007085956
disturbance_recovery_time_s,0.0
overshoot_x_pct,4.783687602393671
overshoot_y_pct,nan
overshoot_z_pct,0.0
overshoot_max_pct,4.783687602393671
roll_rmse_rad,0.026840972707865902
pitch_rmse_rad,0.05378152645143867
yaw_rmse_rad,0.021240377447422593
max_tilt_rad,0.3678637703677258
minimum_altitude_m,0.0
altitude_violation_count,513
tilt_violation_count,0
constraint_violation_count,513
constraint_violation_rate_hz,10.26
altitude_violation_rate_hz,10.26
tilt_violation_rate_hz,0.0
control_energy,37368.865417749956
control_energy_per_second,747.3773083549991
control_smoothness,35677.35128391724
control_smoothness_per_second,713.5470256783448
control_command_min,-20.0
control_command_max,19.092480555302068
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,74.12544558923885
robustness_score,61.76923076923078
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,48.17994136907935
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_linear_mpc_helix_full
