time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.01,-1.3370429448620042e-15,-1.784607581189716e-15,1.5554981155677334e-06,0.0,0.0,0.0013333333333333335,-7.51655474450127e-14,5.5891995956510385e-14,-4.069531672845542e-14,0.07395057820522523,-0.07395057821088767,0.0739505782061614,-0.07395057820126473
0.02,-1.3779791210442431e-15,-2.838473378322761e-15,3.10626024897332e-06,0.0,0.0,0.002666666666666667,-1.1768014523109573e-13,6.758555446710773e-14,-4.957160077075555e-13,0.1408430231218489,-0.1408430231337928,0.14084302312474176,-0.1408430231218182
0.03,-2.0463972327288087e-15,-4.845691459857759e-15,4.64984235993775e-06,0.0,0.0,0.004,-2.066241163474904e-13,8.09765026897559e-14,1.5910945134970337e-13,0.20150541450142292,-0.20150541451203813,0.20150541450923254,-0.20150541449462328
0.04,-2.4590018349743778e-15,-7.0164008780916966e-15,6.1863242475624256e-06,0.0,0.0,0.005333333333333334,-3.00996322881037e-13,9.22109457108433e-14,8.404259409623314e-14,0.2566689275093576,-0.2566689275257417,0.2566689275218666,-0.25666892750344544
0.05,-3.3524472104016106e-15,-9.39921603356721e-15,7.715773598941331e-06,0.0,0.0,0.006666666666666667,-4.0584620420950836e-13,1.1324681801976539e-13,8.795844404900834e-13,0.30697932337156436,-0.30697932338587414,0.3069793233880879,-0.3069793233577835
0.06,-4.176254994894947e-15,-1.1701391281571132e-14,9.238248561009281e-06,0.0,0.0,0.008,-4.988816462213069e-13,1.4524590782612513e-13,1.104141290197579e-12,0.3530069685236726,-0.35300696853991576,0.3530069685417454,-0.35300696850664837
0.07,-5.5911286840481826e-15,-1.4280966636042442e-14,1.0753800625898552e-05,0.0,0.0,0.009333333333333334,-5.93272360165912e-13,2.0768588939182751e-13,1.7281445189899857e-12,0.3952614966948976,-0.39526149670923694,0.3952614967121276,-0.39526149666873667
0.08,-7.346381727734781e-15,-1.7423807557395436e-14,1.2262475303845458e-05,0.0,0.0,0.010666666666666668,-7.092172666661967e-13,2.819112608187972e-13,2.577579450352741e-12,0.4341883441841928,-0.434188344196046,0.4341883442015362,-0.43418834414692997
0.09,-8.661605118960716e-15,-2.0181795225212068e-14,1.376431305597481e-05,0.0,0.0,0.011999999999999999,-8.05433778172237e-13,3.382844977187466e-13,3.517724356173792e-12,0.470171426763988,-0.47017142677106477,0.47017142678181517,-0.47017142671733364
0.1,-9.24517771596464e-15,-2.2571616472128753e-14,1.5259350889458383e-05,0.0,0.0,0.013333333333333334,-8.818209821278637e-13,3.6548292915579795e-13,4.64327536966114e-12,0.5035484260032593,-0.5035484260026649,0.5035484260227158,-0.5035484259485025
0.11,-9.975606987106904e-15,-2.5474973185627057e-14,1.6747625863296848e-05,0.0,0.0,0.014666666666666668,-9.788895658808473e-13,3.990863492611701e-13,5.796993879143399e-12,0.5346356445101447,-0.5346356445035853,0.5346356445320247,-0.5346356444465866
0.12,-1.0627081922044091e-14,-2.8638201257712894e-14,1.822917319265621e-05,0.0,0.0,0.016,-1.0871874082103965e-12,4.298356748056937e-13,6.971319999064835e-12,0.5637094102080465,-0.5637094101963518,0.5637094102331217,-0.5637094101358238
0.13,-1.2552245127211792e-14,-3.3383180962394547e-14,1.970402643777398e-05,0.0,0.0,0.017333333333333333,-1.2672967199975317e-12,5.125255919786021e-13,7.917499599016367e-12,0.5910060534175767,-0.591006053407799,0.5910060534463029,-0.5910060533346284
0.14,-1.4655758435163056e-14,-3.880187371506289e-14,2.1172218943598457e-05,0.0,0.0,0.018666666666666668,-1.4746658844694201e-12,6.029723623493713e-13,8.905288576675393e-12,0.6167432943062304,-0.6167432942989073,0.6167432943395923,-0.6167432942122102
0.15,-1.6297475758161393e-14,-4.427067545341509e-14,2.263378347519609e-05,0.0,0.0,0.02,-1.6829020539390737e-12,6.752340759310997e-13,9.998168786218955e-12,0.6411062641300589,-0.641106264123359,0.6411062641691699,-0.641106264026046
0.16,-1.7933332073234396e-14,-5.028245319706211e-14,2.4088752595882363e-05,0.0,0.0,0.021333333333333336,-1.9149250206099188e-12,7.478057810379847e-13,1.1102661008621841e-11,0.6642582294576543,-0.6642582294521828,0.6642582295035941,-0.6642582293439041
0.17,-1.9871985118580777e-14,-5.728576617918375e-14,2.553715898818234e-05,0.0,0.0,0.02266666666666667,-2.1887237950596187e-12,8.333384637481411e-13,1.2219759587035407e-11,0.6863450110198767,-0.686345011017475,0.6863450110737958,-0.68634501089548
0.18,-2.17489450990359e-14,-6.51549084940987e-14,2.6979035514836427e-05,0.0,0.0,0.023999999999999997,-2.493996856847101e-12,9.172637808499794e-13,1.3537650060575071e-11,0.7074968085159654,-0.7074968085159913,0.7074968085793095,-0.7074968083795047
0.19,-2.4018593005179736e-14,-7.436882748665769e-14,2.8414414946041465e-05,0.0,0.0,0.025333333333333333,-2.85456289724265e-12,1.0175657611352379e-12,1.5058717097195312e-11,0.7278262610441657,-0.7278262610476385,0.7278262611184283,-0.727826260892791
0.2,-2.6187037516770864e-14,-8.452812701966285e-14,2.984333042131962e-05,0.0,0.0,0.02666666666666667,-3.2536250624755894e-12,1.113106137751047e-12,1.721118356316105e-11,0.7474362144801558,-0.7474362144830828,0.7474362145672016,-0.7474362143090652
0.21,-2.773613261106285e-14,-9.519537829844782e-14,3.126581526154557e-05,0.0,0.0,0.028,-3.673519413413429e-12,1.181786439941072e-12,2.039488350892447e-11,0.7664169007239701,-0.7664169007175721,0.7664169008260389,-0.7664169005268244
0.22,-2.973007533616541e-14,-1.0762718805665487e-13,3.268190292413682e-05,0.0,0.0,0.029333333333333336,-4.167817133932415e-12,1.2690719945481795e-12,2.3840879007758342e-11,0.7848474543811275,-0.7848474543673859,0.7848474545002614,-0.7848474541549996
