metric,value
generated_at,2026-05-11T18:21:37
raw_file,results/official/example3_figure8/official_example3_awff_indi_sysblock/raw/official_example3_awff_indi_sysblock.csv
scene_id,official_example3
controller_id,awff_indi_sysblock
row_count,12001
duration_s,120.0
sample_rate_hz,100.0
position_rmse_m,0.15223194237669022
x_rmse_m,0.03521644085625071
y_rmse_m,0.07990636191108767
z_rmse_m,0.12469699234276814
max_position_error_m,1.1394953053816974
steady_state_error_m,0.04971829928277647
settling_time_s,3.91
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.07025264639397986
disturbance_recovery_time_s,0.0
overshoot_x_pct,68.44749277635397
overshoot_y_pct,5.975345688153939
overshoot_z_pct,1.6340083073452938
overshoot_max_pct,68.44749277635397
roll_rmse_rad,0.02032101606639001
pitch_rmse_rad,0.009963060892616605
yaw_rmse_rad,0.008781787108504831
max_tilt_rad,0.2524490159724228
minimum_altitude_m,0.0
altitude_violation_count,123
tilt_violation_count,0
constraint_violation_count,123
constraint_violation_rate_hz,1.025
altitude_violation_rate_hz,1.025
tilt_violation_rate_hz,0.0
control_energy,95635.42147742884
control_energy_per_second,796.9618456452404
control_smoothness,26643.57786030239
control_smoothness_per_second,222.0298155025199
control_command_min,-19.198177274559228
control_command_max,17.1786371211982
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,94.58119656041329
robustness_score,85.3076923076923
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,60.201282045047066
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_l1_indi_figure8_full
