time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.01,-9.620526747434395e-15,4.400881575025598e-15,1.5559621711408462e-06,0.0,0.0,0.01,1.8630920610730823e-13,4.037581019660587e-13,-1.8557494954276394e-13,0.5513662671975031,-0.5513662671860007,0.5513662671502408,-0.5513662671652184
0.02,-2.0680321974457194e-14,8.961979075706433e-15,3.1117376696525393e-06,0.0,0.0,0.02,3.787610699833145e-13,8.460556494984053e-13,2.2952545042716965e-12,1.0501550770067423,-1.0501550769610244,1.050155076917795,-1.050155076921579
0.03,-3.171259533374121e-14,1.3748683454617867e-14,4.668345164129648e-06,0.0,0.0,0.03,5.831672168960946e-13,1.3149732914319601e-12,8.31550348033238e-13,1.5025338216124133,-1.5025338215708952,1.5025338214857331,-1.5025338215150568
0.04,-4.318634390157913e-14,1.8275511982415397e-14,6.228024672175124e-06,0.0,0.0,0.04,7.603286939386234e-13,1.7850144707810346e-12,-9.55861128620066e-13,1.9139490983660967,-1.9139490983338525,1.9139490982096243,-1.9139490982626743
0.05,-5.420834370417496e-14,2.2992276560739613e-14,7.792358292195174e-06,0.0,0.0,0.05,9.564629282691145e-13,2.2465826057394745e-12,-2.099175414172991e-12,2.289211305905393,-2.289211305875023,2.2892113057227457,-2.2892113057930086
0.06,-6.506420262494577e-14,2.728275159441239e-14,9.36241263445186e-06,0.0,0.0,0.06,1.1243695203243274e-12,2.6925010431429856e-12,-3.782860785739419e-12,2.6325692090838944,-2.6325692090621176,2.6325692088815758,-2.6325692089702932
0.07,-7.549629148679368e-14,3.010762975205998e-14,1.0938864247844686e-05,0.0,0.0,0.07,1.2454603786219925e-12,3.1193593018587747e-12,-2.200779609353075e-12,2.947790396262538,-2.947790396222216,2.9477903960472758,-2.9477903961201295
0.08,-8.505635010080362e-14,3.2696721287581375e-14,1.252209860330491e-05,0.0,0.0,0.08,1.3501525671627324e-12,3.5121123060753417e-12,-5.6136033281960643e-14,3.238218453415041,-3.23821845335402,3.238218453191382,-3.2382184532444613
0.09,-9.349015462244637e-14,3.572729774656278e-14,1.4112285058964048e-05,0.0,0.0,0.09,1.4517987554379932e-12,3.862015262859758e-12,1.600329561345208e-12,3.5067700087367886,-3.506770008661227,3.506770008508279,-3.50677000854796
0.1,-1.0026424708379523e-13,3.766689434088952e-14,1.5709436010833918e-05,0.0,0.0,0.1,1.5275215068175121e-12,4.154339169562513e-12,3.777654003334133e-12,3.7558911939545747,-3.755891193862047,3.75589119372675,-3.755891193747797
0.11,-1.0555417786512526e-13,3.8226438765714776e-14,1.731346436509687e-05,0.0,0.0,0.11000000000000001,1.561550420087417e-12,4.398352130418722e-12,7.937949219710838e-12,3.9879521640291946,-3.987952163904971,3.9879521638069906,-3.9879521637900077
0.12,-1.0909005324991985e-13,3.7933775854176674e-14,1.892422499640036e-05,0.0,0.0,0.12,1.5697049481946019e-12,4.5844541939118985e-12,1.3107245801033519e-11,4.205018897497788,-4.205018897335607,4.205018897285066,-4.205018897221893
0.13,-1.1161152846139959e-13,3.5118351532217606e-14,2.054152379559624e-05,0.0,0.0,0.13,1.4988936473329691e-12,4.74839636151104e-12,2.429651995047128e-11,4.408855603332903,-4.408855603084502,4.408855603133695,-4.408855602967014
0.14,-1.1269162270438093e-13,3.0756469781980534e-14,2.2165149528617717e-05,0.0,0.0,0.14,1.3794765085483972e-12,4.871426599341835e-12,3.8790662324335725e-11,4.601059611211776,-4.601059610854938,4.601059611029114,-4.601059610733244
0.15,-1.1196562894796638e-13,2.5703478724423722e-14,2.3794884737033435e-05,0.0,0.0,0.15,1.2451624090024349e-12,4.94254893163665e-12,5.512397193777707e-11,4.783018780638973,-4.783018780162223,4.7830187804741495,-4.783018780038864
0.16,-1.0969413341818009e-13,1.9689290452576113e-14,2.543051796337379e-05,0.0,0.0,0.16,1.0886222508363868e-12,4.9754394840358756e-12,7.453330925199156e-11,4.955966145581802,-4.955966144963659,4.955966145435436,-4.95596614483947
0.17,-1.0582840306681396e-13,1.327401490331491e-14,2.7071849024001656e-05,0.0,0.0,0.17,9.273921537686973e-13,4.967915567518281e-12,9.574911582319407e-11,5.120983400920715,-5.120983400150438,5.120983400792531,-5.120983400027505
0.18,-9.984713128415798e-14,8.179610075096482e-15,2.871869536207163e-05,0.0,0.0,0.18,8.141649501842297e-13,4.894288262199034e-12,1.1394237797509138e-10,5.279028110959576,-5.279028110066756,5.279028110848053,-5.27902810995276
0.19,-9.20013882849586e-14,4.401202114427898e-15,3.0370897802728885e-05,0.0,0.0,0.19,7.514225808913049e-13,4.768030686610955e-12,1.2955632468014395e-10,5.430955982279188,-5.430955981284409,5.430955982181837,-5.430955981184345
