time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.002,-6.361397676096521e-16,-3.347190910660427e-16,3.0965077957181907e-07,0.0,0.0,0.002,-1.4016517168011211e-14,2.6763647441788228e-14,6.984133816994785e-16,0.1182371368090963,-0.11823713681038733,0.11823713680791342,-0.11823713680661252
0.004,-1.3369452531094481e-15,-7.114174712457954e-16,6.215554394272159e-07,0.0,0.0,0.004,-2.9973762548807624e-14,5.627987480860864e-14,5.142897830711244e-15,0.23402546799274485,-0.2340254679954187,0.23402546799036558,-0.23402546798761895
0.006,-2.040537014660047e-15,-1.095461450826878e-15,9.331950129193318e-07,0.0,0.0,0.006,-4.625766816003425e-14,8.652576239040973e-14,2.3410796110393375e-14,0.3474256769274058,-0.3474256769313265,0.3474256769238481,-0.3474256769195963
0.008,-2.7472115529193893e-15,-1.4963680235548146e-15,1.2446468865676401e-06,0.0,0.0,0.008,-6.322305899454885e-14,1.1707884209241268e-13,5.749701073308041e-14,0.4584968089539921,-0.4584968089590439,0.4584968089493462,-0.45849680894348144
0.01,-3.4525458287827167e-15,-1.896425408920386e-15,1.5559995985914092e-06,0.0,0.0,0.01,-8.032346307968229e-14,1.475323279066904e-13,8.910716977800239e-14,0.5672964559672822,-0.5672964559734311,0.5672964559616219,-0.567296455954213
0.012,-4.165428785759846e-15,-2.3054617525902487e-15,1.8672909109478233e-06,0.0,0.0,0.012,-9.629387241761e-14,1.7876860346113538e-13,7.893161879956451e-14,0.6738807957880005,-0.6738807957953673,0.6738807957811844,-0.6738807957727012
0.014,-4.898454590486271e-15,-2.7370397404442652e-15,2.1785210023133888e-06,0.0,0.0,0.014000000000000002,-1.0789106347593623e-13,2.1238223405624676e-13,-2.698112551701056e-14,0.7783046262785543,-0.7783046262873321,0.7783046262699755,-0.7783046262615791
0.016,-5.648019629525612e-15,-3.1825458889437113e-15,2.4897002754748207e-06,0.0,0.0,0.016,-1.1581634204938004e-13,2.4783554817209946e-13,-1.7422485799578255e-13,0.8806213966296078,-0.8806213966397038,0.8806213966188168,-0.8806213966111844
0.018000000000000002,-6.396077309550752e-15,-3.619396100641162e-15,2.8008668779717486e-06,0.0,0.0,0.018000000000000002,-1.2469518754588238e-13,2.827600137383833e-13,-2.6016324930589134e-13,0.9808832396070309,-0.9808832396181019,0.9808832395942818,-0.9808832395868897
0.02,-7.128340933845499e-15,-4.032394783832177e-15,3.1120692523361824e-06,0.0,0.0,0.02,-1.3831828443061838e-13,3.153180030141091e-13,-2.2339513356599046e-13,1.0791410050040902,-1.0791410050157257,1.079141004990171,-1.0791410049816939
0.022,-7.855512432873223e-15,-4.43879927887347e-15,3.423342909064843e-06,0.0,0.0,0.022,-1.5406179408357053e-13,3.4700574935735e-13,-1.5757564604591512e-13,1.1754442926005761,-1.1754442926127437,1.1754442925858257,-1.1754442925758866
0.024,-8.585632417860299e-15,-4.849964670861706e-15,3.734703873773666e-06,0.0,0.0,0.024,-1.6977690573025943e-13,3.7893589823381576e-13,-1.170626761532028e-13,1.269841483355411,-1.2698414833682419,1.269841483339834,-1.2698414833286584
0.026000000000000002,-9.320175414965665e-15,-5.2603432443207584e-15,4.0461592581479425e-06,0.0,0.0,0.026000000000000002,-1.8435703155298296e-13,4.1098993588018625e-13,-7.170054885194746e-14,1.3623797688484551,-1.3623797688617654,1.362379768831962,-1.3623797688196662
0.028,-1.005504554444812e-14,-5.6433565529566066e-15,4.357720175750912e-06,0.0,0.0,0.028000000000000004,-1.9706438777276632e-13,4.415337314350895e-13,1.0262320525886696e-13,1.4531051798624477,-1.453105179875116,1.453105179845044,-1.4531051798309247
0.03,-1.0791375241982697e-14,-6.026303965101001e-15,4.669405427415866e-06,0.0,0.0,0.03,-2.0961250537727802e-13,4.720331594528928e-13,2.777446288603879e-13,1.542062614784926,-1.542062614796912,1.5420626147666363,-1.5420626147507224
0.032,-1.1527493612971558e-14,-6.451183279561215e-15,4.981236529431353e-06,0.0,0.0,0.032,-2.257389227001524e-13,5.046605811904733e-13,2.6222669792671683e-13,1.6292958678059144,-1.629295867818889,1.6292958677869047,-1.629295867770222
0.034,-1.2263249980541892e-14,-6.9398739005348546e-15,5.293231638751541e-06,0.0,0.0,0.034,-2.469477006565057e-13,5.406637900461498e-13,-4.3960450239214147e-14,1.7148476564848874,-1.7148476565013528,1.714847656465335,-1.7148476564494912
0.036000000000000004,-1.2997730362903024e-14,-7.46377620364205e-15,5.605403679082683e-06,0.0,0.0,0.036000000000000004,-2.709440679265047e-13,5.78624109339766e-13,-5.092038570782862e-13,1.7987596483971844,-1.7987596484184714,1.7987596483771777,-1.7987596483630912
0.038,-1.373082399751063e-14,-7.942131112088972e-15,5.917762577192232e-06,0.0,0.0,0.038,-2.911099767114209e-13,6.143154887908197e-13,-7.664958561688705e-13,1.8810724868856614,-1.8810724869098663,1.8810724868650675,-1.8810724868517008
