time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.01,8.438231903580377e-18,3.0611345557736284e-18,-6.755636029221016e-06,0.0,0.0,0.01,-1.0494582077977445e-15,-3.2988573469147987e-15,3.133151472474664e-15,0.5506843331610273,-0.5506843331611014,0.5506843331614196,-0.5506843331613013
0.02,1.5398958153720266e-17,5.549803225774344e-18,-1.3520042286588306e-05,0.0,0.0,0.02,-3.0003677253917786e-15,-1.1800336056255464e-14,1.3127393320536328e-14,1.0467041048413341,-1.0467041048414907,1.0467041048425667,-1.0467041048422243
0.03,1.5194482666711276e-17,7.068026731547707e-18,-2.0201618966415356e-05,0.0,0.0,0.03,-5.301497342749759e-15,-2.0993765014166697e-14,3.349380492967443e-14,1.4945482865831843,-1.4945482865833417,1.494548286585154,-1.494548286584523
0.04,3.440264692687002e-18,6.541615078122011e-18,-2.678716205164401e-05,0.0,0.0,0.04,-8.327752655719866e-15,-3.102618356144892e-14,7.115527892145614e-14,1.899947402673056,-1.8999474026731336,1.8999474026757728,-1.8999474026746892
0.05,-9.03631850950129e-18,7.23962226007152e-18,-3.326770627691412e-05,0.0,0.0,0.05,-1.1658507316494507e-14,-4.143765329151295e-14,1.2067755130300742e-13,2.2679588410297855,-2.2679588410296905,2.267958841033173,-2.267958841031561
0.06,-2.7416559822076266e-17,4.860573213472893e-18,-3.963756137137804e-05,0.0,0.0,0.06,-1.467628520137222e-14,-5.117405677238958e-14,1.5683997451527274e-13,2.6030459006729654,-2.6030459006727327,2.603045900676821,-2.6030459006748368
0.07,-3.7089584220682755e-17,9.730570057915817e-18,-4.58934932094125e-05,0.0,0.0,0.07,-1.827528776839851e-14,-6.144403231016014e-14,2.1718216398601997e-13,2.9091527739147125,-2.9091527739142062,2.9091527739190717,-2.9091527739165066
0.08,-4.7886466731150334e-17,1.364346607566585e-17,-5.2034070550781936e-05,0.0,0.0,0.08,-2.3507385909819002e-14,-6.888401126578074e-14,2.6988271608032507e-13,3.1898059461548858,-3.18980594615428,3.1898059461595736,-3.1898059461563637
0.09,-4.939419888628695e-17,2.0733701520169217e-17,-5.80591663290265e-05,0.0,0.0,0.09,-2.6222196956449337e-14,-7.132399899180901e-14,3.369708989430583e-13,3.447986053118229,-3.4479860531171513,3.447986053122562,-3.4479860531188753
0.1,-5.547443012104981e-17,2.786912999679339e-17,-6.396955553870882e-05,0.0,0.0,0.1,-2.8363872920854982e-14,-7.401883171513241e-14,3.950272579011387e-13,3.6863820949448476,-3.6863820949433292,3.686382094948937,-3.6863820949448693
