time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
0.01,-9.967288704852752e-16,-3.1228756437894763e-15,1.5710205448381508e-06,0.0,0.0,0.01,-1.1294523704780452e-13,4.838381922516899e-14,2.745562130489038e-14,2.608370939169998,-2.6083709391855527,2.6083709391781524,-2.608370939162209
0.02,-1.9013820829357586e-15,-6.342027638787406e-15,3.2116748303123176e-06,0.0,0.0,0.02,-2.662958321899957e-13,8.360118869743751e-14,1.6700139645688784e-12,3.619270635061591,-3.6192706350823944,3.6192706350853387,-3.6192706350409214
0.03,-2.5811081088688916e-15,-9.014761540288099e-15,4.8830356862360416e-06,0.0,0.0,0.03,-4.2453775423327545e-13,1.0138594806808753e-13,4.2721579595616e-12,4.042882485438837,-4.042882485451618,4.0428824854748076,-4.042882485401618
0.04,-3.2440075155134365e-15,-1.1215371495515722e-14,6.561135421112205e-06,0.0,0.0,0.04,-6.016447509766972e-13,1.142156947694028e-13,5.382717460321885e-12,4.250828137263315,-4.250828137277815,4.250828137309533,-4.250828137218921
0.05,-3.973593293336873e-15,-1.2633975232980564e-14,8.239422643953696e-06,0.0,0.0,0.05,-7.594339152457554e-13,1.3252633204123798e-13,4.108876305431198e-12,4.3798153784872955,-4.379815378511864,4.379815378534377,-4.379815378451709
0.06,-4.568164404548959e-15,-1.280218224814356e-14,9.916264002947536e-06,0.0,0.0,0.06,-8.82067696791886e-13,1.4874300241656284e-13,5.474042846163266e-13,4.480135018423035,-4.480135018470373,4.480135018467545,-4.480135018412467
0.07,-5.540963913847235e-15,-1.2983909597278976e-14,1.1591354916713406e-05,0.0,0.0,0.07,-1.000077530081749e-12,1.791753846195751e-13,-3.4411878055563165e-12,4.570287723343144,-4.5702877234183275,4.570287723384642,-4.570287723358119
0.08,-5.773622960592752e-15,-1.0910191918274956e-14,1.3264748865358352e-05,0.0,0.0,0.08,-1.0400043453618875e-12,1.8248388652208922e-13,-7.271619619118516e-12,4.657079438697964,-4.657079438790523,4.657079438731953,-4.6570794387422145
0.09,-7.384717986974146e-15,-1.1513966284628138e-14,1.4936591207301762e-05,0.0,0.0,0.09,-1.1779251795292958e-12,2.568854178315184e-13,-1.138134532978724e-11,4.743014925360272,-4.74301492549174,4.743014925394078,-4.743014925423543
0.1,-8.746549503254954e-15,-1.1425429049422555e-14,1.6607052681331975e-05,0.0,0.0,0.1,-1.2937112921883312e-12,3.296101165897798e-13,-1.5598155924669348e-11,4.829017444200543,-4.829017444364242,4.829017444232325,-4.8290174442891844
0.11,-9.522234186641515e-15,-1.0160015157186368e-14,1.827630645273807e-05,0.0,0.0,0.11000000000000001,-1.3650505254700583e-12,3.777319035510007e-13,-1.9895542074310057e-11,4.915417204031011,-4.915417204220933,4.915417204059686,-4.915417204151087
