metric,value
generated_at,2026-05-14T01:08:25
raw_file,results/official/example3_figure8/official_example3_linear_mpc_sysblock/raw/official_example3_linear_mpc_sysblock.csv
scene_id,official_example3
controller_id,linear_mpc_sysblock
row_count,12001
duration_s,120.0
sample_rate_hz,100.0
position_rmse_m,0.14898357006733876
x_rmse_m,0.03331634893410145
y_rmse_m,0.07499793024646939
z_rmse_m,0.12434402077485106
max_position_error_m,1.1339841623707305
steady_state_error_m,0.04694928621288925
settling_time_s,3.92
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.06553580495101181
disturbance_recovery_time_s,0.0
overshoot_x_pct,68.42893026458931
overshoot_y_pct,5.9271918397020915
overshoot_z_pct,1.6271818417408745
overshoot_max_pct,68.42893026458931
roll_rmse_rad,0.021317927323063385
pitch_rmse_rad,0.010701002851368518
yaw_rmse_rad,0.031168070407725075
max_tilt_rad,0.318335640386484
minimum_altitude_m,-0.00022007564886640665
altitude_violation_count,123
tilt_violation_count,0
constraint_violation_count,123
constraint_violation_rate_hz,1.025
altitude_violation_rate_hz,1.025
tilt_violation_rate_hz,0.0
control_energy,95370.00239216833
control_energy_per_second,794.7500199347361
control_smoothness,14324.10652653963
control_smoothness_per_second,119.36755438783025
control_command_min,-19.504207263853747
control_command_max,17.03770780714232
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,94.67669683593151
robustness_score,85.23076923076923
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,60.21070135847176
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_linear_mpc_figure8_full
