time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.01,-2.7898867139414597e-17,-1.8958052254638577e-17,3.6733272370236026e-06,0.0,0.0,0.01,-3.408618860945147e-15,6.047872904560993e-15,-8.169421173883575e-14,0.5550712899031545,-0.5550712899042274,0.5550712899028463,-0.5550712899033614
0.02,2.878785735295677e-15,2.2989893216271546e-15,5.467943277692948e-05,0.0,0.0,0.02,4.0120035268067587e-13,-8.032689640685118e-13,1.0120189935627858e-11,1.0544915577497895,-1.054491557626018,1.0544915577907197,-1.0544915577272331
0.03,5.5851969583111355e-15,4.684934173177344e-15,0.00023737736666328883,0.0,0.0,0.03,8.707266938144972e-13,-1.7910291412022892e-12,2.242532377508074e-11,1.5000545799889167,-1.5000545797307125,1.5000545800717042,-1.5000545799328189
0.04,6.1965658587400515e-15,6.1045912661448965e-15,0.0006222321017487329,0.0,0.0,0.04,1.3133168850653903e-12,-2.6916137671355806e-12,3.48584298921333e-11,1.8940130047654415,-1.8940130043851788,1.8940130048757988,-1.894013004660944
0.05,3.548139762329259e-15,5.89309138246589e-15,0.0012701374763977038,0.0,0.0,0.05,1.725275913447112e-12,-3.444607895456527e-12,4.7029949724803274e-11,2.2388024221585536,-2.2388024216688285,2.2388024222808776,-2.2388024219921583
0.06,-3.4926101871509335e-15,3.4742537795195858e-15,0.0022349573059517545,0.0,0.0,0.06,2.0831596604294805e-12,-4.054207866642667e-12,5.91463664234715e-11,2.5368913972103337,-2.5368913966209763,2.536891397334808,-2.536891396970361
0.07,-1.591033682756105e-14,-1.7138744476629433e-15,0.003564094540372464,0.0,0.0,0.07,2.3614959448255362e-12,-4.538334113956412e-12,7.120194412047164e-11,2.7907546614028504,-2.790754660723122,2.7907546615253302,-2.7907546610813228
0.08,-3.449191488292477e-14,-1.0234475661785528e-14,0.005298608138313481,0.0,0.0,0.08,2.557549977596061e-12,-4.889734838958248e-12,8.329724967322808e-11,3.0028731919603513,-3.002873191196794,3.0028731920771787,-3.0028731915491442
0.09,-5.994775172462499e-14,-2.2315164729883142e-14,0.007473321348624702,0.0,0.0,0.09,2.683636935574567e-12,-5.088814173640218e-12,9.526402688428101e-11,3.175735982301759,-3.1757359814601345,3.175735982407566,-3.175735981793871
0.1,-9.268077237867502e-14,-3.8280155407578365e-14,0.010116950579724674,0.0,0.0,0.1,2.741702746379382e-12,-5.144442231623814e-12,1.0719029936700916e-10,3.3118387092221178,-3.3118387083062437,3.3118387093132666,-3.311838708611683
0.11,-1.3293524130343456e-13,-5.823150308867359e-14,0.013252307504626606,0.0,0.0,0.11000000000000001,2.7312483195183128e-12,-5.081537706133328e-12,1.1901278980478008e-10,3.4136788437718364,-3.4136788427855094,3.4136788438475674,-3.413678843056481
0.12,-1.8066058827937036e-13,-8.222533304667654e-14,0.01689658447710905,0.0,0.0,0.12,2.6581015954498696e-12,-4.898099682214326e-12,1.3078025141217705e-10,3.4837478425117174,-3.4837478414573315,3.48374784257061,-3.4837478416884418
0.13,-2.3572454481393327e-13,-1.101638190862313e-13,0.021061623065239846,0.0,0.0,0.13,2.5348003090147793e-12,-4.623819892154818e-12,1.424253093642209e-10,3.524521046953375,-3.524521045832778,3.524521046995807,-3.524521046022509
0.14,-2.9768088523729626e-13,-1.419093265777045e-13,0.025754289451269348,0.0,0.0,0.14,2.360443593888452e-12,-4.2713353805193315e-12,1.5402532157691385e-10,3.5384463210740793,-3.5384463198884335,3.5384463211013237,-3.5384463200358613
0.15,-3.661025269403928e-13,-1.7717997054471507e-13,0.030976881187249235,0.0,0.0,0.15,2.1400107911390255e-12,-3.8860044629655354e-12,1.6551229142836865e-10,3.5279322091184544,-3.5279322078691977,3.5279322091348555,-3.5279322079771114
0.16,-4.403432728671603e-13,-2.156691643453881e-13,0.036727481377800755,0.0,0.0,0.16,1.889253424885569e-12,-3.455488176434374e-12,1.7693658436593145e-10,3.4953355254128367,-3.495335524099799,3.4953355254193514,-3.4953355241697777
0.17,-5.197662048060116e-13,-2.5698895388268426e-13,0.04300039069260567,0.0,0.0,0.17,1.6291071993223475e-12,-2.984540607981512e-12,1.8826825580992014e-10,3.4429497738563373,-3.442949772478363,3.4429497738524293,-3.4429497725130145
0.18,-6.036128478115788e-13,-3.007478857646654e-13,0.049786544809517205,0.0,0.0,0.18,1.3602843146513366e-12,-2.4885457623705373e-12,1.9954306871409272e-10,3.372994396609394,-3.3729943951654437,3.372994396595794,-3.3729943951677406
0.19,-6.911633408306954e-13,-3.4651415830673267e-13,0.05707379473966964,0.0,0.0,0.19,1.0775723449329171e-12,-2.01066380330668e-12,2.1073843546094303e-10,3.287600034902534,-3.2876000333925544,3.2876000348837544,-3.2876000333677475
0.2,-7.816922625970438e-13,-3.9385603969950403e-13,0.06484762295786486,0.0,0.0,0.2,7.876577266253885e-13,-1.5637224474246373e-12,2.2184277411994258e-10,3.188809970296432,-3.1888099687201894,3.1888099702765293,-3.188809968673665
0.21,-8.744991451075281e-13,-4.4234893986608e-13,0.0730912756875727,0.0,0.0,0.21000000000000002,5.088550391571093e-13,-1.1343887330092048e-12,2.3285453034678575e-10,3.0785675576845692,-3.078567556040696,3.0785675576640705,-3.0785675559766106
0.22,-9.689332338211379e-13,-4.915871308792522e-13,0.08178616684654852,0.0,0.0,0.22000000000000003,2.548129650851615e-13,-7.137889227430271e-13,2.4378522000684414e-10,2.95871029616981,-2.9587102944562353,2.9587102961472436,-2.958710294377961
0.23,-1.064395764053158e-12,-5.411972127242527e-13,0.09091215643756828,0.0,0.0,0.23000000000000004,2.254502653855845e-14,-3.1790447695468514e-13,2.546412206993469e-10,2.8309594553723216,-2.830959453587667,2.83095945534812,-2.8309594534990197
0.24,-1.1603373235842115e-12,-5.908444744186845e-13,0.1004479211878259,0.0,0.0,0.24,-1.9595187171591875e-13,3.248961554250749e-14,2.6542675466438734e-10,2.6969226530054953,-2.696922651149307,2.696922652982415,-2.6969226510545483
0.25,-1.2562693070219714e-12,-6.402339588428202e-13,0.11037130203596418,0.0,0.0,0.25,-4.001411327112827e-13,3.3384224753613643e-13,2.76151572345127e-10,2.5580935209762843,-2.558093519048139,2.558093520956775,-2.558093518951037
0.26,-1.3517628169907644e-12,-6.891037710741634e-13,0.12065959681168545,0.0,0.0,0.26,-5.809115817042845e-13,6.006174368219186e-13,2.867925414595991e-10,2.4158507458964538,-2.4158507438955352,2.4158507458803697,-2.4158507437985257
0.27,-1.4464614042390699e-12,-7.372262781589029e-13,0.13128974731576307,0.0,0.0,0.27,-7.309088115806212e-13,8.458448555583203e-13,2.9733273298371404e-10,2.2714574764819133,-2.2714574744071823,2.2714574764673654,-2.271457474311727
0.28,-1.5400715856608704e-12,-7.844137026556012e-13,0.14223854695195343,0.0,0.0,0.28,-8.500881015166013e-13,1.0705596341633885e-12,3.077732133666471e-10,2.1260630781092864,-2.1260630759599266,2.126063078094665,-2.1260630758672914
0.29,-1.6323529347303494e-12,-8.305225632590235e-13,0.1534828138483691,0.0,0.0,0.29,-9.474774782601047e-13,1.2602507486703607e-12,3.18144995291707e-10,1.980705881061755,-1.980705878837582,1.9807058810479063,-1.9807058787496559
0.3,-1.7230974284502696e-12,-8.754533170261546e-13,0.16499958002450496,0.0,0.0,0.3,-1.028114570343768e-12,1.4089374831755234e-12,3.2847934267850243e-10,1.8363179838522006,-1.8363179815531598,1.8363179838406838,-1.8363179814717752
0.31,-1.8121280508407044e-12,-9.191298872624987e-13,0.17676623991028276,0.0,0.0,0.31,-1.091896084904618e-12,1.5262385771430545e-12,3.3874869818718705e-10,1.6937289743613733,-1.6937289719876678,1.6937289743527528,-1.6937289719137212
0.32,-1.899300805285482e-12,-9.615054375352127e-13,0.1887606932003479,0.0,0.0,0.32,-1.135494196531295e-12,1.6282158663898541e-12,3.4891809186575834e-10,1.5536702701954457,-1.5536702677472456,1.5536702701882263,-1.553670267680348
0.33,-1.984535372193396e-12,-1.0025485271039755e-12,0.20096141191755096,0.0,0.0,0.33,-1.1617324610900163e-12,1.7139341477770807e-12,3.5899880608236046e-10,1.4167806011578785,-1.4167805986354571,1.41678060115127,-1.4167805985754425
0.34,-2.067757513062597e-12,-1.0422525540888469e-12,0.21334755109691747,0.0,0.0,0.34,-1.1678795326064221e-12,1.7950344607214632e-12,3.6896838217644055e-10,1.2836109424533646,-1.2836109398569406,1.2836109424454412,-1.2836109398030273
0.35000000000000003,-2.1489251920430426e-12,-1.0806263079239196e-12,0.22589904390930873,0.0,0.0,0.35000000000000003,-1.154021378056355e-12,1.8742256470488115e-12,3.788291715086003e-10,1.1546294756975248,-1.1546294730273214,1.1546294756866378,-1.1546294729789037
0.36,-2.2279937985316497e-12,-1.11769984053473e-12,0.23859656273130317,0.0,0.0,0.36,-1.1255749434108713e-12,1.947452875123093e-12,3.886078876959826e-10,1.030229098234859,-1.030229095491241,1.030229098220373,-1.030229095447953
0.37,-2.30492860209728e-12,-1.1535171957023917e-12,0.25142168445097113,0.0,0.0,0.37,-1.0903239766754459e-12,2.004065898810341e-12,3.9834985168839446e-10,0.9107309765807523,-0.9107309737642837,0.9107309765639136,-0.9107309737264266
0.38,-2.379700272346039e-12,-1.1881331656120545e-12,0.2643567978978406,0.0,0.0,0.38,-1.0513862823076285e-12,2.0435266700463546e-12,4.0807519752694e-10,0.796392003064749,-0.7963920001759354,0.7963920030468529,-0.7963920001437071
0.39,-2.4522796597346487e-12,-1.2216132522669068e-12,0.27738523948205834,0.0,0.0,0.39,-1.0152450983517133e-12,2.058959323523288e-12,4.1781175248256725e-10,0.6874092205063469,-0.6874092175458277,0.6874092204894464,-0.6874092175195334
0.4,-2.522687533952244e-12,-1.2540200975252305e-12,0.2904911884743023,0.0,0.0,0.4,-9.804426195855206e-13,2.0551747032001674e-12,4.2750334327476525e-10,0.5839254550243553,-0.5839254519930313,0.5839254550097341,-0.5839254519727448
0.41000000000000003,-2.5909375409968786e-12,-1.285417468130331e-12,0.30365978924751175,0.0,0.0,0.41000000000000003,-9.460210684032193e-13,2.038008282328642e-12,4.371103486335661e-10,0.4860348473738949,-0.48603484427276356,0.4860348473616849,-0.48603484425802956
0.42,-2.657065428214427e-12,-1.3158515668769083e-12,0.3168770281993929,0.0,0.0,0.42000000000000004,-9.146638104533084e-13,2.008872345972835e-12,4.4667722232423956e-10,0.39378625044487525,-0.393786247274648,0.39378625043538645,-0.39378624726491746
0.43,-2.7211288455890467e-12,-1.3453616008065663e-12,0.33012985319425264,0.0,0.0,0.43,-8.834133463327172e-13,1.9783034651984943e-12,4.561900682044857e-10,0.3071904142466606,-0.3071904110078143,0.30719041423898297,-0.30719041100199806
0.44,-2.783169974355327e-12,-1.3739915261046726e-12,0.34340601581772184,0.0,0.0,0.44000000000000006,-8.544219171015305e-13,1.945538563728737e-12,4.656834423763684e-10,0.22622062127382123,-0.2262206179666484,0.22622062126732181,-0.22622061796376644
0.45,-2.843258081523256e-12,-1.401758295108387e-12,0.3566942121821629,0.0,0.0,0.45,-8.286001870590219e-13,1.913756691763678e-12,4.752235961707992e-10,0.15082186446687923,-0.15082186109115633,0.150821864461223,-0.15082186109031417
0.46,-2.9014578200131357e-12,-1.4287056988268424e-12,0.3699838996988847,0.0,0.0,0.4600000000000001,-8.034691868828616e-13,1.8858634085684297e-12,4.847396664261114e-10,0.08090855472791071,-0.08090855128382884,0.08090855472233366,-0.08090855128419347
0.47000000000000003,-2.9578362732856643e-12,-1.4548622812979408e-12,0.38326540646097806,0.0,0.0,0.47000000000000003,-7.78714106692672e-13,1.8599393823536085e-12,4.942007295226662e-10,0.016374231982881546,-0.016374228470950734,0.01637423197714264,-0.0163742284721769
0.48,-3.012449101994028e-12,-1.4802569861885252e-12,0.3965298338553253,0.0,0.0,0.48,-7.544950296925657e-13,1.834375187352293e-12,5.035882969154289e-10,-0.04290911993510673,0.04290912351417722,-0.042909119940864965,0.0429091235121184
0.49,-3.0653307767790206e-12,-1.5049204236886157e-12,0.4097690097888544,0.0,0.0,0.49000000000000005,-7.318768333198248e-13,1.8099643330557134e-12,5.129237781050837e-10,-0.0970891369615573,0.09708914060725889,-0.09708913696726025,0.09708914060455019
0.5,-3.116508720419333e-12,-1.528888490414374e-12,0.42297554810545823,0.0,0.0,0.5,-7.116070081078276e-13,1.7826349560492109e-12,5.221629414822014e-10,-0.14632322646376333,0.1463232301751629,-0.14632322646901025,0.14632323017175164
0.51,-3.166028477460746e-12,-1.5521782235960658e-12,0.43614272232359597,0.0,0.0,0.51,-6.935753101278591e-13,1.7534201648425417e-12,5.313306308047807e-10,-0.19078642293534395,0.19078642671173526,-0.19078642293972722,0.19078642670751875
0.52,-3.21390080426971e-12,-1.5748168455994867e-12,0.44926450908483045,0.0,0.0,0.52,-6.78854795359254e-13,1.721768283141931e-12,5.404427026413687e-10,-0.23065831782627796,0.23065832166710357,-0.23065831782954835,0.23065832166216385
0.53,-3.260143312069218e-12,-1.596827089649366e-12,0.46233552098486125,0.0,0.0,0.53,-6.677206313445619e-13,1.6882780629477925e-12,5.49511285929897e-10,-0.2661269549320716,0.26612695883693244,-0.26612695493423594,0.26612695883153564
0.54,-3.3048239717240153e-12,-1.6182252629265394e-12,0.4753509438122587,0.0,0.0,0.54,-6.573217976476718e-13,1.6538387792695178e-12,5.584701612440236e-10,-0.29739307482272737,0.2973930787907896,-0.2973930748237954,0.29739307878490284
0.55,-3.3479725854115263e-12,-1.6390261905010934e-12,0.4883065804721726,0.0,0.0,0.55,-6.461606196582635e-13,1.6219380116906988e-12,5.673212909342022e-10,-0.32465274087691015,0.32465274490751767,-0.3246527408774393,0.3246527449013437
0.56,-3.3896278479332246e-12,-1.6592448821953326e-12,0.5011987688987802,0.0,0.0,0.56,-6.331357441352803e-13,1.5940318117963682e-12,5.760458048354125e-10,-0.34810852170988466,0.34810852580229906,-0.3481085217105753,0.3481085257960597
0.5700000000000001,-3.4298234466661814e-12,-1.6788976403373758e-12,0.514024362736265,0.0,0.0,0.5700000000000001,-6.184381766258629e-13,1.5696176306179724e-12,5.846275322669628e-10,-0.36796537046721195,0.367965374620528,-0.3679653704685711,0.3679653746143909
0.58,-3.4686167954765055e-12,-1.6979934638862746e-12,0.5267807049071165,0.0,0.0,0.58,-5.996402574987877e-13,1.5518137001075962e-12,5.930258078959274e-10,-0.3844227301765655,0.384422734389652,-0.384422730179249,0.38442273438371866
0.59,-3.5060186423620934e-12,-1.7165481385287626e-12,0.5394655990821335,0.0,0.0,0.59,-5.784231930880185e-13,1.5393192451238364e-12,6.012712994942605e-10,-0.39768583484418707,0.39768583911608274,-0.39768583484864045,0.3976858391104861
0.6,-3.5420368317892165e-12,-1.7345774661414106e-12,0.5520772755113122,0.0,0.0,0.6,-5.572401991972436e-13,1.5299048355647422e-12,6.094022464360409e-10,-0.407956184971489,0.40795618930140204,-0.40795618497775193,0.4079561892962567
0.61,-3.576686082595004e-12,-1.7520962140349267e-12,0.5646143592840911,0.0,0.0,0.61,-5.387720867538405e-13,1.5208571838870512e-12,6.174498780468892e-10,-0.41542810365209176,0.4154281080392906,-0.4154281036595768,0.4154281080345909
0.62,-3.609987413405817e-12,-1.7691185712382682e-12,0.5770758684548261,0.0,0.0,0.62,-5.211340420645928e-13,1.5136697969005064e-12,6.253880129547017e-10,-0.4202982020091528,0.42029820645281707,-0.4202982020176446,0.42029820644856813
0.63,-3.6419394098703534e-12,-1.7856621861300035e-12,0.5894611518455799,0.0,0.0,0.63,-5.060621056972351e-13,1.5060074227140572e-12,6.332423480554431e-10,-0.4227548313795511,0.4227548358789727,-0.4227548313885923,0.42275483587512713
0.64,-3.672530977076101e-12,-1.801746763118086e-12,0.6017698720018627,0.0,0.0,0.64,-4.95561914878033e-13,1.4949167879644866e-12,6.410439664407624e-10,-0.42297999196014335,0.42297999651476575,-0.4229799919690576,0.4229799965112235
0.65,-3.701795937959483e-12,-1.8173814957447286e-12,0.6140020261209728,0.0,0.0,0.65,-4.866456359820162e-13,1.483177270858398e-12,6.487318165165419e-10,-0.4211573419577499,0.4211573465666785,-0.4211573419662315,0.42115734656334086
0.66,-3.7297290193422275e-12,-1.832585177915955e-12,0.626157842015674,0.0,0.0,0.66,-4.786712559890483e-13,1.4701288140005889e-12,6.562931095606173e-10,-0.41745763892515947,0.41745764358746273,-0.41745763893317056,0.41745764358422255
0.67,-3.756339208365393e-12,-1.8473735841685782e-12,0.6382377980650028,0.0,0.0,0.67,-4.686815786737332e-13,1.4574860004108844e-12,6.636733650543738e-10,-0.41204637498982827,0.4120463797043304,-0.4120463749979347,0.41204637970110386
0.68,-3.781635522662267e-12,-1.861747717962494e-12,0.650242661404556,0.0,0.0,0.68,-4.601400194191146e-13,1.4437466788133389e-12,6.709418779123372e-10,-0.4050900836128081,0.40509008837868365,-0.405090083620843,0.40509008837543226
0.6900000000000001,-3.805634120634957e-12,-1.8757167496556232e-12,0.6621733398373751,0.0,0.0,0.6900000000000001,-4.4998575247673184e-13,1.4317007852818163e-12,6.780486889996803e-10,-0.3967413681114656,0.396741372927688,-0.39674136811981936,0.39674137292445405
0.7000000000000001,-3.828349660835823e-12,-1.88928489010475e-12,0.6740309473754389,0.0,0.0,0.7000000000000001,-4.376229900131933e-13,1.4225900764775838e-12,6.849907224812256e-10,-0.38714851467379896,0.3871485195393593,-0.3871485146829197,0.38714851953624935
0.71,-3.849778960311384e-12,-1.902461946154304e-12,0.6858167964430618,0.0,0.0,0.71,-4.251552565039698e-13,1.4136203470638527e-12,6.918059449952754e-10,-0.3764553189440383,0.3764553238580888,-0.3764553189540235,0.3764553238551035
0.72,-3.869938762189859e-12,-1.9152472046058943e-12,0.697532304107429,0.0,0.0,0.72,-4.1325738938562076e-13,1.4053289671676787e-12,6.985177067280481e-10,-0.36479592677690337,0.3647959317387367,-0.36479592678762973,0.36479593173592295
0.73,-3.888837058991687e-12,-1.927645166177345e-12,0.7091790335465199,0.0,0.0,0.73,-4.030079738061326e-13,1.3969937984292053e-12,7.051499773383713e-10,-0.35229852243047033,0.3522985274394957,-0.3522985224415945,0.35229852743688744
0.74,-3.906475429290645e-12,-1.939670097750492e-12,0.7207586817585484,0.0,0.0,0.74,-3.9337717555253163e-13,1.3888560410457575e-12,7.11677878098342e-10,-0.33908514217627883,0.33908514723177074,-0.3390851421877511,0.3390851472294103
0.75,-3.9228583254588614e-12,-1.9513273736495764e-12,0.7322730025990151,0.0,0.0,0.75,-3.8652130569921504e-13,1.37894628554477e-12,7.181413592603328e-10,-0.325269186405371,0.3252691915067717,-0.3252691864167484,0.3252691915046403
0.76,-3.93798899684576e-12,-1.9626234170653507e-12,0.743723852082671,0.0,0.0,0.76,-3.832179017166219e-13,1.3664070061954236e-12,7.245557268594703e-10,-0.310958191882855,0.31095819702967653,-0.3109581918936206,0.3109581970277383
0.77,-3.951874700236234e-12,-1.9735575073993027e-12,0.7551131823791153,0.0,0.0,0.77,-3.8316905508060353e-13,1.3520017968319396e-12,7.309279984111675e-10,-0.29625453961099013,0.2962545448028363,-0.2962545396207663,0.296254544801119
0.78,-3.964514210210903e-12,-1.984138499132418e-12,0.7664429470138417,0.0,0.0,0.78,-3.8702066958004927e-13,1.3345556889686683e-12,7.37267489937574e-10,-0.2812512777419374,0.2812512829784449,-0.28125127775037917,0.28125128297694757
0.79,-3.975916950985054e-12,-1.994364252255166e-12,0.7777151235868391,0.0,0.0,0.79,-3.945355414392044e-13,1.314199637999657e-12,7.435768404352827e-10,-0.26603660996585515,0.26603661524669914,-0.2660366099727299,0.2660366152454326
0.8,-3.986106285464475e-12,-2.0042204526963575e-12,0.7889317384044947,0.0,0.0,0.8,-4.051800063533239e-13,1.2916756212241672e-12,7.498591978954957e-10,-0.2506939211229507,0.25069392644785093,-0.2506939211280337,0.25069392644683286
0.81,-3.995087089321664e-12,-2.013706509327395e-12,0.8000949311835103,0.0,0.0,0.8100000000000002,-4.1851425144971564e-13,1.2670892858342768e-12,7.561126950609175e-10,-0.2352973513236277,0.2352973566923272,-0.23529735132693108,0.23529735669159546
0.8200000000000001,-4.002876331353004e-12,-2.022806343101453e-12,0.8112068228883467,0.0,0.0,0.8200000000000001,-4.350239464776787e-13,1.2408739600804303e-12,7.623340081606607e-10,-0.2199162131219381,0.21991621853412543,-0.2199162131235444,0.2199162185337902
0.8300000000000001,-4.009504937963217e-12,-2.031475603141832e-12,0.8222694164036488,0.0,0.0,0.8300000000000001,-4.59336147325758e-13,1.2130471446451921e-12,7.685204295526863e-10,-0.2046159085443222,0.20461591399937543,-0.2046159085439175,0.2046159139997931
