metric,value
generated_at,2026-05-15T02:42:45
raw_file,results/planning/corridor_gate_astar_awff/sunray150_planning_corridor_gate_linear_mpc_sysblock/raw/sunray150_planning_corridor_gate_linear_mpc_sysblock.csv
scene_id,planning_corridor_gate
controller_id,linear_mpc_sysblock
row_count,2301
duration_s,23.0
sample_rate_hz,100.0
position_rmse_m,0.12567605361658712
x_rmse_m,0.10633118670188958
y_rmse_m,0.0654600612188715
z_rmse_m,0.014252353224250992
max_position_error_m,0.29958309561613133
steady_state_error_m,0.1443041903200453
settling_time_s,0.0
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.28961548784764773
disturbance_recovery_time_s,1.5
overshoot_x_pct,1.138546944136097
overshoot_y_pct,nan
overshoot_z_pct,4.566399314449132
overshoot_max_pct,4.566399314449132
roll_rmse_rad,0.02088877275938883
pitch_rmse_rad,0.033639446337244604
yaw_rmse_rad,0.0006300830122077795
max_tilt_rad,0.10025190291221503
minimum_altitude_m,0.0
altitude_violation_count,86
tilt_violation_count,0
constraint_violation_count,86
constraint_violation_rate_hz,3.739130434782609
altitude_violation_rate_hz,3.739130434782609
tilt_violation_rate_hz,0.0
control_energy,4.089276865908625
control_energy_per_second,0.17779464634385325
control_smoothness,13.620196564076062
control_smoothness_per_second,0.5921824593076549
control_command_min,-0.7649154303761094
control_command_max,0.7649154303191932
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,99.36708299542792
robustness_score,100.0
safety_score,35.0
energy_score,44.301419804191525
smoothness_score,97.47090249216912
fault_tolerance_score,35.0
total_health_score,74.61381200365598
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_planning_corridor_gate_linear_mpc
