metric,value
generated_at,2026-05-17T10:21:13
raw_file,results/planning/single_obstacle_astar_awff/sunray150_planning_open_blocks_linear_mpc_sysblock/raw/sunray150_planning_open_blocks_linear_mpc_height_profile_0p2_sensor_20hz.csv
scene_id,planning_open_blocks
controller_id,linear_mpc_sysblock
row_count,9078
duration_s,453.842
sample_rate_hz,20.000352545599572
position_rmse_m,0.11729473829516945
x_rmse_m,0.08521125487026573
y_rmse_m,0.08058717799427541
z_rmse_m,0.0016746396883956917
max_position_error_m,0.2530280230244144
steady_state_error_m,0.11127044707004832
settling_time_s,0.0
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.13208471209177697
disturbance_recovery_time_s,3.1000000000000014
overshoot_x_pct,0.10745781238064293
overshoot_y_pct,0.33760347494385345
overshoot_z_pct,39.43541788520284
overshoot_max_pct,39.43541788520284
roll_rmse_rad,0.02172288902179499
pitch_rmse_rad,0.02280007699118173
yaw_rmse_rad,0.00022614973959566163
max_tilt_rad,0.08808221486643389
minimum_altitude_m,1.1183147866706684
altitude_violation_count,0
tilt_violation_count,0
constraint_violation_count,0
constraint_violation_rate_hz,0.0
altitude_violation_rate_hz,0.0
tilt_violation_rate_hz,0.0
control_energy,37.62415135214377
control_energy_per_second,0.08290143122968736
control_smoothness,6.2628581774652785
control_smoothness_per_second,0.013799644319973204
control_command_min,-0.41143393309696813
control_command_max,0.37826433877140503
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,99.83899361328503
robustness_score,100.0
safety_score,100.0
energy_score,36.71815672941473
smoothness_score,98.94531900251198
fault_tolerance_score,100.0
total_health_score,93.57077970705258
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_planning_height_profile_0p2_sensor_20hz_simulate_false_result_readable
