metric,value
generated_at,2026-05-15T16:38:48
raw_file,results/planning/single_obstacle_astar_awff/sunray150_planning_open_blocks_linear_mpc_sysblock/raw/sunray150_planning_open_blocks_linear_mpc_sysblock.csv
scene_id,planning_open_blocks
controller_id,linear_mpc_sysblock
row_count,11047
duration_s,110.458
sample_rate_hz,100.00181064295931
position_rmse_m,0.09318365711178499
x_rmse_m,0.057751471519774104
y_rmse_m,0.07305405401238708
z_rmse_m,0.0033266623487664864
max_position_error_m,0.24917187343018257
steady_state_error_m,0.08983973890284147
settling_time_s,0.0
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.08709443795230047
disturbance_recovery_time_s,0.0
overshoot_x_pct,0.3171898856877398
overshoot_y_pct,0.9788221580764013
overshoot_z_pct,4.2621459049322405
overshoot_max_pct,4.2621459049322405
roll_rmse_rad,0.022114262385456097
pitch_rmse_rad,0.017083051775740477
yaw_rmse_rad,0.0004589624604527495
max_tilt_rad,0.08686154789607972
minimum_altitude_m,0.522645632716499
altitude_violation_count,0
tilt_violation_count,0
constraint_violation_count,0
constraint_violation_rate_hz,0.0
altitude_violation_rate_hz,0.0
tilt_violation_rate_hz,0.0
control_energy,9.503946522315319
control_energy_per_second,0.08604126928167556
control_smoothness,6.2457949065528915
control_smoothness_per_second,0.05654452286437281
control_command_min,-0.447002361551109
control_command_max,0.4470023615492094
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,100.0
robustness_score,100.0
safety_score,100.0
energy_score,43.07699701756689
smoothness_score,98.94873849568079
fault_tolerance_score,100.0
total_health_score,94.25513662654073
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_planning_open_blocks_linear_mpc
