metric,value
generated_at,2026-05-17T23:23:29
raw_file,results/planning/sunray150_planning_open_blocks_linear_mpc_sysblock/gui_review_global_open_blocks_current_20s_100hz/raw/gui_review_global_open_blocks_current_20s_100hz.csv
scene_id,sunray150_planning_open_blocks_global_review_20s_100hz
controller_id,linear_mpc_sysblock
row_count,401
duration_s,20.0
sample_rate_hz,20.0
position_rmse_m,0.4641732510799522
x_rmse_m,0.37211532688240345
y_rmse_m,0.2751881196425155
z_rmse_m,0.03547519309250951
max_position_error_m,1.2313938866512486
steady_state_error_m,0.46962133923665184
settling_time_s,0.0
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.8919473248916087
disturbance_recovery_time_s,nan
overshoot_x_pct,0.5957424143099619
overshoot_y_pct,0.0
overshoot_z_pct,73.68876347247013
overshoot_max_pct,73.68876347247013
roll_rmse_rad,0.10454393942480858
pitch_rmse_rad,0.1558344883089043
yaw_rmse_rad,0.01245075062189304
max_tilt_rad,0.3265941948914892
minimum_altitude_m,1.2013070055612831
altitude_violation_count,0
tilt_violation_count,0
constraint_violation_count,0
constraint_violation_rate_hz,0.0
altitude_violation_rate_hz,0.0
tilt_violation_rate_hz,0.0
control_energy,39.94075243393789
control_energy_per_second,1.9970376216968944
control_smoothness,1926.8578941897626
control_smoothness_per_second,96.34289470948814
control_command_min,-2.6258990175514088
control_command_max,2.4973747846059084
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,80.28345884405158
robustness_score,100.0
safety_score,100.0
energy_score,36.19430221343113
smoothness_score,0.0
fault_tolerance_score,100.0
total_health_score,82.70446787455857
source,MWORKS_MCP
evidence_level,gui_review_only_current_model_20s_100hz
