metric,value
generated_at,2026-05-18T10:57:07
raw_file,results/planning/sunray150_planning_open_blocks_linear_mpc_sysblock/gui_review_route_filtered_obstacles_1p0_full_20hz_continuous_grid/raw/gui_review_route_filtered_obstacles_1p0_full_20hz_continuous_grid.csv
scene_id,sunray150_planning_open_blocks_route_filtered_obstacles_1p0_full_20hz_continuous_grid
controller_id,linear_mpc_sysblock
row_count,1604
duration_s,80.1247340259
sample_rate_hz,20.00630666033583
position_rmse_m,0.43230413331330286
x_rmse_m,0.3332719407079357
y_rmse_m,0.27392529883589645
z_rmse_m,0.02795725083403796
max_position_error_m,1.2313938866512364
steady_state_error_m,0.4193048709954139
settling_time_s,0.0
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.8919473248839447
disturbance_recovery_time_s,nan
overshoot_x_pct,1.2840815202845695
overshoot_y_pct,0.5300706335235443
overshoot_z_pct,3.3730910081105168
overshoot_max_pct,3.3730910081105168
roll_rmse_rad,0.11397958639069097
pitch_rmse_rad,0.15310079529553336
yaw_rmse_rad,0.011037393958391444
max_tilt_rad,0.34625050075598574
minimum_altitude_m,0.6523406537334938
altitude_violation_count,0
tilt_violation_count,0
constraint_violation_count,0
constraint_violation_rate_hz,0.0
altitude_violation_rate_hz,0.0
tilt_violation_rate_hz,0.0
control_energy,133.91432003416978
control_energy_per_second,1.6713231146687177
control_smoothness,6890.402454521836
control_smoothness_per_second,85.99594792158113
control_command_min,-2.8164620181958755
control_command_max,2.6699322259199314
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,81.86359304041895
robustness_score,100.0
safety_score,100.0
energy_score,14.943997982222914
smoothness_score,0.0
fault_tolerance_score,100.0
total_health_score,81.05347771034798
source,MWORKS_MCP
evidence_level,gui_review_only_route_filtered_obstacles_1p0_full_20hz_continuous_grid
