time,x_ref,y_ref,z_ref,yaw_ref,task_phase,actual_mass_scale,mass_estimate_scale,mass_phase,acc_residual_raw_z_m_s2,disturbance_hat_z_m_s2,disturbance_comp_z_m_s2,acc_residual_after_comp_z_m_s2,controller_mode,disturbance_type
0.0,0.0,0.0,2.0,0.0,OUTBOUND,1.2,1.2,payload_attached,0.0,0.0,0.0,0.0,NORMAL,NONE
0.01,4.731264316049383e-08,2.3656321580246914e-08,2.0000000047312643,0.4636476090008061,OUTBOUND,1.2,1.2,payload_attached,0.0,0.0,0.0,0.0,NORMAL,NONE
0.02,3.777438403950617e-07,1.8887192019753086e-07,2.000000037774384,0.4636476090008061,OUTBOUND,1.2,1.2,payload_attached,0.0,0.0,0.0,0.0,NORMAL,NONE
0.03,1.272332288e-06,6.36166144e-07,2.000000127233229,0.4636476090008061,OUTBOUND,1.2,1.2,payload_attached,0.0,0.0,0.0,0.0,NORMAL,NONE
0.04,3.0098532630123452e-06,1.5049266315061726e-06,2.0000003009853264,0.4636476090008061,OUTBOUND,1.2,1.2,payload_attached,0.0,0.0,0.0,0.0,NORMAL,NONE
0.05,5.866824691358026e-06,2.933412345679013e-06,2.0000005866824693,0.4636476090008061,OUTBOUND,1.2,1.2,payload_attached,0.0,0.0,0.0,0.0,NORMAL,NONE
0.06,1.0117513216e-05,5.058756608e-06,2.0000010117513214,0.4636476090008061,OUTBOUND,1.2,1.2,payload_attached,0.0,0.0,0.0,0.0,NORMAL,NONE
0.07,1.6033940265086423e-05,8.016970132543212e-06,2.0000016033940264,0.4636476090008061,OUTBOUND,1.2,1.2,payload_attached,0.0,0.0,0.0,0.0,NORMAL,NONE
0.08,2.3885888120098767e-05,1.1942944060049383e-05,2.000002388588812,0.4636476090008061,OUTBOUND,1.2,1.2,payload_attached,0.0,0.0,0.0,0.0,NORMAL,NONE
0.09,3.3940905984000004e-05,1.6970452992000002e-05,2.0000033940905984,0.4636476090008061,OUTBOUND,1.2,1.2,payload_attached,0.0,0.0,0.0,0.0,NORMAL,NONE
0.1,4.6464316049382724e-05,2.3232158024691362e-05,2.000004646431605,0.4636476090008061,OUTBOUND,1.2,1.2,payload_attached,0.0,0.0,0.0,0.0,NORMAL,NONE
0.11,6.171921956661728e-05,3.085960978330864e-05,2.0000061719219566,0.4636476090008061,OUTBOUND,1.2,1.2,payload_attached,0.0,0.0,0.0,0.0,NORMAL,NONE
0.12,7.9966502912e-05,3.9983251456e-05,2.0000079966502913,0.4636476090008061,OUTBOUND,1.2,1.2,payload_attached,0.0,0.0,0.0,0.0,NORMAL,NONE
0.13,0.00010146484365590122,5.073242182795061e-05,2.0000101464843656,0.4636476090008061,OUTBOUND,1.2,1.2,payload_attached,0.0,0.0,0.0,0.0,NORMAL,NONE
0.14,0.00012647071663091363,6.323535831545681e-05,2.0000126470716633,0.4636476090008061,OUTBOUND,1.2,1.2,payload_attached,0.0,0.0,0.0,0.0,NORMAL,NONE
