time,eta1,eta2,eta3,eta4,fault_active,controller_mode,desired_thrust,desired_roll_moment,desired_pitch_moment,desired_yaw_moment,no_realloc_motor_1,no_realloc_motor_2,no_realloc_motor_3,no_realloc_motor_4,realloc_motor_1,realloc_motor_2,realloc_motor_3,realloc_motor_4,no_realloc_wrench_error,realloc_wrench_error,no_realloc_torque_error,realloc_torque_error
0.0,1.0,1.0,1.0,1.0,0,NORMAL,1.8,0.01362964198080277,0.03,0.0,0.42726339164000393,0.38940327502666283,0.4727366083599961,0.5105967249733372,0.42726339164000393,0.38940327502666283,0.4727366083599961,0.5105967249733372,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17
0.01,1.0,1.0,1.0,1.0,0,NORMAL,1.8017591500874004,0.014335220874890626,0.029995357457834656,0.000343015188819781,0.43154805773014826,0.38601107993067796,0.4750484371272149,0.5091515752993593,0.43154805773014826,0.38601107993067796,0.4750484371272149,0.5091515752993593,2.8905936060055035e-17,2.8905936060055035e-17,2.8905936060055035e-17,2.8905936060055035e-17
0.02,1.0,1.0,1.0,1.0,0,NORMAL,1.8035174494654291,0.015033867383373678,0.029981431268218475,0.000685750049753625,0.43583344071868657,0.38264353049119904,0.47735445150992184,0.5076860267456217,0.43583344071868657,0.38264353049119904,0.47735445150992184,0.5076860267456217,6.902068839062991e-17,6.902068839062991e-17,6.902068839062991e-17,6.902068839062991e-17
0.03,1.0,1.0,1.0,1.0,0,NORMAL,1.8052740478361102,0.01572524364700019,0.02995822574134629,0.0010279244840125162,0.44011651863920676,0.3793032115528865,0.4796525800123904,0.5062017376316266,0.44011651863920676,0.3793032115528865,0.4796525800123904,0.5062017376316266,1.8379065717611778e-17,1.8379065717611778e-17,1.8379065717611778e-17,1.8379065717611778e-17
0.04,1.0,1.0,1.0,1.0,0,NORMAL,1.8070280957240594,0.01640901532234432,0.029925748059393905,0.0013692588508140517,0.4443942744418965,0.37599269547737235,0.4819407542670341,0.5047003715377565,0.4443942744418965,0.37599269547737235,0.4819407542670341,0.5047003715377565,5.492915327871544e-17,5.492915327871544e-17,5.492915327871544e-17,5.492915327871544e-17
0.05,1.0,1.0,1.0,1.0,0,NORMAL,1.8087787448872836,0.01708485174349165,0.029884008274295173,0.0017094741959178315,0.4486636982283536,0.3727145401200239,0.4842169108139187,0.5031835957249874,0.4486636982283536,0.3727145401200239,0.4842169108139187,0.5031835957249874,6.400320096307325e-17,6.400320096307325e-17,6.400320096307325e-17,6.400320096307325e-17
0.06,1.0,1.0,1.0,1.0,0,NORMAL,1.8105251487273826,0.01775242608194625,0.029833019304630913,0.0020482924795997702,0.45292178948033723,0.3694712868149349,0.4864789928766834,0.501653079555427,0.45292178948033723,0.3694712868149349,0.4864789928766834,0.501653079555427,4.1887825054678826e-17,4.1887825054678826e-17,4.1887825054678826e-17,4.1887825054678826e-17
0.07,1.0,1.0,1.0,1.0,0,NORMAL,1.8122664626989569,0.01841141550468208,0.029772796931630575,0.0023854368038790296,0.4571655592807471,0.36626545836975755,0.48872495213338174,0.5001104929150705,0.4571655592807471,0.36626545836975755,0.48872495213338174,0.5001104929150705,2.223442524023825e-16,2.223442524023825e-16,1.1539497392050865e-17,1.1539497392050865e-17
0.08,1.0,1.0,1.0,1.0,0,NORMAL,1.8140018447180222,0.01906150133026217,0.029703359794287877,0.002720631638811859,0.4613920325251243,0.36309955707197605,0.49095275048075115,0.4985575046401707,0.4613920325251243,0.36309955707197605,0.49095275048075115,0.4985575046401707,1.892856777811341e-17,1.892856777811341e-17,1.892856777811341e-17,1.892856777811341e-17
0.09,1.0,1.0,1.0,1.0,0,NORMAL,1.8157304555692337,0.01970236918295009,0.029624729383592025,0.0030536030476674193,0.46559825012197875,0.3599760627082159,0.49316036179042844,0.49699578094861063,0.46559825012197875,0.3599760627082159,0.49316036179042844,0.49699578094861063,3.206013506457838e-17,3.206013506457838e-17,3.206013506457838e-17,3.206013506457838e-17
