time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0035462424799360746,0.0,0.0,0.0,2.0,-0.000141849699197443,-0.0,0.0,0.520002836993984,0.5199971630060161,0.520001418496992,0.519998581503008
0.01,0.0001799956800311039,0.003706386241187186,0.019903914368085987,0.0,0.0,2.0,-0.00014825544964748745,7.199827201244156e-06,0.0,0.5204579655307322,0.5197520340405182,0.5202814826581788,0.5199285169130716
0.02,0.00035996544099531434,0.003865803562600324,0.03961690726240585,0.0,0.0,2.0,-0.00015463214250401296,1.4398617639812574e-05,0.0,0.5209130814397905,0.519506915130218,0.5205615398623974,0.5198584567076111
0.03,0.0005398833675580387,0.004024463198890838,0.05914083621646452,0.0,0.0,2.0,-0.00016097852795563352,2.159533470232155e-05,0.0,0.521368165450217,0.5192618229735969,0.520841579831062,0.5197884085927519
0.04,0.0007197235518487489,0.0041823340532779335,0.07847753613140622,0.0,0.0,2.0,-0.00016729336213111736,2.8788942073949957e-05,0.0,0.5218231984016712,0.5190167741585978,0.5211215923409028,0.5197183802193662
0.05,0.0008994600971916689,0.004339385183579544,0.09762881956996053,0.0,0.0,2.0,-0.00017357540734318176,3.597840388766676e-05,0.0,0.5222781612330388,0.5187717851740318,0.521401567218287,0.5196483791887836
0.06,0.001079067121834853,0.0044955858082769,0.11659647704847977,0.0,0.0,2.0,-0.000179823432331076,4.316268487339412e-05,0.0,0.5227330349709828,0.5185268724210593,0.521681494333502,0.5195784130585401
0.07,0.0012585187626771121,0.00465090531254761,0.13538227732704403,0.0,0.0,2.0,-0.00018603621250190438,5.034075050708449e-05,0.0,0.5231878007192272,0.5182820522239364,0.5219613635954046,0.5195084893477591
0.08,0.0014377891789922556,0.00480531325426606,0.15398796769761708,0.0,0.0,2.0,-0.0001922125301706424,5.7511567159690223e-05,0.0,0.5236424396489687,0.5180373408396364,0.5222411649466356,0.5194386155419695
0.09,0.0016168525561501119,0.004958779369969984,0.17241527427023073,0.0,0.0,2.0,-0.0001983511747987994,6.467410224600448e-05,0.0,0.5240969329905467,0.5177927544662098,0.5225208883594625,0.5193687990972939
0.1,0.0017956831093337905,0.005111273580791995,0.1906659022571834,0.0,0.0,2.0,-0.00020445094323167978,7.182732437335163e-05,0.0,0.5245512620263595,0.5175483092499007,0.5228005238322447,0.5192990474440154
