time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.002,4.0601695976973766e-16,3.1891202266019967e-16,3.0965087242023545e-07,0.0,0.0,0.004,1.3391194016327516e-14,-1.7072402801892755e-14,-6.116820996628698e-16,0.2364920468005253,-0.2364920467992887,0.2364920468008656,-0.2364920468021109
0.004,8.045770532948552e-16,6.647303578289627e-16,6.215636116951333e-07,0.0,0.0,0.008,2.819686259335896e-14,-3.402722244669532e-14,-1.1721021828118949e-14,0.46808623378053393,-0.46808623377806446,0.4680862337810562,-0.4680862337836913
0.006,1.2160928931804184e-15,1.0256516084951e-15,9.332994059047554e-07,0.0,0.0,0.012,4.478100705716952e-14,-5.234669150725608e-14,-9.07390794198416e-14,0.6949037887878025,-0.6949037887844735,0.6949037887884576,-0.6949037887930695
0.008,1.6344973382318076e-15,1.394837751850079e-15,1.2451719576036797e-06,0.0,0.0,0.016,6.193763826429455e-14,-7.112472596071023e-14,-1.9191717980410742e-13,0.9170628029623392,-0.917062802958323,0.9170628029631107,-0.9170628029698407
0.01,2.0554248453375588e-15,1.7645237370137732e-15,1.5575324968602783e-06,0.0,0.0,0.02,7.898341126673767e-14,-8.986875628692659e-14,-2.873929886927049e-13,1.1346784596380142,-1.134678459633348,1.134678459638904,-1.1346784596476343
0.012,2.4780977799244462e-15,2.1307088391364885e-15,1.8705316708119084e-06,0.0,0.0,0.024,9.617280546730214e-14,-1.0870721394241912e-13,-4.284190830267537e-13,1.3478631196735966,-1.3478631196686495,1.3478631196745932,-1.3478631196855986
0.014,2.901009612031172e-15,2.49018685359384e-15,2.1841692021771867e-06,0.0,0.0,0.028000000000000004,1.1395889686200025e-13,-1.2788856221942268e-13,-6.718437463933816e-13,1.556726388202916,-1.5567263881984106,1.5567263882039888,-1.556726388217994
0.016,3.320444239155774e-15,2.850774665888117e-15,2.4984857207641797e-06,0.0,0.0,0.032,1.324072582638053e-13,-1.4745926920097662e-13,-9.45613826950036e-13,1.7613751716019852,-1.761375171598131,1.7613751716031056,-1.7613751716203314
0.018000000000000002,3.733782045992251e-15,3.2248609706487193e-15,2.813632857394287e-06,0.0,0.0,0.036000000000000004,1.5090073030057342e-13,-1.6707482199589526e-13,-1.0877075329546185e-12,1.961913740011097,-1.9619137400070183,1.961913740012268,-1.9619137400317266
0.02,4.143914445619061e-15,3.6080726285949076e-15,3.1298034668642414e-06,0.0,0.0,0.04,1.6877020681561177e-13,-1.8631897925962626e-13,-1.0899238559959579e-12,2.1584437963165115,-2.158443796311338,2.1584437963177585,-2.1584437963383447
0.022,4.553599997806509e-15,3.991543255955176e-15,3.4471386520498356e-06,0.0,0.0,0.044,1.856805863340206e-13,-2.0495917580013182e-13,-1.0069000399460404e-12,2.351064544764784,-2.3510645447580525,2.3510645447661385,-2.3510645447871075
0.024,4.9633415170127585e-15,4.361212050165033e-15,3.76570156520292e-06,0.0,0.0,0.048,2.022351377450345e-13,-2.2329512828616777e-13,-1.0052676195299968e-12,2.5398727540652923,-2.5398727540576496,2.5398727540667516,-2.539872754088609
0.026000000000000002,5.370394832154362e-15,4.713346988372339e-15,4.085519643010957e-06,0.0,0.0,0.052000000000000005,2.1901729142577297e-13,-2.416341069846067e-13,-1.1511274861831605e-12,2.7249628150186833,-2.724962815011182,2.7249628150202185,-2.724962815043997
0.028,5.769945537792037e-15,5.0577118066231156e-15,4.406636334225585e-06,0.0,0.0,0.05600000000000001,2.3557072544715437e-13,-2.5985196700135687e-13,-1.2791483282124588e-12,2.906426796177936,-2.906426796170506,2.906426796179555,-2.9064267962050723
0.03,6.163546079538057e-15,5.396536604145328e-15,4.729125898938852e-06,0.0,0.0,0.06,2.5192560133004317e-13,-2.776598135234176e-13,-1.4426778036100377e-12,3.0843545002437556,-3.0843545002366977,3.084354500245434,-3.084354500272892
0.032,6.561835754058451e-15,5.749104437485983e-15,5.053073534761213e-06,0.0,0.0,0.064,2.682950376014543e-13,-2.936736966757676e-13,-1.880531675880672e-12,3.258833521053582,-3.258833521048864,3.2588335210551427,-3.258833521086451
0.034,6.974541136317121e-15,6.13198640915697e-15,5.378550946667054e-06,0.0,0.0,0.068,2.849078010153643e-13,-3.0657933040270993e-13,-2.8381777226828702e-12,3.429949299428196,-3.429949299429504,3.429949299429323,-3.429949299468147
0.036000000000000004,7.386818474815362e-15,6.524003025517444e-15,5.705608840453736e-06,0.0,0.0,0.07200000000000001,3.013360635289239e-13,-3.1763983423837313e-13,-4.045968244493996e-12,3.597785176675818,-3.597785176684965,3.5977851766763753,-3.5977851767244373
0.038,7.762770222566322e-15,6.867906037658194e-15,6.034285916024346e-06,0.0,0.0,0.076,3.1666325663335504e-13,-3.3059956218057245e-13,-4.7779680110035145e-12,3.762422445826221,-3.7624224458399653,3.7624224458265307,-3.7624224458803472
0.04,8.087780339944615e-15,7.138799824500666e-15,6.364620550240916e-06,0.0,0.0,0.08,3.3054233062678434e-13,-3.470886130032607e-13,-4.729349910272635e-12,3.9239404014456523,-3.9239404014586166,3.923940401446208,-3.9239404015001167
0.042,8.372468961485836e-15,7.351769106372622e-15,6.696655074408106e-06,0.0,0.0,0.084,3.4324686241471177e-13,-3.6603311660922743e-13,-4.117239160307348e-12,4.082416388650739,-4.082416388659053,4.082416388651878,-4.082416388701783
0.044,8.653377886214409e-15,7.564917081967821e-15,7.030432459055027e-06,0.0,0.0,0.088,3.5569362131227484e-13,-3.834092138206925e-13,-3.7168242048540525e-12,4.237925851342972,-4.23792585134816,4.237925851344534,-4.2379258513919025
0.046,8.96089185309178e-15,7.8298214621165e-15,7.365991312340252e-06,0.0,0.0,0.092,3.686017392906561e-13,-3.955430600561434e-13,-4.20964913834073e-12,4.390542379350441,-4.390542379358788,4.390542379351855,-4.390542379403033
0.048,9.269174280708932e-15,8.108924978639806e-15,7.70336394634635e-06,0.0,0.0,0.096,3.8129458791769254e-13,-4.0477353588895577e-13,-5.116431244252736e-12,4.540337754236708,-4.540337754251169,4.540337754237726,-4.540337754295612
0.05,9.550215576403058e-15,8.359364215868325e-15,8.042577720287686e-06,0.0,0.0,0.1,3.9307331227979947e-13,-4.1385811709694936e-13,-5.891618110705005e-12,4.687381993804977,-4.687381993824705,4.687381993805695,-4.687381993869274
0.052000000000000005,9.790019142785035e-15,8.559143201498413e-15,8.383657628356436e-06,0.0,0.0,0.10400000000000001,4.0356893517412494e-13,-4.241760865990208e-13,-6.262909487040034e-12,4.8317433953946,-4.831743395416855,4.831743395395278,-4.83174339546158
0.054,9.972897605637577e-15,8.682034780811768e-15,8.72662734542857e-06,0.0,0.0,0.10800000000000001,4.1236796028902263e-13,-4.3743752744604667e-13,-5.904204088398397e-12,4.973488578195859,-4.9734885782156235,4.973488578196947,-4.97348857826067
0.056,1.0126198432233975e-14,8.769561887974776e-15,9.071508922900866e-06,0.0,0.0,0.11200000000000002,4.202195653531899e-13,-4.5059360600719307e-13,-5.361722144676359e-12,5.112682524663302,-5.112682524679345,5.112682524664859,-5.112682524724631
0.058,1.0274656025064742e-14,8.852817073082303e-15,9.418322011479512e-06,0.0,0.0,0.11600000000000002,4.284037149191735e-13,-4.597684030486509e-13,-4.965888839080429e-12,5.249388620899626,-5.249388620912934,5.249388620901207,-5.249388620958116
0.06,1.0423518469252175e-14,8.922931327076812e-15,9.767083509601877e-06,0.0,0.0,0.12,4.3846421999972894e-13,-4.618900485953938e-13,-4.428759740149174e-12,5.3836686959631015,-5.383668695972476,5.3836686959638325,-5.3836686960170805
0.062,1.0562440942833238e-14,8.96384378672215e-15,1.0117807848259279e-05,0.0,0.0,0.124,4.5025794414234747e-13,-4.576701231641374e-13,-3.5342973567429123e-12,5.515583060253891,-5.515583060256628,5.515583060253029,-5.515583060300266
0.064,1.0670531733850442e-14,8.974660804656304e-15,1.047050756345538e-05,0.0,0.0,0.128,4.608949508390791e-13,-4.5304664388027595e-13,-2.5810868272807725e-12,5.645190544013387,-5.645190544009184,5.645190544011086,-5.645190544051786
0.066,1.0751531575006001e-14,8.962258453463427e-15,1.0825193483476998e-05,0.0,0.0,0.132,4.701159993473711e-13,-4.4819857635122173e-13,-1.7097770867511089e-12,5.772548446169332,-5.772548446158901,5.772548446165785,-5.772548446200392
0.068,1.0811744850824902e-14,8.925518533089856e-15,1.1181876719961417e-05,0.0,0.0,0.136,4.784013945816363e-13,-4.421062459229863e-13,-8.71697165285297e-13,5.897723998442575,-5.897723998426229,5.897723998437811,-5.897723998466481
0.07,1.0850990214513793e-14,8.859278020081098e-15,1.1540564218367146e-05,0.0,0.0,0.14,4.85187775917208e-13,-4.3528331721155386e-13,-6.371318811246532e-14,6.020768169870095,-6.020768169848176,6.020768169864247,-6.020768169887066
0.07200000000000001,1.0872725716764369e-14,8.761787671741362e-15,1.1901260357329742e-05,0.0,0.0,0.14400000000000002,4.905134495716463e-13,-4.2724811550501337e-13,7.343777924816246e-13,6.141720465471881,-6.141720465444578,6.141720465465022,-6.14172046548194
0.074,1.0879534174629483e-14,8.629858139147671e-15,1.2263970236287819e-05,0.0,0.0,0.148,4.942007681716225e-13,-4.1817104703864315e-13,1.5298242516880962e-12,6.260638900007933,-6.2606388999753975,6.260638900000167,-6.260638900011074
0.076,1.0889801285471974e-14,8.444725192433729e-15,1.2628698219852087e-05,0.0,0.0,0.152,4.939312112548823e-13,-4.057050406061725e-13,2.318749318272841e-12,6.377583658815345,-6.377583658777959,6.377583658806755,-6.377583658811354
0.078,1.0885831896781614e-14,8.230556869682935e-15,1.2995444967698694e-05,0.0,0.0,0.156,4.920282908816083e-13,-3.912112117486284e-13,3.085726268613547e-12,6.492587845167323,-6.492587845125357,6.49258784515791,-6.492587845156244
0.08,1.085798035917142e-14,8.003468009296484e-15,1.3364211847754782e-05,0.0,0.0,0.16,4.897712873481122e-13,-3.7496799366354546e-13,3.811640064927611e-12,6.605699281579024,-6.60569928153275,6.605699281568693,-6.605699281561071
