time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
0.01,2.4330970474881353e-15,1.6510170200099155e-15,1.5989047436266138e-06,0.0,0.0,0.02,7.19724679588961e-14,-9.681790607768109e-14,-1.0649020170882996e-12,5.217143301981461,-5.217143301979763,5.21714330198418,-5.217143302000936
0.02,4.697117117038945e-15,3.136508628405411e-15,3.51222539921037e-06,0.0,0.0,0.04,1.4050829283653774e-13,-1.8626568564223894e-13,-2.4200709257956144e-12,7.239050296168544,-7.239050296172043,7.2390502961726915,-7.239050296203412
0.03,6.024694091996915e-15,3.866776359487493e-15,5.5671970023270095e-06,0.0,0.0,0.06,1.7745866336043583e-13,-2.416512839072997e-13,-3.726741063594349e-12,8.086301860201191,-8.086301860215253,8.086301860205946,-8.08630186024458
0.04,6.5595544601118556e-15,3.576471280013568e-15,7.67189295478111e-06,0.0,0.0,0.08,1.707449501789913e-13,-2.5494818780302917e-13,-4.593694177138236e-12,8.502201498429693,-8.502201498455856,8.502201498434868,-8.50220149847366
0.05,6.1106012235711584e-15,3.201185594171202e-15,9.799032519681088e-06,0.0,0.0,0.1,1.6599837069803533e-13,-2.4822139348037797e-13,-6.3722739700332325e-12,8.760180016371319,-8.760180016412313,8.760180016374566,-8.760180016423675
0.06,5.340053528605136e-15,2.4711316935647106e-15,1.1941814637872601e-05,0.0,0.0,0.12,1.4720723216794354e-13,-2.2385780985936601e-13,-7.80211315745742e-12,8.960822488171535,-8.960822488225318,8.960822488173108,-8.960822488229647
0.07,4.210688040248908e-15,1.9585595332433678e-15,1.4099038828942935e-05,0.0,0.0,0.14,1.3356477202993896e-13,-1.8645022159076163e-13,-1.024704344015271e-11,9.141130861449142,-9.14113086152106,9.141130861448138,-9.14113086152111
0.08,3.2223722575510377e-15,1.348360810112891e-15,1.6270856489938446e-05,0.0,0.0,0.16,1.2093229498182226e-13,-1.6017396424478635e-13,-1.2352315153402858e-11,9.314717105283313,-9.31471710537058,9.314717105281193,-9.314717105368588
0.09,2.5808748861569777e-15,3.638969065790023e-16,1.845773813671254e-05,0.0,0.0,0.18,1.0538393383834961e-13,-1.6061305234706602e-13,-1.3383115356343231e-11,9.486587520831922,-9.486587520926784,9.486587520833654,-9.486587520928028
0.1,1.9414170119109884e-15,-6.434441995847547e-16,2.066024991641103e-05,0.0,0.0,0.2,8.407554736641658e-14,-1.665838123093825e-13,-1.6252423778004213e-11,9.65859453494847,-9.658594535064939,9.65859453495349,-9.65859453506683
0.11,7.253897553287693e-16,-1.5248428520925634e-15,2.2878979858293005e-05,0.0,0.0,0.22000000000000003,6.436306116253657e-14,-1.54894937497178e-13,-1.9323142045279487e-11,9.831401506838676,-9.831401506977471,9.831401506843182,-9.831401506977615
0.12,-6.065727714499197e-16,-2.264896079415484e-15,2.5114542500195276e-05,0.0,0.0,0.24,5.3513466721107653e-14,-1.4066765903662073e-13,-2.2222553447810302e-11,10.005258397718277,-10.005258397877013,10.005258397721,-10.005258397876492
0.13,-2.191296985961634e-15,-2.8809493311339534e-15,2.736749983803734e-05,0.0,0.0,0.26,4.4692177332467167e-14,-1.2073218987675486e-13,-2.541802723770559e-11,10.180259369759412,-10.180259369940352,10.180259369760433,-10.180259369938904
0.14,-3.7590137953207765e-15,-3.369009059175931e-15,2.9638579364814157e-05,0.0,0.0,0.28,3.465242253836251e-14,-1.0536114596374948e-13,-2.8840769821160362e-11,10.35644336711732,-10.356443367322527,10.356443367117999,-10.356443367320601
0.15,-5.532527100855222e-15,-3.847812651433398e-15,3.192824965793735e-05,0.0,0.0,0.3,2.8128025346090683e-14,-8.335157779111733e-14,-3.213113467726028e-11,10.53381766212331,-10.533817662351499,10.533817662122841,-10.533817662348987
0.16,-7.346279721085585e-15,-4.336028145167797e-15,3.423739367147111e-05,0.0,0.0,0.32,2.624469119006885e-14,-6.073668946976721e-14,-3.5253439912074956e-11,10.712389014011602,-10.712389014261142,10.712389014009647,-10.71238901425859
0.17,-8.800538514184156e-15,-4.722610452077643e-15,3.656648380321674e-05,0.0,0.0,0.34,2.3915522459427365e-14,-5.557823163401953e-14,-3.8597004786012806e-11,10.892161456704658,-10.892161456977592,10.892161456703716,-10.892161456976543
