time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.01,1.1407772531809679e-15,8.244209918797857e-16,1.555576515382937e-06,0.0,0.0,0.02,3.490513831570421e-14,-4.6624588670461316e-14,9.268834850735543e-14,0.23998133308201275,-0.23998133308058042,0.2399813330822734,-0.23998133308239508
0.02,2.2070850009284252e-15,1.5576946176102857e-15,3.107250576759649e-06,0.0,0.0,0.04,6.530736553484782e-14,-8.305699670980679e-14,6.144727913445486e-13,0.47996271299505416,-0.4799627129892561,0.4799627129954479,-0.4799627129925572
0.03,3.2591839909522177e-15,2.246583828574098e-15,4.6534692019473996e-06,0.0,0.0,0.06,9.913481773660358e-14,-1.2445896551082107e-13,5.490108185937665e-13,0.7199441583712368,-0.7199441583651478,0.719944158371798,-0.7199441583701238
0.04,4.394257687476158e-15,2.935814469357773e-15,6.195161692798853e-06,0.0,0.0,0.08,1.2841502389000321e-13,-1.6727778088933878e-13,8.039672166583239e-13,0.9599256580620975,-0.9599256580535545,0.9599256580629594,-0.9599256580601345
0.05,5.676470150525455e-15,3.8071267891132515e-15,7.733264410872275e-06,0.0,0.0,0.1,1.6541230415578563e-13,-2.1444486606671957e-13,1.184425681909043e-12,1.1999072008307128,-1.199907200818656,1.1999072008318001,-1.1999072008271088
0.06,7.123446189132297e-15,4.875197135409004e-15,9.268714530953045e-06,0.0,0.0,0.12,2.1117980085414736e-13,-2.6725808664339846e-13,1.6425615140999502e-12,1.4398887754308136,-1.439888775414499,1.4398887754320564,-1.439888775425145
0.07,7.58381360365335e-15,5.60303444139381e-15,1.0802388998717236e-05,0.0,0.0,0.14,2.48415385942389e-13,-2.896206880258406e-13,2.737061017210871e-12,1.6798703713412355,-1.6798703713163528,1.6798703713421468,-1.6798703713283272
0.08,-1.8549324931941285e-15,4.412853124019112e-15,1.2335331408664003e-05,0.0,0.0,0.16,2.0756914556161892e-13,1.7348936202863024e-14,1.948369910856002e-11,1.9198519760944717,-1.9198519759520982,1.9198519760894706,-1.9198519759563442
0.09,-1.4108400416793047e-14,2.759187007088754e-15,1.386847921647537e-05,0.0,0.0,0.18,1.4807534222672514e-13,4.1865214524079773e-13,4.059407388269526e-11,2.1598335783991995,-2.159833578108899,2.1598335783866047,-2.1598335781029054
0.1,-2.6670909047605744e-14,1.1295566887797795e-15,1.5402758700898713e-05,0.0,0.0,0.2,8.928841535560702e-14,8.337741122302351e-13,6.192701758910772e-11,2.3998151671247574,-2.39981516668494,2.3998151671042454,-2.3998151666684144
0.11,-3.9078463058290095e-14,-3.288388929207623e-16,1.6939070890092216e-05,0.0,0.0,0.22000000000000003,3.907568662587077e-14,1.2478259125601796e-12,8.25558282723048e-11,2.6397967314554527,-2.6397967308709056,2.6397967314268556,-2.639796730844063
0.12,-5.115888807456457e-14,-1.4758473431121748e-15,1.84783102879579e-05,0.0,0.0,0.24,5.768103758759833e-15,1.6618440607540572e-12,1.0221106200994848e-10,2.8797782606563906,-2.879778259933621,2.87977826061933,-2.879778259896836
0.13,-6.283787709158826e-14,-2.463942803037832e-15,2.0021633352746324e-05,0.0,0.0,0.26,-2.1690570893820352e-14,2.0649181931003026e-12,1.2053734244466568e-10,3.1197597408485724,-3.1197597399968453,3.119759740803161,-3.1197597399504913
0.14,-7.455644436613854e-14,-3.3341310736053805e-15,2.156953351952956e-05,0.0,0.0,0.28,-4.262649014231763e-14,2.476442043053358e-12,1.3827898667412408e-10,3.3597411661136305,-3.3597411651369335,3.359741166059534,-3.3597411650809668
0.15,-8.692551920909927e-14,-4.190676215979394e-15,2.312301416916301e-05,0.0,0.0,0.3,-5.936430392737021e-14,2.920948912310858e-12,1.564026701786778e-10,3.599722524414658,-3.599722523310196,3.599722524351048,-3.599722523243976
0.16,-9.943715371234567e-14,-4.988045321034856e-15,2.4684058477557062e-05,0.0,0.0,0.32,-7.134846381369427e-14,3.385676457868161e-12,1.7464738099021967e-10,3.8397037919524895,-3.839703790719301,3.839703791878807,-3.8397037906424814
0.17,-1.1173237637200325e-13,-5.6809661926916324e-15,2.6253171615720882e-05,0.0,0.0,0.34,-7.774818998107583e-14,3.8591761927968954e-12,1.9265599547022628e-10,4.0796849626636895,-4.079684961303318,4.079684962579613,-4.079684961215827
0.18,-1.2403470122172475e-13,-6.295236118832775e-15,2.7829875322630036e-05,0.0,0.0,0.36,-7.900073896684727e-14,4.34813284495744e-12,2.106193407692109e-10,4.319666042288134,-4.3196660408007865,4.319666042193202,-4.319666040702391
0.19,-1.3583260725496921e-13,-6.872476320094861e-15,2.9416032135505375e-05,0.0,0.0,0.38,-7.761837084275043e-14,4.837894623393305e-12,2.286577339377583e-10,4.559647008475612,-4.559647006860701,4.559647008369745,-4.559647006751438
0.2,-1.4705642009324522e-13,-7.418356031255788e-15,3.101189575091382e-05,0.0,0.0,0.4,-7.394328105506138e-14,5.326465804731256e-12,2.4678756338536515e-10,4.7996278581817995,-4.799627856438623,4.7996278580649685,-4.799627856318568
0.21,-1.5757585535674337e-13,-7.943476175539035e-15,3.261794055701067e-05,0.0,0.0,0.42000000000000004,-6.861534214297532e-14,5.810114578403506e-12,2.650394738599801e-10,5.0396085857140935,-5.039608583841754,5.039608585586369,-5.03960858371105
0.22,-1.6520662235433287e-13,-8.138063409072535e-15,3.4237058622034105e-05,0.0,0.0,0.44000000000000006,-4.790411293020963e-14,6.210287778029039e-12,2.8340807855559617e-10,5.279589156366939,-5.279589154364268,5.27958915622983,-5.27958915422511
0.23,-1.6738530557896977e-13,-7.587085428589326e-15,3.587210939226995e-05,0.0,0.0,0.4600000000000001,6.887397139136086e-15,6.4331092200039396e-12,3.018322197412064e-10,5.5195695358259265,-5.519569533691774,5.519569535682615,-5.519569533548861
0.24,-1.6627786561343768e-13,-6.6250877485671045e-15,3.752050924521109e-05,0.0,0.0,0.48,8.077071932367952e-14,6.557370501326096e-12,3.2034638831318117e-10,5.759549755095358,-5.759549752828659,5.759549754947607,-5.759549752684607
0.25,-1.6188430245773656e-13,-5.2520703690058665e-15,3.9182258180857524e-05,0.0,0.0,0.5,1.7374585362614152e-13,6.583071621996048e-12,3.3895058427152046e-10,5.999529814175235,-5.999529811774929,5.9995298140248075,-5.99952981163235
0.26,-1.5420461611186642e-13,-3.4680332899056135e-15,4.085735619920925e-05,0.0,0.0,0.52,2.858128000492691e-13,6.510212582014341e-12,3.576448076162244e-10,6.239509713065555,-6.239509710530582,6.239509712914215,-6.239509710392088
0.27,-1.4325869006586603e-13,-1.9797029891631417e-15,4.254934096756841e-05,0.0,0.0,0.54,3.921001068153697e-13,6.341287871408209e-12,3.76323282466193e-10,6.479489409313688,-6.479489406644288,6.479489409163695,-6.479489406511884
0.28,-1.2905339032240697e-13,-1.0311204211517018e-15,4.4259434084009586e-05,0.0,0.0,0.56,4.840193694750641e-13,6.077158866885128e-12,3.949494831671871e-10,6.719468888260246,-6.719468885457104,6.719468888114031,-6.719468885332587
0.29,-1.1158476538170118e-13,-4.818359202297959e-16,4.5986932498335456e-05,0.0,0.0,0.58,5.665133589555956e-13,5.7173298316906735e-12,4.1354443084633024e-10,6.959448158341949,-6.959448155405497,6.959448158201847,-6.959448155290782
0.3,-9.085662006639462e-14,-4.670857503793313e-16,4.77325131639702e-05,0.0,0.0,0.6,6.348227768269007e-13,5.262278101147655e-12,4.3208788466727807e-10,7.1994272114352444,-7.19942720836616,7.199427211303682,-7.199427208263044
0.31,-6.687275919913356e-14,-1.1221061755822276e-15,4.9496853034337945e-05,0.0,0.0,0.62,6.841883246588656e-13,4.712481010578702e-12,4.505596037936863e-10,7.439406039416565,-7.439406036215775,7.439406039296067,-7.439406036125943
0.32,-3.9636987602564235e-14,-2.5821334598203975e-15,5.128062906286286e-05,0.0,0.0,0.64,7.098507040213187e-13,4.068415895306278e-12,4.689393473892103e-10,7.679384634162354,-7.679384630831037,7.6793846340555385,-7.679384630756053
0.33,-1.5780723118437534e-14,-4.465105607082488e-15,5.309628666048981e-05,0.0,0.0,0.66,7.20899028077165e-13,3.5320680954990825e-12,4.874574766276786e-10,7.919362846330838,-7.919362842868338,7.919362846235636,-7.919362842805487
0.34,6.613814412327125e-15,-6.756092688715947e-15,5.4939606470716356e-05,0.0,0.0,0.68,7.191163131434259e-13,3.044689570540491e-12,5.060662357069191e-10,8.159340726553493,-8.159340722959454,8.159340726469102,-8.159340722907361
0.35000000000000003,2.9557272231719145e-14,-9.578461347487812e-15,5.680685225454122e-05,0.0,0.0,0.7000000000000001,7.014820408347261e-13,2.5450584045359377e-12,5.246946472287357e-10,8.39931831966422,-8.39931831593886,8.399318319591263,-8.399318315897442
0.36,5.3049650339738396e-14,-1.2932211583398063e-14,5.86980240119644e-05,0.0,0.0,0.72,6.679962111514226e-13,2.0331745974849817e-12,5.433427111931288e-10,8.639295625663022,-8.63929562180655,8.639295625602124,-8.63929562177573
0.37,7.709094873638513e-14,-1.6817343396446734e-14,6.0613121742985915e-05,0.0,0.0,0.74,6.18658824093873e-13,1.509038149387173e-12,5.620104276000982e-10,8.8792726445499,-8.879272640562528,8.87927264450168,-8.879272640542224
0.38,1.0168116742165923e-13,-2.123385678663381e-14,6.255214544760575e-05,0.0,0.0,0.76,5.534698796624361e-13,9.72649060242068e-13,5.806977964496438e-10,9.119249376324854,-9.119249372206797,9.119249376289938,-9.119249372196927
