time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
0.01,-1.1071945123043332e-15,5.1165098840736e-15,1.555752073151543e-06,0.0,0.0,0.0013333333333333335,2.1670579059295943e-13,4.509787495014874e-14,9.799215645514752e-14,0.3474316216242813,-0.347431621591559,0.34743162158571755,-0.34743162161705426
0.02,-2.1757200425492176e-15,1.0311079112275104e-14,3.1080189184525332e-06,0.0,0.0,0.002666666666666667,4.605075598606916e-13,8.042440187754771e-14,-5.232876611458131e-13,0.48208567394537144,-0.48208567389528195,0.48208567388292756,-0.48208567394041635
0.03,-3.300413371332969e-15,1.565088375512042e-14,4.653633831527767e-06,0.0,0.0,0.004,6.940027081610565e-13,1.2302812989375622e-13,-4.667040563631303e-13,0.538514316946606,-0.5385143168852592,0.538514316870936,-0.5385143169388821
0.04,-3.6062917688150064e-15,2.2057745932617863e-14,6.1922111127109345e-06,0.0,0.0,0.005333333333333334,9.845469262363985e-13,1.324422785172895e-13,-1.0368511549502254e-12,0.5662160794110502,-0.566216079339372,0.5662160793230829,-0.5662160794094221
0.05,-4.045478850537054e-15,2.885013919653038e-14,7.723673821064358e-06,0.0,0.0,0.006666666666666667,1.2911330403125564e-12,1.4718243035935764e-13,-1.5879106297743051e-12,0.5834003811061756,-0.5834003810226057,0.5834003810055793,-0.5834003811116023
0.06,-4.8783311904731e-15,3.59967690505043e-14,9.248031981182307e-06,0.0,0.0,0.008,1.6116724201816288e-12,1.7709785796517818e-13,-2.0499208225878806e-12,0.5967660654146221,-0.5967660653236929,0.5967660653010368,-0.5967660654209518
0.07,-7.043080645298163e-15,4.4695096162478305e-14,1.0765318944778531e-05,0.0,0.0,0.009333333333333334,2.0013727762579894e-12,2.7303917893922643e-13,-3.369291283626218e-12,0.6087774631694927,-0.6087774630695932,0.6087774630238117,-0.6087774631713528
0.08,-1.2661003896084762e-14,5.470371383682487e-14,1.227485414556605e-05,0.0,0.0,0.010666666666666668,2.449446168796568e-12,5.243787249596529e-13,-5.8691184463326066e-12,0.6203333732785198,-0.6203333731756069,0.6203333730848168,-0.620333373270719
0.09,-1.6436775491517183e-14,6.769313691607132e-14,1.3777317718391845e-05,0.0,0.0,0.011999999999999999,3.0320637139273563e-12,6.851485545802796e-13,-8.75893646789177e-12,0.6317953912927559,-0.6317953911757647,0.6317953910624986,-0.6317953913033412
0.1,-2.089437912372855e-14,8.33608032455729e-14,1.52717265063549e-05,0.0,0.0,0.013333333333333334,3.727933476438618e-12,8.715821882581335e-13,-1.151701955288386e-11,0.6432783572638094,-0.6432783571303132,0.6432783569908511,-0.643278357287198
0.11,-2.5940172900510483e-14,9.89359781536917e-14,1.6758510657072744e-05,0.0,0.0,0.014666666666666668,4.422811761434694e-12,1.0847575817481153e-12,-1.4652848503123194e-11,0.6548239467354073,-0.6548239465977083,0.654823946427642,-0.6548239467725322
0.12,-3.135984250176957e-14,1.0982392320148883e-13,1.82381549459372e-05,0.0,0.0,0.016,4.9269070809315724e-12,1.322163928883632e-12,-1.8898439586803895e-11,0.6664431179225866,-0.6664431178164371,0.6664431176067094,-0.6664431179800827
0.13,-3.714576331695361e-14,1.2566283766666918e-13,1.9712770581541e-05,0.0,0.0,0.017333333333333333,5.636625146153301e-12,1.5735195251432144e-12,-2.276022185158663e-11,0.6781180610455696,-0.6781180609407085,0.6781180606936992,-0.6781180611203899
0.14,-4.351274685684064e-14,1.4370526408936872e-13,2.1181331938501523e-05,0.0,0.0,0.018666666666666668,6.43964448493534e-12,1.8512642786155806e-12,-2.6753032570540842e-11,0.6898619995953763,-0.689861999484928,0.6898619991982827,-0.689861999687019
0.15,-5.060172709250515e-14,1.637650933096077e-13,2.2643393384938624e-05,0.0,0.0,0.02,7.328820004992438e-12,2.1622815911902935e-12,-3.0989447687079706e-11,0.7016813486654836,-0.7016813485468898,0.7016813482170525,-0.7016813487738371
0.16,-5.854427977920867e-14,1.870879341316218e-13,2.4098828178188424e-05,0.0,0.0,0.021333333333333336,8.355905395466031e-12,2.511868504326355e-12,-3.53752621574505e-11,0.7135792080824731,-0.7135792079476102,0.7135792075715922,-0.7135792082066612
0.17,-6.775203283751606e-14,2.1448677362939932e-13,2.5547686425859412e-05,0.0,0.0,0.02266666666666667,9.555407665341115e-12,2.915625847786881e-12,-3.982865752528806e-11,0.7255553103280686,-0.7255553101661956,0.7255553097401581,-0.7255553104652085
0.18,-7.876609210964487e-14,2.4724998553824836e-13,2.6989943842481244e-05,0.0,0.0,0.023999999999999997,1.0981787978803768e-11,3.3943166607427215e-12,-4.4238859763659004e-11,0.7376108949317329,-0.7376108947279421,0.7376108942470597,-0.737610895076388
0.19,-9.205452875595045e-14,2.871878955134037e-13,2.842563897190759e-05,0.0,0.0,0.025333333333333333,1.2711353531708768e-11,3.9683741756142514e-12,-4.861595231591953e-11,0.7497467182214775,-0.7497467179596268,0.7497467174190365,-0.749746718368317
0.2,-1.0773454978469131e-13,3.351014530623303e-13,2.9854811216796657e-05,0.0,0.0,0.02666666666666667,1.477779831525813e-11,4.6441502604670186e-12,-5.3015369341438667e-11,0.761962811766365,-0.7619628114311866,0.7619628108264246,-0.7619628119112404
0.21,-1.2568867219021305e-13,3.903816823649613e-13,3.127743767244692e-05,0.0,0.0,0.028,1.7155483087644018e-11,5.415966956257444e-12,-5.741105103200075e-11,0.7742590559152275,-0.7742590554912371,0.7742590548176671,-0.7742590560534497
0.22,-1.464662160778752e-13,4.551598832398369e-13,3.269358911073654e-05,0.0,0.0,0.029333333333333336,1.9934480116384532e-11,6.306422578053436e-12,-6.177183475081939e-11,0.7866352161031782,-0.7866352155707624,0.7866352148230402,-0.7866352162289098
0.23,-1.7045762290284946e-13,5.3095092432992e-13,3.410331583434841e-05,0.0,0.0,0.030666666666666672,2.317881026446547e-11,7.331579379780957e-12,-6.607557096225065e-11,0.7990911256080123,-0.7990911249446225,0.799091124116901,-0.7990911257145993
0.24,-1.9774606528882226e-13,6.1807750599888e-13,3.5506628558861164e-05,0.0,0.0,0.032,2.6902111384822033e-11,8.494858975059096e-12,-7.031754132768555e-11,0.811626748914231,-0.8116267480966934,0.8116267471830181,-0.8116267489948457
0.25,-2.288832687629396e-13,7.178934943601372e-13,3.6903562905922336e-05,0.0,0.0,0.03333333333333333,3.116186438164033e-11,9.8197519026915e-12,-7.45045155918866e-11,0.8242420020097753,-0.8242420010123354,0.8242420000054265,-0.8242420020563603
0.26,-2.7896736514728236e-13,8.514395746511409e-13,3.829437216854682e-05,0.0,0.0,0.034666666666666665,3.6859892688423364e-11,1.1965224229903309e-11,-7.959633277729622e-11,0.8369376700623972,-0.8369376688205515,0.8369376676643672,-0.8369376700317049
0.27,-3.391929464700688e-13,1.0062567127315301e-12,3.967890015632252e-05,0.0,0.0,0.036000000000000004,4.3462366139228255e-11,1.4547148610994343e-11,-8.504229332068762e-11,0.8497133313463445,-0.8497133298185627,0.8497133284853529,-0.8497133312156328
0.28,-4.095600127312991e-13,1.182344908601305e-12,4.105714686924943e-05,0.0,0.0,0.037333333333333336,5.0969284734059915e-11,1.7565525045953714e-11,-9.084239722206867e-11,0.8625689858616175,-0.8625689840063688,0.8625689824683836,-0.8625689856081437
0.29,-4.900685639309727e-13,1.3797041622604638e-12,4.2429112307327544e-05,0.0,0.0,0.03866666666666667,5.938064847292369e-11,2.1020353534769544e-11,-9.699664448144817e-11,0.875504633608213,-0.8755046313839673,0.8755046296134567,-0.875504633209235
0.3,-5.819527834474369e-13,1.602584516220533e-12,4.379483176053798e-05,0.0,0.0,0.04,6.887639437494421e-11,2.4963145338251953e-11,-1.0345624699476645e-10,0.8885202676725085,-0.8885202650297077,0.8885202629992381,-0.8885202671049103
0.31,-6.92913139650277e-13,1.8775033572034332e-12,4.515452541446093e-05,0.0,0.0,0.04133333333333333,8.05792075682466e-11,2.971529583538821e-11,-1.0991680003678288e-10,0.90161584491818,-0.901615841757181,0.9016158394412916,-0.9016158441565143
0.32,-8.196578603140843e-13,2.193125115356505e-12,4.650809914485063e-05,0.0,0.0,0.04266666666666667,9.400916611234776e-11,3.513941593094967e-11,-1.1650842959100828e-10,0.914791383785011,-0.914791380027581,0.9147913773999677,-0.914791382804827
0.33,-9.631900787598363e-13,2.55290418759813e-12,4.785558163509123e-05,0.0,0.0,0.044000000000000004,1.0931252122301656e-10,4.127737352157025e-11,-1.2319148111851263e-10,0.928046878653669,-0.9280468742150505,0.9280468712496661,-0.9280468774302122
0.34,-1.1245129283085099e-12,2.9602949708466903e-12,4.9197001568566833e-05,0.0,0.0,0.04533333333333334,1.2663552411602205e-10,4.81710365038825e-11,-1.2992630008037277e-10,0.941382323904822,-0.9413823186937332,0.9413823153647876,-0.9413823224130343
0.35000000000000003,-1.3046295422810823e-12,3.4187518620205685e-12,5.053238762866163e-05,0.0,0.0,0.046666666666666676,1.4612442600713336e-10,5.5862272774518044e-11,-1.3667323193767345e-10,0.9547977139191407,-0.954797707837775,0.954797704119735,-0.9547977121336602
0.36,-1.5182519699874832e-12,3.959860152049158e-12,5.18618213118406e-05,0.0,0.0,0.047999999999999994,1.691270068387349e-10,6.498102962385489e-11,-1.4364206886688333e-10,0.9682930763251028,-0.9682930692085844,0.9682930650235084,-0.9682930741711256
0.37,-1.7650412590273314e-12,4.5843202585273384e-12,5.3185326131153394e-05,0.0,0.0,0.04933333333333333,1.9567188966774187e-10,7.551160271171834e-11,-1.5076873580784228e-10,0.9818684022484538,-0.9818683939313099,0.9818683892066692,-0.9818683996556832
