time,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,ax_ref,ay_ref,az_ref,jx_ref,jy_ref,jz_ref,yaw_ref
0.0,0.0,0.0,1.5,0.0,-0.0,0.0,0.0,-0.0,0.0,4.083825356077754,-1.750210866890466,0.0,0.0
0.02,5.401266808851254e-06,-2.314828632364823e-06,1.5,0.0008080030632193271,-0.0003462870270939973,0.0,0.0803633872190199,-0.03444145166529424,0.0,3.9527496252039063,-1.694035553658817,0.0,-0.40489178628508343
0.04,4.286097720348726e-05,-1.8368990230065965e-05,1.5,0.003197153228396152,-0.001370208526455494,0.0,0.15811943538334322,-0.06776547230714709,0.0,3.8230914506080977,-1.6384677645463275,0.0,-0.4048917862850835
0.06,0.00014348249548715592,-6.149249806592397e-05,1.5,0.007115587225692148,-0.0030495373824394917,0.0,0.2332964956185307,-0.09998421240794171,0.0,3.6948508322903275,-1.5835074995529974,0.0,-0.4048917862850834
0.08,0.0003373375907914513,-0.00014457325319633627,1.5,0.012512008807780216,-0.005362289489048664,0.0,0.30592291905014324,-0.1311098224500614,0.0,3.568027770250595,-1.5291547586788263,0.0,-0.40489178628508343
0.1,0.0006534777775265366,-0.00028006190465422996,1.5,0.01933568874984445,-0.008286723749933337,0.0,0.37602705680374143,-0.1611544529158892,0.0,3.4426222644889024,-1.4754095419238153,0.0,-0.4048917862850835
0.12,0.0011199456558313697,-0.0004799767096420155,1.5,0.02753646484958018,-0.011801342078391504,0.0,0.4436372600048861,-0.19013025428780836,0.0,3.318634315005247,-1.4222718492879631,0.0,-0.4048917862850834
0.14,0.0017637862520239287,-0.0007559083937245408,1.5,0.03706474192719396,-0.01588488939736884,0.0,0.5087818797791384,-0.21804937704820213,0.0,3.1960639217996305,-1.3697416807712701,0.0,-0.4048917862850834
0.16,0.0026110583590514313,-0.001119025011022042,1.5,0.047871491825403505,-0.020516353639458643,0.0,0.5714892672520585,-0.24492397167945365,0.0,3.074911084872053,-1.317819036373737,0.0,-0.4048917862850834
0.18,0.0036868458769405634,-0.0015800768044030985,1.5,0.05990825340943781,-0.02567496574690192,0.0,0.6317877735492075,-0.27076618866394603,0.0,2.9551758042225136,-1.2665039160953628,0.0,-0.40489178628508343
0.2,0.005015269153247709,-0.0021494010656775897,1.5,0.07312713256703705,-0.03134019967158731,0.0,0.6897057497961459,-0.2955881784840625,0.0,2.8368580798510123,-1.2157963199361483,0.0,-0.4048917862850835
0.22,0.006619496323509152,-0.0028369269957896365,1.5,0.08748080220845265,-0.037491772375051136,0.0,0.7452715471184348,-0.31940209162218636,0.0,2.7199579117575508,-1.165696247896093,0.0,-0.4048917862850834
0.24,0.008521754651691334,-0.003652180565010572,1.5,0.10292250226644717,-0.04410964382847736,0.0,0.7985135166416347,-0.34222007856070064,0.0,2.604475299942126,-1.116203699975197,0.0,-0.40489178628508343
0.26,0.010743341870641056,-0.004604289373131881,1.5,0.11940603969629451,-0.051174017012697644,0.0,0.8494600094913066,-0.36405428978198856,0.0,2.490410244404741,-1.0673186761734603,0.0,-0.4048917862850834
0.28,0.013304637522535703,-0.005701987509658159,1.5,0.1368857884757797,-0.0586653379181913,0.0,0.8981393767930114,-0.3849168757684335,0.0,2.377762745145393,-1.0190411764908829,0.0,-0.40489178628508343
0.3,0.016225114299333467,-0.006953620414000057,1.5,0.15531668960519893,-0.06656429554508525,0.0,0.9445799696723094,-0.4048199870024183,0.0,2.266532802164085,-0.9713712009274652,0.0,-0.4048917862850834
0.32,0.019523349383223604,-0.008367149735667259,1.5,0.17465425110735983,-0.07485182190315422,0.0,0.9888101392547618,-0.4237757739663265,0.0,2.1567204154608155,-0.9243087494832065,0.0,-0.40489178628508343
0.34,0.023217035787076592,-0.009950158194461396,1.5,0.19485454802758082,-0.08350909201182034,0.0,1.030858236665929,-0.441796387142541,0.0,2.0483255850355837,-0.8778538221581074,0.0,-0.4048917862850834
0.36,0.027322993694894427,-0.01170985444066904,1.5,0.2158742224336921,-0.09251752390015376,0.0,1.0707526130313723,-0.4588939770134452,0.0,1.941348310888391,-0.8320064189521676,0.0,-0.4048917862850835
0.38,0.03185718180226082,-0.013653077915254637,1.5,0.2376704834160346,-0.10185877860687198,0.0,1.1085216194766514,-0.475080694061422,0.0,1.8357885930192364,-0.7867665398653869,0.0,-0.40489178628508343
0.4,0.03683470865679138,-0.015786303710053448,1.5,0.26020110708746075,-0.11151476018034033,0.0,1.1441936071273282,-0.4903686887688549,0.0,1.7316464314281201,-0.7421341848977657,0.0,-0.40489178628508343
0.42,0.04226984399858388,-0.018115647427964517,1.5,0.2834244365833341,-0.12146761567857176,0.0,1.1777969271089632,-0.504770111618127,0.0,1.6289218261150424,-0.6981093540493039,0.0,-0.40489178628508343
0.44,0.04817603010066854,-0.02064687004314366,1.5,0.3072993820615294,-0.1316997351692269,0.0,1.2093599305471172,-0.5182971130916215,0.0,1.5276147770800035,-0.6546920473200015,0.0,-0.40489178628508343
0.46,0.05456589310945812,-0.02338538276119634,1.5,0.3317854207024327,-0.14219375172961402,0.0,1.2389109685673505,-0.5309618436717216,0.0,1.4277252843230026,-0.6118822647098583,0.0,-0.4048917862850834
0.48,0.061451254385198203,-0.026336251879370658,1.5,0.356842596708941,-0.152932541446689,0.0,1.2664783922952239,-0.5427764538408103,0.0,1.3292533478440407,-0.5696800062188746,0.0,-0.40489178628508343
0.5,0.06884314184241754,-0.029504203646750368,1.5,0.382431521306463,-0.1638992234170556,0.0,1.2920905528562991,-0.553753094081271,0.0,1.232198967643117,-0.5280852718470502,0.0,-0.40489178628508343
