time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.01,-2.534757972566664e-15,-3.989685687703187e-15,1.557412892640244e-06,0.0,0.0,0.02,-1.680028238985513e-13,1.0891195420748684e-13,-1.835193840593906e-13,1.1005390636314105,-1.1005390636468695,1.1005390636363566,-1.1005390636234926
0.02,-5.24950298602951e-15,-8.171102002067655e-15,3.1283913713635924e-06,0.0,0.0,0.04,-3.413867428739176e-13,2.276252612374259e-13,-1.6039647901020378e-13,2.0918300670306653,-2.0918300670575216,2.0918300670389987,-2.091830067014411
0.03,-7.921423235009707e-15,-1.226562926254296e-14,4.724280094874872e-06,0.0,0.0,0.06,-5.12957859565979e-13,3.664277707321814e-13,-1.548515261122481e-12,2.9868503442455805,-2.9868503442913865,2.986850344255154,-2.9868503442312435
0.04,-1.0236365634623219e-14,-1.5984728141473547e-14,6.353528435189644e-06,0.0,0.0,0.08,-6.572422561943267e-13,4.4685146451133666e-13,6.472056968623218e-13,3.797052508630912,-3.797052508666474,3.797052508644134,-3.7970525085994193
0.05,-1.207951135313782e-14,-1.896768466239007e-14,8.021905751382904e-06,0.0,0.0,0.1,-7.795324091021404e-13,5.043137299803981e-13,2.522011017649662e-12,4.53254359393695,-4.532543593961909,4.532543593952916,-4.532543593892296
0.06,-1.3352994200795778e-14,-2.0920925861297636e-14,9.733105150263127e-06,0.0,0.0,0.12,-8.768424551769289e-13,5.307582897980214e-13,4.360770256433115e-12,5.202243133836903,-5.202243133849575,5.20224313385613,-5.2022431337817965
0.07,-1.4106706056477043e-14,-2.174824624680098e-14,1.1489264540911208e-05,0.0,0.0,0.14,-9.397179165358398e-13,5.361703028975543e-13,7.133717777088613e-12,5.814050811468155,-5.814050811459363,5.8140508114889675,-5.81405081139689
0.08,-1.418084722250036e-14,-2.118500914006259e-14,1.3291374314137515e-05,0.0,0.0,0.16,-9.50793298749789e-13,5.275172772858724e-13,7.914256004763599e-12,6.374918014998086,-6.374918014978507,6.374918015017159,-6.374918014924831
0.09,-1.3848770076226315e-14,-1.9273676115848342e-14,1.5139596069474793e-05,0.0,0.0,0.18,-9.256637837275874e-13,5.212993468189565e-13,7.499871385615791e-12,6.890865144960536,-6.890865144937135,6.890865144975149,-6.8908651448925005
0.1,-1.2525855372213046e-14,-1.59405815129144e-14,1.7033524898273542e-05,0.0,0.0,0.2,-8.248264038043194e-13,5.017055066808366e-13,1.0027349984408775e-11,7.3673735409543575,-7.367373540901577,7.367373540960198,-7.36737354087119
0.11,-1.0458958155013632e-14,-1.1801567456288734e-14,1.8972381795569014e-05,0.0,0.0,0.22000000000000003,-6.849927646286603e-13,4.638726402862191e-13,1.4122159688269172e-11,7.809215848262237,-7.809215848168361,7.809215848259547,-7.809215848153735
0.12,-7.739422699629258e-15,-6.9069646479443425e-15,2.095516308299317e-05,0.0,0.0,0.24,-5.364600660118318e-13,3.898386986150047e-13,1.585804108754918e-11,8.220614584361375,-8.220614584245089,8.22061458435447,-8.22061458424652
0.13,-4.636602557781314e-15,-1.9875777342696172e-15,2.2980740334202593e-05,0.0,0.0,0.26,-4.051782813373549e-13,2.916516592325302e-13,1.5649539114215775e-11,8.605295694967118,-8.605295694845706,8.60529569496042,-8.60529569486055
0.14,-1.3811608729076953e-15,2.5636172963944703e-15,2.5047928326186423e-05,0.0,0.0,0.28,-3.044884943344625e-13,1.7563149133034538e-13,1.3471193106161029e-11,8.966539030056845,-8.966539029947969,8.96653903005422,-8.966539029972614
0.15,1.6409521458036432e-15,6.912652129453246e-15,2.7155558784799607e-05,0.0,0.0,0.3,-2.355080354815354e-13,5.175440698216784e-14,8.122213020661957e-12,9.307210664702671,-9.307210664631725,9.307210664706538,-9.307210664662634
0.16,3.871135360386349e-15,1.0946240873697243e-14,2.930250121435659e-05,0.0,0.0,0.32,-1.997309671658569e-13,-5.397799883821715e-14,1.3547565405554127e-13,9.629896802917193,-9.629896802905265,9.629896802927323,-9.629896802937331
0.17,4.278339513198245e-15,1.3502093455758449e-14,3.148771020016035e-05,0.0,0.0,0.34,-2.1137403785443815e-13,-6.753587150709885e-14,-4.925157652675444e-12,9.93688569928732,-9.936885699316651,9.936885699298404,-9.936885699338717
0.18,3.4498254720783234e-15,1.530571591952093e-14,3.3710241645553706e-05,0.0,0.0,0.36,-2.492917610826512e-13,-2.5260994772193882e-14,-8.688537890794147e-12,10.230149639523738,-10.230149639585765,10.23014963953321,-10.230149639594043
0.19,2.887912191920677e-15,1.8459836010230752e-14,3.596925174354341e-05,0.0,0.0,0.38,-2.6875227667154874e-13,-2.93735462886457e-14,-1.8016305397381608e-11,10.511403152678197,-10.511403152809237,10.511403152689468,-10.511403152813177
