time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
0.002,-1.3530265449233723e-16,-1.1271979523268904e-16,3.0965363727893915e-07,0.0,0.0,0.004,-4.701335990075197e-15,5.659890470491898e-15,7.933467341603386e-15,1.4820631044444803,-1.4820631044453023,1.4820631044443064,-1.482063104443372
0.004,-2.7290854493346303e-16,-2.363594387190764e-16,6.219303770605156e-07,0.0,0.0,0.008,-9.496941459835523e-15,1.1658874488581107e-14,4.369559083669868e-15,2.701324982960372,-2.7013249829619856,2.7013249829599597,-2.7013249829582837
0.006,-4.118774182769053e-16,-3.5827932234812786e-16,9.371387058496286e-07,0.0,0.0,0.012,-1.3669443426514959e-14,1.795484466103045e-14,-1.0567656875888062e-13,3.705432702870891,-3.705432702873819,3.7054327028700627,-3.7054327028686287
0.008,-5.533957630330043e-16,-4.77729508973139e-16,1.2608835511523599e-06,0.0,0.0,0.016,-1.6910958030303693e-14,2.4620391240245862e-14,-4.0278993153481943e-13,4.533393275014817,-4.533393275020114,4.533393275013338,-4.5333932750137365
0.01,-6.958895487606573e-16,-5.968751478945816e-16,1.598904743626697e-06,0.0,0.0,0.02,-1.9700168448841795e-14,3.205286436976475e-14,-8.096095463073646e-13,5.21714330198488,-5.217143301993202,5.217143301982564,-5.217143301985691
0.012,-8.382625859728416e-16,-7.157751710679541e-16,1.9556660042108817e-06,0.0,0.0,0.024,-2.2468708498826803e-14,3.956613810938702e-14,-1.2309522735075907e-12,5.782830818376014,-5.7828308183874615,5.782830818372971,-5.782830818378928
0.014,-9.776534307157532e-16,-8.32013624170325e-16,2.3309485766689748e-06,0.0,0.0,0.028000000000000004,-2.5298625533917508e-14,4.666337691468934e-14,-1.7549335030667972e-12,6.251865688739466,-6.251865688754787,6.251865688735925,-6.2518656887454185
0.016,-1.1093559011768814e-15,-9.414795451904706e-16,2.718987177348117e-06,0.0,0.0,0.032,-2.8406014565538343e-14,5.248074669527221e-14,-2.6118835666944063e-12,6.641778892731338,-6.6417788927529555,6.641778892727734,-6.641778892743048
0.018000000000000002,-1.2254643325187528e-15,-1.0432276361156939e-15,3.113636233862139e-06,0.0,0.0,0.036000000000000004,-3.126369199223329e-14,5.771064298046754e-14,-3.502482169249304e-12,6.966923703661609,-6.9669237036896945,6.966923703658005,-6.966923703679445
0.02,-1.3237184252161919e-15,-1.137118871192654e-15,3.512225399210437e-06,0.0,0.0,0.04,-3.376183364704755e-14,6.218984255783331e-14,-4.373298230618856e-12,7.239050296165486,-7.239050296199812,7.239050296161945,-7.239050296189458
0.022,-1.4046455371907417e-15,-1.2237828924905187e-15,3.914981166544973e-06,0.0,0.0,0.044,-3.5837689557327113e-14,6.586730743773305e-14,-5.183432088131646e-12,7.467777840649041,-7.467777840689088,7.467777840645618,-7.467777840678864
0.024,-1.4702219221145704e-15,-1.3026754173463e-15,4.322589284671885e-06,0.0,0.0,0.048,-3.765527243947021e-14,6.896815030819094e-14,-6.018605383586421e-12,7.660981693240628,-7.660981693286535,7.660981693237362,-7.660981693276558
0.026000000000000002,-1.520772118138737e-15,-1.3739056159652493e-15,4.734684165398798e-06,0.0,0.0,0.052000000000000005,-3.916205738083932e-14,7.146309847860207e-14,-6.853023960739887e-12,7.825110043763196,-7.82511004381491,7.825110043760117,-7.825110043805305
0.028,-1.5551510104466156e-15,-1.4384186838686108e-15,5.1499789612002785e-06,0.0,0.0,0.05600000000000001,-4.010743058458133e-14,7.308644515444247e-14,-7.554515952086547e-12,7.965442559949821,-7.965442560006298,7.965442559946953,-7.965442559997298
0.03,-1.5739381631838146e-15,-1.4959750880334015e-15,5.567197002327083e-06,0.0,0.0,0.06,-4.062495439978475e-14,7.397836857226837e-14,-8.178659160033972e-12,8.086301860189156,-8.086301860249794,8.086301860186524,-8.086301860241534
0.032,-1.57843979927274e-15,-1.5464082053493016e-15,5.985694423441736e-06,0.0,0.0,0.064,-4.0791332812325897e-14,7.441093853173303e-14,-8.775938170009175e-12,8.191226769754572,-8.19122676981915,8.191226769752149,-8.191226769811662
0.034,-1.5784993488436104e-15,-1.5790882376638227e-15,6.405395978170263e-06,0.0,0.0,0.068,-4.033206220434036e-14,7.608140893544168e-14,-9.371884382727617e-12,8.283114428159063,-8.283114428227503,8.283114428156395,-8.283114428220474
0.036000000000000004,-1.6018266540541817e-15,-1.5601456098305384e-15,6.826387513684044e-06,0.0,0.0,0.07200000000000001,-3.789897444421339e-14,8.562562934856207e-14,-9.969508378324934e-12,8.364336754187597,-8.3643367542596,8.364336754182526,-8.364336754251491
0.038,-1.6521539032168676e-15,-1.486911091928548e-15,7.248620826311746e-06,0.0,0.0,0.076,-3.341646583870457e-14,1.0368746821030435e-13,-1.0566396757861006e-11,8.436835763034376,-8.43683576310965,8.436835763024959,-8.436835763099094
0.04,-1.6798800326600545e-15,-1.4240336939763273e-15,7.671892954780998e-06,0.0,0.0,0.08,-2.933108610324438e-14,1.189579154330225e-13,-1.116250867381066e-11,8.502201498415245,-8.502201498493976,8.502201498402881,-8.50220149848199
0.042,-1.625124628272509e-15,-1.4437018315501675e-15,8.095981826343005e-06,0.0,0.0,0.084,-2.837726021694024e-14,1.1860997434284244e-13,-1.1758030170540373e-11,8.561735781924032,-8.561735782006869,8.561735781913272,-8.561735781996692
0.044,-1.4986867707383489e-15,-1.5214559466903303e-15,8.52075694191826e-06,0.0,0.0,0.088,-2.963052647199225e-14,1.0699974095479982e-13,-1.2353703772855925e-11,8.616504425067767,-8.616504425155126,8.616504425061244,-8.616504425148564
0.046,-1.3303186945227712e-15,-1.6145567874781154e-15,8.946186571380136e-06,0.0,0.0,0.092,-3.1515409334158495e-14,9.162218904829484e-14,-1.2950290423044682e-11,8.667380004653019,-8.667380004744993,8.667380004650978,-8.667380004742121
0.048,-1.1725124005032072e-15,-1.6630851859416988e-15,9.372279489319074e-06,0.0,0.0,0.096,-3.1736056288686976e-14,8.360134034173518e-14,-1.3547459029816466e-11,8.71507689981794,-8.715076899914191,8.71507689981767,-8.715076899912983
0.05,-1.036936843298992e-15,-1.6702483158842156e-15,9.799032519681039e-06,0.0,0.0,0.1,-3.041614309761552e-14,8.274506782729302e-14,-1.4144402814187228e-11,8.760180016345796,-8.760180016446041,8.76018001634514,-8.760180016444895
0.052000000000000005,-9.177857716216024e-16,-1.6594354635606578e-15,1.0226418516967157e-05,0.0,0.0,0.10400000000000001,-2.843184361576634e-14,8.515200831496704e-14,-1.4740942139391472e-11,8.803168234588986,-8.803168234693132,8.803168234587186,-8.803168234691476
0.054,-7.872680416375432e-16,-1.6727532025357624e-15,1.065440396664634e-05,0.0,0.0,0.10800000000000001,-2.7371537007255266e-14,8.34428999511763e-14,-1.53370668935678e-11,8.844433631236136,-8.844433631344382,8.84443363123452,-8.84443363134314
0.056,-6.47561366437886e-16,-1.7024693425913416e-15,1.1082967318722156e-05,0.0,0.0,0.11200000000000002,-2.6947638577424887e-14,7.895301746513059e-14,-1.593319324016315e-11,8.884297207661746,-8.88429720777422,8.884297207661033,-8.884297207773855
0.058,-5.048474344329418e-16,-1.734237126266016e-15,1.151210317747699e-05,0.0,0.0,0.11600000000000002,-2.6634185378797848e-14,7.422711588750599e-14,-1.6529988015273024e-11,8.923021771518592,-8.923021771635316,8.923021771518725,-8.923021771635735
0.06,-3.646532533898856e-16,-1.7585709330335695e-15,1.1941814637872628e-05,0.0,0.0,0.12,-2.661898251709047e-14,7.005184034002428e-14,-1.7163266248075075e-11,8.960822488138804,-8.960822488260122,8.96082248813963,-8.960822488261
0.062,-2.4846597551529864e-16,-1.7480236494229375e-15,1.2372104623565228e-05,0.0,0.0,0.124,-2.720607431616081e-14,6.900274979969051e-14,-1.7921856031133663e-11,8.997875521981287,-8.997875522108286,8.997875521982229,-8.997875522108645
0.064,-1.6229442116963454e-16,-1.699060249262748e-15,1.2802972828157114e-05,0.0,0.0,0.128,-2.8383262600531125e-14,7.149346488234477e-14,-1.881425660223512e-11,9.03432510323624,-9.03432510337002,9.034325103236723,-9.034325103368978
0.066,-7.83659460350316e-17,-1.6545895674573422e-15,1.3234417611354845e-05,0.0,0.0,0.132,-2.946985580097251e-14,7.38000606763319e-14,-1.968872476348003e-11,9.07028932152755,-9.07028932166784,9.070289321527643,-9.07028932166575
0.068,4.304106307334635e-17,-1.6696010496324801e-15,1.3666438836624956e-05,0.0,0.0,0.136,-2.956008778653335e-14,7.108278131590896e-14,-2.0348244808125348e-11,9.105864853955055,-9.10586485409989,9.105864853955545,-9.105864854098435
0.07,2.164942295545722e-16,-1.7582900501072526e-15,1.4099038828943136e-05,0.0,0.0,0.14,-2.8404250248279325e-14,6.186442223366644e-14,-2.074075988784692e-11,9.141130861410643,-9.14113086155771,9.141130861412455,-9.141130861558663
0.07200000000000001,4.1255454282418e-16,-1.8727995312745745e-15,1.4532221431457596e-05,0.0,0.0,0.14400000000000002,-2.6729947730447188e-14,5.008996365817755e-14,-2.1033568326805944e-11,9.176152144621934,-9.17615214477048,9.176152144625283,-9.17615214477415
0.074,5.768185937892936e-16,-1.937383606225756e-15,1.4965990748555121e-05,0.0,0.0,0.148,-2.5723505184604275e-14,4.2429498169690983e-14,-2.1493984307645602e-11,9.210981763663701,-9.210981763815326,9.210981763667757,-9.210981763820056
0.076,6.751826119212621e-16,-1.914545728080513e-15,1.5400350565088906e-05,0.0,0.0,0.152,-2.6035333904110687e-14,4.2556165162858125e-14,-2.225862310178707e-11,9.24566316156929,-9.245663161726686,9.245663161572766,-9.245663161730107
0.078,7.228908289552486e-16,-1.839255502951083e-15,1.58353045315871e-05,0.0,0.0,0.156,-2.7212383972345776e-14,4.790347129382319e-14,-2.3210251502932465e-11,9.280231902620844,-9.280231902785557,9.280231902623008,-9.280231902786488
0.08,7.677340728891869e-16,-1.7844462106165397e-15,1.627085648993839e-05,0.0,0.0,0.16,-2.815411479525823e-14,5.229506646095639e-14,-2.4094060050414993e-11,9.31471710524017,-9.314717105411473,9.314717105241321,-9.314717105410708
0.082,8.478388363681241e-16,-1.7964192121925752e-15,1.6707010612951488e-05,0.0,0.0,0.164,-2.808004107319839e-14,5.140090812806645e-14,-2.474291367150018e-11,9.349142633482236,-9.349142633657994,9.349142633483291,-9.349142633657397
0.084,9.588781192240307e-16,-1.855226998425932e-15,1.714377130798441e-05,0.0,0.0,0.168,-2.7216151870874566e-14,4.64650622778492e-14,-2.5224664353077003e-11,9.383527864814225,-9.38352786499299,9.383527864815813,-9.383527864993724
0.08600000000000001,1.0888627839638306e-15,-1.935130037055662e-15,1.7581143111597202e-05,0.0,0.0,0.17200000000000001,-2.6090484661748618e-14,3.961965702130928e-14,-2.5663452129919292e-11,9.417888548709737,-9.417888548891192,9.417888548712103,-9.41788854889353
0.088,1.233794766848122e-15,-2.0346940061743666e-15,1.8019130540818367e-05,0.0,0.0,0.176,-2.5318155111025843e-14,3.1774080199996886e-14,-2.6174456726675582e-11,9.452238356226973,-9.452238356411772,9.452238356230266,-9.452238356415572
0.09,1.3895394507848829e-15,-2.162617655126482e-15,1.8457738136712522e-05,0.0,0.0,0.18,-2.5537529111489754e-14,2.3447186961386037e-14,-2.6860510354567533e-11,9.486587520782935,-9.486587520972565,9.486587520787312,-9.48658752097749
0.092,1.550958033920473e-15,-2.327791149425507e-15,1.8896971870133748e-05,0.0,0.0,0.184,-2.7070835331518407e-14,1.4830900603963733e-14,-2.776079562090018e-11,9.520947627506088,-9.52094762770232,9.520947627511712,-9.520947627708017
0.094,1.7089920211602523e-15,-2.5160152197834832e-15,1.933683397341471e-05,0.0,0.0,0.188,-2.943928922707836e-14,6.338333755572892e-15,-2.879197193822425e-11,9.55532157392596,-9.55532157412988,9.55532157393283,-9.555321574136027
0.096,1.837592492745096e-15,-2.683980163529386e-15,1.9777330232662586e-05,0.0,0.0,0.192,-3.130880135825951e-14,-6.895172055158895e-16,-2.972717145814953e-11,9.589717032372247,-9.58971703258308,9.589717032379868,-9.589717032589377
