time,x_ref,y_ref,z_ref,yaw_ref,wind_force_x_n,wind_force_y_n,wind_force_z_n,acc_residual_raw_x_m_s2,acc_residual_raw_y_m_s2,acc_residual_raw_z_m_s2,disturbance_hat_x_m_s2,disturbance_hat_y_m_s2,disturbance_hat_z_m_s2,disturbance_comp_x_m_s2,disturbance_comp_y_m_s2,disturbance_comp_z_m_s2,acc_residual_after_comp_x_m_s2,acc_residual_after_comp_y_m_s2,acc_residual_after_comp_z_m_s2,controller_mode,disturbance_type
0.0,0.0,0.0,2.0,0.8760580505981934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.01,0.008999969625030756,0.010799854200590491,2.0,0.8760431117805981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.02,0.017999757000984152,0.021598833618895533,2.0,0.8759982918115131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.03,0.026999179882473356,0.03239606354348658,2.0,0.8759235801402581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.04,0.03599805603149256,0.043190669404643105,2.0,0.8758189591764238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.05,0.04499620322110724,0.053981776845192286,2.0,0.8756844042809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.06,0.0539934392391443,0.06476851179133146,2.0,0.8755198837536448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.07,0.06298958189188184,0.07555000052342764,2.0,0.8753253588170788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.08,0.07198444900773851,0.08632536974678826,2.0,0.8751007835969368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.09,0.08097785844096263,0.09709374666239766,2.0,0.8748461050987192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.1,0.08996962807532048,0.10785425903761327,2.0,0.8745612631808355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.11,0.09895957582778424,0.11860603527681599,2.0,0.8742461905240493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.12,0.1079475196522191,0.12934820449200896,2.0,0.8739008125972589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.13,0.11693327754306979,0.140079896573359,2.0,0.8735250476195886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.14,0.12591666753904607,0.15080024225967512,2.0,0.8731188065187652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.15,0.13489750772680745,0.16150837320881797,2.0,0.8726819928857507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.16,0.1438756162446471,0.17220342206803543,2.0,0.8722145029256009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.17,0.15285081128617428,0.1828845225442173,2.0,0.8717162254045148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.18,0.1618229111039961,0.19355080947406492,2.0,0.8711870415930396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.19,0.17079173401339787,0.2042014188941688,2.0,0.8706268252053938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.2,0.1797570983960221,0.21483548811098904,2.0,0.870035442334864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.21,0.18871882270354648,0.22545215577073327,2.0,0.869412751385235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.22,0.19767672546135998,0.2360505619291257,2.0,0.8687586029982058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.23,0.20663062527223786,0.2466298481210622,2.0,0.8680728399767406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
