time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.01,2.5300668109415663e-16,-2.1383974097220408e-15,1.245313317434205e-06,0.0,0.0,0.02,-8.733977063896585e-14,-1.054705359150784e-14,-1.346897325854156e-13,1.1005562384661312,-1.1005562384744123,1.100556238474315,-1.1005562384679384
0.02,4.007025446555997e-16,-4.291749816804548e-15,2.5055503784432426e-06,0.0,0.0,0.04,-1.651852450030694e-13,-1.601623502939103e-14,-2.864837810189458e-13,2.0918626367498576,-2.0918626367640467,2.0918626367631195,-2.091862636752981
0.03,5.187016686541118e-16,-6.3198435693060855e-15,3.7921614451408456e-06,0.0,0.0,0.06,-2.33561901329158e-13,-1.4402906120228373e-14,-5.673458510296899e-13,2.986896733403041,-2.986896733422578,2.9868967334193752,-2.98689673340786
0.04,5.747704433463567e-16,-8.377870642393677e-15,5.113588423508236e-06,0.0,0.0,0.08,-3.1488154685313353e-13,-2.6295453888459868e-14,-5.790317814983914e-13,3.7971113280188558,-3.797111328042314,3.79711132803994,-3.7971113280246693
0.05,6.917845600900535e-16,-1.0217612848492296e-14,6.4755924868353375e-06,0.0,0.0,0.1,-3.8843419309148294e-13,-3.891762767729343e-14,-6.00260225845649e-13,4.532613618764597,-4.532613618790675,4.532613618788869,-4.532613618771279
0.06,8.830085496978961e-16,-1.1742015274558224e-14,7.881858214152951e-06,0.0,0.0,0.12,-4.515386358383809e-13,-5.3399391085749604e-14,-8.589839574353606e-13,5.2023232844162655,-5.202323284445572,5.202323284442719,-5.202323284425559
0.07,1.0331893711705667e-15,-1.2745603800152307e-14,9.334513807010528e-06,0.0,0.0,0.14,-4.930864721245282e-13,-6.557979487477134e-14,-1.7369266958551646e-12,5.81413149318963,-5.814131493224717,5.814131493216091,-5.814131493205564
0.08,1.0412061304768086e-15,-1.3078249790423135e-14,1.0834541946047487e-05,0.0,0.0,0.16,-5.045942818980377e-13,-7.237705820766297e-14,-7.188737865546081e-13,6.375052113581301,-6.375052113606531,6.375052113605042,-6.375052113589977
0.09,8.112941927831722e-16,-1.265859546049829e-14,1.238210343524151e-05,0.0,0.0,0.18,-4.841461199485621e-13,-7.077826420628795e-14,1.1863313758021714e-12,6.8910733739152175,-6.891073373922528,6.891073373933792,-6.891073373909706
0.1,5.789938784234997e-16,-1.1906585002450687e-14,1.3976777277744787e-05,0.0,0.0,0.2,-4.59568845232553e-13,-6.833566177976365e-14,2.1044754296123257e-12,7.36756080330074,-7.367560803297877,7.36756080331504,-7.367560803288146
0.11,3.5529884465563883e-16,-1.0798215089919279e-14,1.561777386051022e-05,0.0,0.0,0.22000000000000003,-4.2993563967022106e-13,-7.859286496035866e-14,3.821457940381495e-12,7.809399465991624,-7.80939946597342,7.809399466003378,-7.809399465967545
0.12,1.6826555702856443e-16,-9.350323134623551e-15,1.7304077643407592e-05,0.0,0.0,0.24,-4.0799126330261696e-13,-1.1374374583967867e-13,7.174279799654418e-12,8.220796772614742,-8.22079677257107,8.220796772627448,-8.220796772569674
0.13,-6.319707729443279e-17,-7.62172667675017e-15,1.9034549995931415e-05,0.0,0.0,0.26,-4.011473677997262e-13,-1.8877670495582044e-13,1.3754583006516012e-11,8.60546715688557,-8.605467156795402,8.605467156904023,-8.605467156799701
0.14,-6.163201873115023e-16,-5.542568479207278e-15,2.0807997622519834e-05,0.0,0.0,0.28,-4.1361135441826303e-13,-2.812450405679431e-13,2.203608646115407e-11,8.966700986692658,-8.966700986545613,8.966700986718843,-8.966700986554299
0.15,-1.8868100019363013e-15,-2.949464587044168e-15,2.2623242269806857e-05,0.0,0.0,0.3,-4.405739449015548e-13,-3.825057369768972e-13,3.261589602612531e-11,9.307363520451648,-9.30736352023236,9.307363520486074,-9.30736352024417
0.16,-4.569367555452968e-15,2.7345881202796454e-16,2.4479145223195842e-05,0.0,0.0,0.32,-4.492634326989012e-13,-4.410188723879142e-13,4.4241241197851275e-11,9.6300519110995,-9.6300519107984,9.630051911135194,-9.630051910810725
0.17,-8.979136211676294e-15,4.166251403582816e-15,2.637465247805527e-05,0.0,0.0,0.34,-4.2414796935394495e-13,-4.1250242358693277e-13,5.4239832442028587e-11,9.937042036769357,-9.937042036395043,9.93704203679622,-9.937042036403584
0.18,-1.4430291815670513e-14,8.736569550655045e-15,2.8308807774844383e-05,0.0,0.0,0.36,-3.9792499645255556e-13,-3.5435996104525117e-13,6.415348207563437e-11,10.23029885128166,-10.23029885083541,10.230298851299803,-10.23029885083892
0.19,-2.008163402672968e-14,1.396986266123466e-14,3.028075333198765e-05,0.0,0.0,0.38,-3.9992804084874657e-13,-3.5513989204012026e-13,7.824364148219821e-11,10.5115487339492,-10.511548733404428,10.511548733968418,-10.511548733406826
0.2,-2.68049379767029e-14,1.9727308812748172e-14,3.228973887683318e-05,0.0,0.0,0.4,-3.611379453812827e-13,-3.074352752864747e-13,9.237146194772826e-11,10.782342473451154,-10.782342472803677,10.782342473463206,-10.782342472804554
0.21,-3.4427389579416317e-14,2.5727236203537555e-14,3.4335123504146704e-05,0.0,0.0,0.42000000000000004,-2.790401484367097e-13,-2.0756820921583515e-13,1.0609576446068084e-10,11.044061594707578,-11.0440615939571,11.04406159470588,-11.044061593956162
0.22,-4.207900811882276e-14,3.162019120923163e-14,3.641637267920121e-05,0.0,0.0,0.44000000000000006,-1.8761682528702177e-13,-8.689621743223198e-14,1.1821649661540596e-10,11.297917500492467,-11.297917499650355,11.297917500476283,-11.297917499646813
0.23,-4.8957053547719084e-14,3.719513147981804e-14,3.8533058572484765e-05,0.0,0.0,0.4600000000000001,-1.26906074210164e-13,6.5234510062135715e-15,1.2902087644493893e-10,11.544981239536412,-11.544981238615632,11.54498123951315,-11.544981238609575
0.24,-5.4714225138448873e-14,4.253506094921026e-14,4.068485579034212e-05,0.0,0.0,0.48,-1.1825013296981404e-13,2.6358074426149313e-14,1.4077379315202864e-10,11.786185796921165,-11.786185795919698,11.786185796902602,-11.786185795913527
0.25,-5.944523081270625e-14,4.7709640408990005e-14,4.2871533070760504e-05,0.0,0.0,0.5,-1.4763972294787714e-13,-2.5421048395446377e-14,1.541959580927469e-10,12.022359007161713,-12.02235900607081,12.022359007156945,-12.022359006067513
0.26,-6.373092781521489e-14,5.300130153625859e-14,4.5092950956234434e-05,0.0,0.0,0.52,-1.935107250169119e-13,-1.2950115474370152e-13,1.7013657724854818e-10,12.254227523425987,-12.254227522228186,12.254227523438372,-12.254227522230439
0.27,-6.857072566144149e-14,5.872581972444333e-14,4.734905348816079e-05,0.0,0.0,0.54,-2.2944020440482637e-13,-2.285202202645692e-13,1.8737667135767223e-10,12.482439331060576,-12.48243932974428,12.482439331084604,-12.482439329751392
0.28,-7.461183428549904e-14,6.516304503346694e-14,4.963986310581823e-05,0.0,0.0,0.56,-2.308498454463061e-13,-2.8581543643345817e-13,2.0539758430867825e-10,12.707563081034687,-12.70756307959036,12.707563081060664,-12.70756307960067
0.29,-8.243079008573862e-14,7.25780313341116e-14,5.196547543408204e-05,0.0,0.0,0.58,-1.7866657342641435e-13,-2.5876323593058327e-13,2.2261388109297611e-10,12.930108615005288,-12.930108613434045,12.930108615020545,-12.930108613444029
0.3,-9.14430313744628e-14,8.120157939228236e-14,5.4326055146064244e-05,0.0,0.0,0.6,-7.356485205274116e-14,-1.8132223109293396e-13,2.4003757800187947e-10,13.150518661996802,-13.150518660293738,13.150518661994095,-13.150518660303025
0.31,-1.0106246051275485e-13,9.053732937420236e-14,5.672182958540773e-05,0.0,0.0,0.62,5.5551800392879544e-14,-8.028100358673736e-14,2.5759441527883773e-10,13.369188195147954,-13.36918819331224,13.369188195127673,-13.369188193321001
0.32,-1.1082867964930929e-13,9.88914394085157e-14,5.9153085187265114e-05,0.0,0.0,0.64,1.4332125083419837e-13,2.496082449351888e-14,2.7484363730112663e-10,13.58646124755311,-13.586461245592186,13.586461247522653,-13.586461245597285
0.33,-1.1991430756873017e-13,1.056683259582892e-13,6.1620162253297e-05,0.0,0.0,0.66,1.6053347892190477e-13,9.606039591897627e-14,2.9203235595230106e-10,13.802642356675925,-13.80264235459731,13.802642356647784,-13.802642354597058
0.34,-1.277673346153712e-13,1.1042862414487434e-13,6.4123450448971e-05,0.0,0.0,0.68,9.477436478060545e-14,1.1391413887815366e-13,3.0898160108222603e-10,14.018000002005687,-14.017999999817038,14.018000001991107,-14.017999999810757
0.35000000000000003,-1.3390115618093464e-13,1.139137598699569e-13,6.666338591007597e-05,0.0,0.0,0.7000000000000001,-3.0456086649995336e-14,5.059816732503268e-14,3.266359062990614e-10,14.2327703601422,-14.23277035784171,14.232770360150665,-14.232770357832523
0.36,-1.3819323174632196e-13,1.1837805268992507e-13,6.924044593460068e-05,0.0,0.0,0.72,-1.3096638426196906e-13,-1.0611149654240495e-13,3.463610646295778e-10,14.447164148909208,-14.447164146477474,14.447164148941015,-14.447164146475204
0.37,-1.418685594953211e-13,1.2431879814874753e-13,7.185514811425415e-05,0.0,0.0,0.74,-1.8293582228197176e-13,-3.0549733819848076e-13,3.680029045932914e-10,14.661365784158587,-14.661365781575373,14.661365784206861,-14.661365781586515
0.38,-1.4741885730836312e-13,1.3186118078834109e-13,7.450804576915859e-05,0.0,0.0,0.76,-1.749569062801818e-13,-4.4271755344259354e-13,3.9073090766941245e-10,14.875539316288142,-14.875539313539912,14.875539316338381,-14.875539313561672
0.39,-1.5633768025527484e-13,1.4143239545009512e-13,7.719972559638918e-05,0.0,0.0,0.78,-8.591629476430875e-14,-4.54024890920897e-13,4.140981275638032e-10,15.089830459862858,-15.08983045693889,15.089830459895898,-15.089830456964519
0.4,-1.6819437715620683e-13,1.518901110423051e-13,7.993080747514659e-05,0.0,0.0,0.8,4.2504318439342495e-14,-3.519918676802758e-13,4.374181661043601e-10,15.304364707929492,-15.304364704827865,15.304364707934315,-15.304364704850848
0.41000000000000003,-1.8383382459511182e-13,1.6162051149610981e-13,8.284740569735433e-05,0.0,0.0,0.8200000000000001,1.5177002205189067e-13,-9.473776633347717e-14,4.592914431779455e-10,15.519248062869458,-15.519248059605642,15.519248062843873,-15.519248059613309
0.42,-2.005668499099779e-13,1.7218361761190686e-13,9.357026665949586e-05,0.0,0.0,0.8400000000000001,2.5482572476539993e-13,1.8732874777586853e-13,4.80324727660345e-10,15.734152839463626,-15.73415283604738,15.734152839415172,-15.734152836039625
0.43,-2.117882365740061e-13,1.7916324770286115e-13,0.00013764062621295092,0.0,0.0,0.86,2.466198279404198e-13,2.514942393587856e-13,5.033960711625863e-10,15.947799109725823,-15.947799106152251,15.947799109685993,-15.94779910614154
0.44,-2.1950176874395935e-13,1.83879223568348e-13,0.00024456340567188497,0.0,0.0,0.8800000000000001,1.596162487276261e-13,1.8067758781937897e-13,5.265391656665357e-10,16.15881715436226,-16.15881715063571,16.158817154345687,-16.15881715062697
