time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
0.01,-9.017087012669191e-16,8.457109284906706e-16,1.2867510562158037e-06,0.0,0.0,0.02,3.5505531013973366e-14,4.187779537058952e-14,-1.1884703538327983e-13,5.2172247212547616,-5.217224721250393,5.217224721242952,-5.217224721249002
0.02,-1.7921797654915817e-15,1.6044152995982464e-15,2.889260768312865e-06,0.0,0.0,0.04,6.918364794699753e-14,9.100163130773095e-14,8.805016628176241e-13,7.2391629013577665,-7.239162901343724,7.239162901339087,-7.239162901340679
0.03,-2.0524144843894104e-15,1.99683368817124e-15,4.634950241602484e-06,0.0,0.0,0.06,8.797034438965041e-14,1.1124717216521779e-13,2.2212512191380198e-12,8.086427150610758,-8.086427150588051,8.086427150595053,-8.086427150586353
0.04,-1.4990300608978373e-15,2.626697489988038e-15,6.431839978838897e-06,0.0,0.0,0.08,1.2869742944983762e-13,8.372830883650838e-14,3.900313976355103e-12,8.502332683463077,-8.50233268342426,8.5023326834516,-8.502332683435268
0.05,-1.1089089527155064e-15,1.9971246591085145e-15,8.25262378420597e-06,0.0,0.0,0.1,1.0069601637310405e-13,7.702500363613049e-14,4.657918257905561e-12,8.760314608007036,-8.760314607971809,8.760314608004665,-8.760314607974028
0.06,-6.468327488381449e-16,1.5317475200304675e-15,1.0090487441853172e-05,0.0,0.0,0.12,8.89804110622142e-14,6.202613467971762e-14,5.7942235592827714e-12,8.960959578734371,-8.960959578693254,8.960959578735485,-8.960959578694673
0.07,-5.78286018411031e-17,1.0217078049248316e-15,1.1944220085329626e-05,0.0,0.0,0.14,7.9599597733198e-14,3.612076729202979e-14,6.333760359435367e-12,9.14127012397366,-9.14127012392961,9.141270123977215,-9.141270123931704
0.08,1.5079469675427586e-16,5.262019583046846e-16,1.3813963256210813e-05,0.0,0.0,0.16,6.948430197340692e-14,3.0400493544809853e-14,7.042393384010945e-12,9.31485842628721,-9.314858426237484,9.314858426290497,-9.314858426240644
0.09,-1.475013629892942e-16,4.231025647935811e-17,1.5700177763910334e-05,0.0,0.0,0.18,5.326866705131121e-14,6.47037000818227e-14,8.375468850893912e-12,9.486730865277856,-9.486730865220512,9.486730865274657,-9.486730865213572
0.1,1.1061000283936643e-16,-6.324548389335122e-17,1.7603419938775513e-05,0.0,0.0,0.2,6.877356548729738e-14,9.070599472587877e-14,9.227256046688522e-12,9.658739895336891,-9.65873989526934,9.658739895327194,-9.658739895264272
