metric,value
generated_at,2026-05-11T12:18:56
raw_file,results/robustness/mass20_example1/robust_mass20_example1_awff_pid/raw/robust_mass20_example1_awff_pid.csv
scene_id,robust_mass20_example1
controller_id,awff_pid
row_count,5001
duration_s,50.0
sample_rate_hz,100.0
position_rmse_m,0.276252587231863
x_rmse_m,0.11125294605793123
y_rmse_m,0.11155474075077722
z_rmse_m,0.22692248403751442
max_position_error_m,1.3720847752076542
steady_state_error_m,0.10314180207148081
settling_time_s,7.51
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.11854043899370303
disturbance_recovery_time_s,3.030000000000001
overshoot_x_pct,4.842571798979947
overshoot_y_pct,4.857517815921977
overshoot_z_pct,2.0303814680212184
overshoot_max_pct,4.857517815921977
roll_rmse_rad,0.02411559938099806
pitch_rmse_rad,0.024062599706264474
yaw_rmse_rad,0.0008427048466821798
max_tilt_rad,0.17410607943309914
minimum_altitude_m,0.0
altitude_violation_count,68
tilt_violation_count,0
constraint_violation_count,68
constraint_violation_rate_hz,1.36
altitude_violation_rate_hz,1.36
tilt_violation_rate_hz,0.0
control_energy,47679.8145115038
control_energy_per_second,953.596290230076
control_smoothness,13964.030933790144
control_smoothness_per_second,279.2806186758029
control_command_min,-20.0
control_command_max,20.0
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,89.69979071608081
robustness_score,57.61538461538461
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,51.8137833686704
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_robust_mass20_awff
