time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
0.01,-3.076038896302911e-15,-2.9597349168229254e-15,1.286751056214711e-06,0.0,0.0,0.02,-1.23986426805667e-13,1.308675543726644e-13,7.301366099541741e-13,5.217224721252319,-5.217224721262881,5.217224721251401,-5.217224721230514
0.02,-5.946571797922261e-15,-5.782332312472783e-15,2.8892607683117594e-06,0.0,0.0,0.04,-2.450701980862653e-13,2.4766890411512304e-13,1.3697179875182008e-12,7.2391629013499985,-7.239162901364079,7.2391629013503085,-7.23916290131686
0.03,-7.584138530153863e-15,-7.433428023511278e-15,4.634950241601418e-06,0.0,0.0,0.06,-3.2201083287085227e-13,3.1663453604632174e-13,1.0630625213200614e-12,8.086427150598222,-8.086427150613902,8.0864271505994,-8.086427150568689
0.04,-8.397375424557317e-15,-7.484469044436915e-15,6.431839978838106e-06,0.0,0.0,0.08,-3.4988501033393026e-13,3.6098487673320176e-13,-1.9943225034349234e-12,8.502332683437261,-8.502332683469135,8.50233268343575,-8.502332683432076
0.05,-7.672474093859106e-15,-6.969388089356427e-15,8.252623784205089e-06,0.0,0.0,0.1,-3.4495128583627533e-13,3.4384508887191755e-13,-2.760766984831353e-12,8.760314607979401,-8.760314608009923,8.760314607979838,-8.760314607988354
0.06,-6.584314040845153e-15,-5.688202745734699e-15,1.0090487441852117e-05,0.0,0.0,0.12,-3.182116578981634e-13,3.158942284055038e-13,-4.466113232310258e-12,8.96095957869836,-8.960959578735375,8.960959578698947,-8.960959578725081
0.07,-5.037503568537753e-15,-4.347592881236834e-15,1.1944220085328586e-05,0.0,0.0,0.14,-2.912277365014427e-13,2.6452020715409305e-13,-4.6134889887008035e-12,9.14127012393535,-9.14127012397044,9.141270123938117,-9.141270123968262
0.08,-3.695216046580887e-15,-2.8966165379176797e-15,1.3813963256209773e-05,0.0,0.0,0.16,-2.6366625063585585e-13,2.289728428822175e-13,-5.213416714730484e-12,9.314858426243646,-9.314858426281726,9.314858426247389,-9.314858426283026
0.09,-2.848232365658842e-15,-1.5551640836375475e-15,1.5700177763910124e-05,0.0,0.0,0.18,-2.4518798495046076e-13,2.3396818917574925e-13,-7.79455642958767e-12,9.486730865219847,-9.486730865276503,9.486730865218364,-9.486730865271925
0.1,-2.4079527221814926e-15,-1.4319839960278094e-15,1.760341993877622e-05,0.0,0.0,0.2,-2.8724893691463765e-13,2.693056768860188e-13,-1.0637319782504008e-11,9.658739895262187,-9.658739895346274,9.658739895262235,-9.658739895328559
