metric,value
altitude_violation_count,67
altitude_violation_rate_hz,1.34
constraint_violation_count,67
constraint_violation_rate_hz,1.34
control_command_max,24.33121333048993
control_command_min,-20.635328740544516
control_command_normalized,False
control_energy,41608.93796418413
control_energy_per_second,832.1787592836826
control_smoothness,156441.28493037814
control_smoothness_per_second,3128.825698607563
controller_id,improved_pid
disturbance_peak_error_m,0.25853877470049036
disturbance_recovery_time_s,13.810000000000002
disturbance_window_end_s,19.0
disturbance_window_start_s,15.0
duration_s,50.0
energy_score,0.0
evidence_level,real_sysplorer_mcp_robust_rotor_loss_ablation
fault_tolerance_score,35.0
generated_at,2026-05-10T21:50:46
max_position_error_m,1.4016349542293531
max_tilt_rad,0.25403190720564833
minimum_altitude_m,0.0
nan_count,0
overshoot_max_pct,6.525307034716228
overshoot_x_pct,6.525307034716228
overshoot_y_pct,3.0548717914196644
overshoot_z_pct,1.7113520233409811
pitch_rmse_rad,0.023857328483196452
position_rmse_m,0.37143494116422787
raw_file,results/raw/robust_rotor1_loss15_example1_improved_pid.csv
robustness_score,0.0
roll_rmse_rad,0.023915306430031334
row_count,5001
safety_score,35.0
sample_rate_hz,100.0
saturation_ratio,
scene_id,robust_rotor1_loss15_example1
settling_time_s,
smoothness_score,0.0
source,MWORKS_MCP
steady_state_error_m,0.2656994468950141
tilt_violation_count,0
tilt_violation_rate_hz,0.0
total_health_score,35.884927329293646
tracking_score,84.61642443097884
valid,True
x_rmse_m,0.20898768763846756
y_rmse_m,0.2091993949674326
yaw_rmse_rad,0.0008577324821458668
z_rmse_m,0.22477472072824375
