time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.01,9.345476352122897e-10,-9.345446032021102e-10,1.557419224702182e-06,0.0,0.0,0.02,-3.9268541341666894e-08,-3.926866688891284e-08,-8.691859680816482e-07,1.2015223908103132,-1.100542110430048,1.1005395683091213,-1.1005421104410391
0.02,2.9572393498180967e-08,-2.9572430101166786e-08,3.128464498793427e-06,0.0,0.0,0.04,-1.2426673581463683e-06,-1.242665812441474e-06,-4.6663017727247415e-06,2.283650149858756,-2.0918465360474863,2.0919216730074743,-2.0918465359023366
0.03,1.5950529374986006e-07,-1.5950625939672242e-07,4.724526067461291e-06,0.0,0.0,0.06,-6.704294878506036e-06,-6.704254289027053e-06,-1.0847820587542204e-05,3.260290237588866,-2.9868886601260733,2.987366706605277,-2.986888656591768
0.04,4.909028998483013e-07,-4.909088615557385e-07,6.354080802180951e-06,0.0,0.0,0.08,-2.0646975850357733e-05,-2.0646725206631728e-05,-1.9107061872297682e-05,4.14363651617433,-3.7971200163415393,3.798613115124618,-3.7971199954269403
0.05,1.127885875836603e-06,-1.127907297188202e-06,8.022916766761108e-06,0.0,0.0,0.1,-4.7500108992824195e-05,-4.749920762365248e-05,-2.922970449665328e-05,4.944456323024453,-4.53264689042951,4.536014156441332,-4.5326468181829584
0.06,2.156206562671948e-06,-2.156262455870931e-06,9.734738676803749e-06,0.0,0.0,0.12,-9.101488152884075e-05,-9.10125259336257e-05,-4.103922077276297e-05,5.672330895868581,-5.2023880503919795,5.2086339208800645,-5.202387869259784
0.07,3.621513429963994e-06,-3.621629766695894e-06,1.1491688115458923e-05,0.0,0.0,0.14,-0.00015342606194844146,-0.0001534211453832357,-5.438450881481249e-05,6.33585805408736,-5.814214756316547,5.824341893604505,-5.814214394990719
0.08,5.51152331550804e-06,-5.5117252969305525e-06,1.3294758614418462e-05,0.0,0.0,0.16,-0.00023479846444218484,-0.00023478989792394562,-6.913390952248821e-05,6.94286356564221,-6.375121690089634,6.389961317276403,-6.375121093162975
0.09,7.74820755489834e-06,-7.748505567086934e-06,1.51441179521935e-05,0.0,0.0,0.18,-0.000332773377662564,-0.00033276065401309014,-8.517370998804404e-05,7.500393031088199,-6.891236962861384,6.911296675176806,-6.891236133687767
0.1,1.0197181814114227e-05,-1.0197555423571945e-05,1.703936901437432e-05,0.0,0.0,0.2,-0.0004429746337514432,-0.00044295845645920905,-0.00010240650400762338,8.014672706484506,-7.367847280159048,7.393219926047425,-7.367846320958308
0.11,1.2675771776054851e-05,-1.267615442646989e-05,1.8979727575110947e-05,0.0,0.0,0.22000000000000003,-0.0005594259219963646,-0.0005594088669468023,-0.00012074343122319729,8.491429957931334,-7.809740886365458,7.84006297721823,-7.8097400325409945
0.12,1.4976974737242791e-05,-1.4977247625049296e-05,2.0964172814137964e-05,0.0,0.0,0.24,-0.000675511186375099,-0.000675498012053848,-0.00014010340681953754,8.93580336408865,-8.221206983314046,8.255698839643342,-8.221206603281198
0.13,1.6899638972956047e-05,-1.6899640698709244e-05,2.2991570277542773e-05,0.0,0.0,0.26,-0.00078514858055762,-0.0007851458769908947,-0.00016041485947779704,9.352158597206941,-8.605953753405764,8.64354623790458,-8.605954293312152
0.14,1.8273643155767074e-05,-1.8273197281473868e-05,2.5060738045499726e-05,0.0,0.0,0.28,-0.0008837581101546922,-0.0008837732620181385,-0.00018161380167194458,9.744202457983944,-8.96725954671808,9.006767518015899,-8.967261431494787
0.15,1.897611025850919e-05,-1.8975065284363324e-05,2.7170498538723825e-05,0.0,0.0,0.3,-0.0009688395048662457,-0.000968879165851552,-0.00020364410460912651,10.115029906347965,-9.308025836353846,9.348331456910788,-9.308029351208802
0.16,1.894020340595647e-05,-1.8938477581798273e-05,2.9319724169809993e-05,0.0,0.0,0.32,-0.0010402475343427886,-0.0010403158939142603,-0.0002264578651014627,10.467189966404668,-9.630818961025378,9.671036384492,-9.63082414052826
0.17,1.8153771713682754e-05,-1.8151393232079216e-05,3.150736933566606e-05,0.0,0.0,0.34,-0.0011000776848342768,-0.0011001748874091975,-0.000250015644784649,10.802748176505487,-9.937883860017209,9.97748048435027,-9.937890412392623
0.18,1.663993792327782e-05,-1.6637058936302538e-05,3.3732480763080586e-05,0.0,0.0,0.36,-0.001151828976335626,-0.0011519505946572394,-0.00027428478995419214,11.123445353919776,-10.231197658791524,10.270023669100885,-10.231204990808076
