metric,value
generated_at,2026-05-13T23:59:21
raw_file,results/robustness/rotor1_loss15_wind_gust_example1/robust_rotor1_loss15_wind_gust_example1_l1_multi_fault_isolation_sysblock/raw/robust_rotor1_loss15_wind_gust_example1_l1_multi_fault_isolation_sysblock.csv
scene_id,robust_rotor1_loss15_wind_gust_example1
controller_id,l1_multi_fault_isolation_sysblock
row_count,5001
duration_s,50.0
sample_rate_hz,100.0
position_rmse_m,0.27209081376732774
x_rmse_m,0.12678511846191917
y_rmse_m,0.11606523235272181
z_rmse_m,0.21092132777903846
max_position_error_m,1.2526061020400396
steady_state_error_m,0.14024176893975154
settling_time_s,7.99
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.20161782545295426
disturbance_recovery_time_s,4.940000000000001
overshoot_x_pct,4.6444181856858435
overshoot_y_pct,3.61071801093356
overshoot_z_pct,1.9365719521796265
overshoot_max_pct,4.6444181856858435
roll_rmse_rad,0.02967295647129895
pitch_rmse_rad,0.03154773178845217
yaw_rmse_rad,0.06396230068511001
max_tilt_rad,0.2584644731887713
minimum_altitude_m,-7.716925742194622e-05
altitude_violation_count,61
tilt_violation_count,0
constraint_violation_count,61
constraint_violation_rate_hz,1.22
altitude_violation_rate_hz,1.22
tilt_violation_rate_hz,0.0
control_energy,41485.778240746346
control_energy_per_second,829.7155648149269
control_smoothness,12968.959658591168
control_smoothness_per_second,259.3791931718234
control_command_min,-20.0
control_command_max,20.0
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,90.04490138202705
robustness_score,53.92307692307692
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,50.99423964537735
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_l1_multi_fault_isolation_rotor_loss_wind_gust
